Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
"Наименование Избирательной комиссии:    Рязань, Советская"																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057					
1	"Число избирателей, внесенных в список избирателей"	63751	1766	2064	2133	2647	2388	2583	1535	2537	2844	2526	2377	2403	1161	1972	2179	2658	1743	2012	1292	1186	1386	1316	2078	2402	2518	2197	2588	1390	1153	2372	1247	1098					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	56350	1400	1900	2000	2400	2200	2300	1300	2200	2500	2000	2200	2200	1000	1700	2000	2400	1600	1800	1200	1100	1200	1200	1800	2200	2100	2050	2100	1300	1000	2000	1000	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	31392	823	894	1115	1331	1051	1077	716	1080	1255	1089	1362	1307	628	1028	1040	1273	781	902	605	595	503	553	1210	1189	1054	1540	1712	633	623	1211	679	533					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1671	157	20	29	33	24	19	16	16	12	264	26	26	20	38	58	35	33	43	14	26	51	61	34	15	141	350	10	16	19	32	23	10					
6	Число погашенных избирательных бюллетеней	23286	420	986	856	1036	1125	1204	568	1104	1233	647	812	867	352	634	902	1092	786	855	581	479	646	586	556	996	904	160	378	651	358	757	298	457					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1671	157	20	29	33	24	19	16	16	12	264	26	26	20	38	58	35	33	43	14	26	51	61	34	15	141	350	10	16	19	32	23	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31348	821	894	1114	1315	1051	1076	716	1080	1253	1084	1362	1307	627	1025	1040	1273	781	902	605	595	503	552	1210	1189	1051	1539	1706	633	622	1210	679	533					
9	Число недействительных избирательных бюллетеней	497	15	20	11	17	20	16	10	12	14	21	21	19	10	16	21	19	10	15	16	10	9	12	18	20	26	26	30	9	5	16	4	9					
10	Число действительных избирательных бюллетеней	32522	963	894	1132	1331	1055	1079	722	1084	1251	1327	1367	1314	637	1047	1077	1289	804	930	603	611	545	601	1226	1184	1166	1863	1686	640	636	1226	698	534					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1384	51	30	30	36	52	50	30	212	35	35	38	56	35	35	50	52	30	30	30	30	30	30	32	54	30	81	30	31	30	40	30	19					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1287	51	24	27	35	51	46	28	211	34	31	37	56	35	35	49	52	27	30	21	29	14	12	32	54	29	81	29	29	26	38	17	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1119	47	10	10	35	15	13	28	38	17	132	30	23	19	62	10	20	19	13	20	24	31	36	73	16	45	30	33	11	15	113	99	32					
14	Число погашенных неиспользованных открепительных удостоверений	97	0	6	3	1	1	4	2	1	1	4	1	0	0	0	1	0	3	0	9	1	16	18	0	0	1	0	1	2	4	2	13	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	1	0	0	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5123	171	159	179	221	180	150	124	169	188	253	248	230	100	183	176	243	153	134	105	85	81	81	203	177	169	153	217	96	111	183	122	79					
		15.52%	17.48%	17.40%	15.66%	16.39%	16.74%	13.70%	16.94%	15.42%	14.86%	18.77%	17.87%	17.25%	15.46%	17.22%	16.03%	18.58%	18.80%	14.18%	16.96%	13.69%	14.62%	13.21%	16.32%	14.70%	14.18%	8.10%	12.65%	14.79%	17.32%	14.73%	17.38%	14.55%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5190	142	122	169	198	172	189	108	196	228	148	186	171	66	130	137	165	123	164	90	79	87	115	195	230	208	426	391	113	93	173	90	86					
		15.72%	14.52%	13.35%	14.79%	14.69%	16.00%	17.26%	14.75%	17.88%	18.02%	10.98%	13.40%	12.83%	10.20%	12.23%	12.48%	12.61%	15.11%	17.35%	14.54%	12.72%	15.70%	18.76%	15.68%	19.10%	17.45%	22.55%	22.79%	17.41%	14.51%	13.93%	12.82%	15.84%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	447	15	11	15	14	10	9	11	15	17	18	13	21	10	25	13	15	6	9	3	11	12	11	21	17	21	27	31	5	6	17	7	11					
		1.35%	1.53%	1.20%	1.31%	1.04%	0.93%	0.82%	1.50%	1.37%	1.34%	1.34%	0.94%	1.58%	1.55%	2.35%	1.18%	1.15%	0.74%	0.95%	0.48%	1.77%	2.17%	1.79%	1.69%	1.41%	1.76%	1.43%	1.81%	0.77%	0.94%	1.37%	0.99%	2.03%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9840	281	291	414	431	307	350	232	336	377	480	481	458	249	322	374	428	248	330	189	193	142	143	382	342	378	248	349	245	218	320	173	129					
		29.80%	28.73%	31.84%	36.22%	31.97%	28.56%	31.96%	31.69%	30.66%	29.80%	35.61%	34.65%	34.36%	38.49%	30.29%	34.06%	32.72%	30.47%	34.92%	30.53%	31.08%	25.63%	23.33%	30.71%	28.41%	31.71%	13.13%	20.34%	37.75%	34.01%	25.76%	24.64%	23.76%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1981	73	61	62	75	59	68	51	54	59	59	101	88	49	90	79	75	60	38	51	63	19	25	74	89	58	21	72	27	36	120	55	70					
		5.99%	7.46%	6.67%	5.42%	5.56%	5.49%	6.21%	6.97%	4.93%	4.66%	4.38%	7.28%	6.60%	7.57%	8.47%	7.19%	5.73%	7.37%	4.02%	8.24%	10.14%	3.43%	4.08%	5.95%	7.39%	4.87%	1.11%	4.20%	4.16%	5.62%	9.66%	7.83%	12.89%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9633	272	245	286	375	325	302	187	310	372	359	326	333	160	287	283	351	204	247	158	173	202	219	344	317	316	976	605	146	166	391	245	151					
		29.17%	27.81%	26.81%	25.02%	27.82%	30.23%	27.58%	25.55%	28.28%	29.41%	26.63%	23.49%	24.98%	24.73%	26.99%	25.77%	26.83%	25.06%	26.14%	25.53%	27.86%	36.46%	35.73%	27.65%	26.33%	26.51%	51.67%	35.26%	22.50%	25.90%	31.48%	34.90%	27.81%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	308	9	5	7	17	2	11	9	4	10	10	12	13	3	10	15	12	10	8	7	7	2	7	7	12	16	12	21	8	6	22	6	8					
		0.93%	0.92%	0.55%	0.61%	1.26%	0.19%	1.00%	1.23%	0.36%	0.79%	0.74%	0.86%	0.98%	0.46%	0.94%	1.37%	0.92%	1.23%	0.85%	1.13%	1.13%	0.36%	1.14%	0.56%	0.99%	1.34%	0.64%	1.22%	1.23%	0.94%	1.77%	0.85%	1.47%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
