Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																						
Дата голосования: 02.12.2007																																						
																																						
"Наименование Избирательной комиссии:    Рязань, Советская"																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690					
1	"Число избирателей, внесенных в списки избирателей"	62379	1450	1247	2100	2469	2678	2595	1182	1191	2174	1086	1586	1717	2468	2705	1231	1854	2300	2755	1616	2700	1597	2273	2857	2709	2404	2725	2861	1523	1852	1270	1204					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	55700	1300	1100	1900	2200	2300	2100	1000	1000	2000	1000	1400	1700	2200	2400	1100	1700	2100	2500	1500	2400	1500	1900	2400	2400	2300	2400	2600	1400	1700	1100	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	34522	614	612	1274	1412	1280	1771	627	700	1143	564	808	1403	1481	1604	785	1048	1242	1491	981	1488	912	1126	1437	1412	1231	1390	1531	800	990	695	670					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1568	48	83	52	4	213	11	14	19	37	23	33	194	37	51	21	37	78	34	48	44	57	147	28	16	17	33	36	48	44	25	36					
6	Число погашенных избирательных бюллетеней	19610	638	405	574	784	807	318	359	281	820	413	559	103	682	745	294	615	780	975	471	868	531	627	935	972	1052	977	1033	552	666	380	394					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1568	48	83	52	4	213	11	14	19	37	23	33	194	37	51	21	37	78	34	48	44	57	147	28	16	17	33	36	48	44	25	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34495	614	612	1273	1412	1276	1765	627	699	1143	562	808	1403	1481	1602	785	1048	1241	1490	980	1488	912	1125	1437	1410	1228	1390	1530	800	989	695	670					
9	Число недействительных избирательных бюллетеней	398	6	8	15	12	18	32	10	11	10	12	7	19	17	23	7	13	5	13	15	10	12	6	15	17	17	12	26	7	5	9	9					
10	Число действительных избирательных бюллетеней	35665	656	687	1310	1404	1471	1744	631	707	1170	573	834	1578	1501	1630	799	1072	1314	1511	1013	1522	957	1266	1450	1409	1228	1411	1540	841	1028	711	697					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1350	30	30	60	30	30	30	30	30	30	30	30	100	40	40	30	30	40	50	30	30	80	30	30	30	250	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	853	8	4	33	21	22	20	15	11	21	11	11	78	34	31	16	20	27	32	12	14	71	14	20	16	202	22	21	11	12	10	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	606	11	11	17	10	19	20	7	7	10	14	17	46	16	15	25	5	13	10	14	32	25	107	18	16	22	16	15	21	11	29	7					
14	Число погашенных неиспользованных открепительных удостоверений	497	22	26	27	9	8	10	15	19	9	19	19	22	6	9	14	10	13	18	18	16	9	16	10	14	48	8	9	19	18	20	17					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	2	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	1.Политическая партия «Аграрная партия России»	861	8	7	41	39	38	49	9	24	35	10	13	12	42	42	19	25	29	51	13	36	20	48	35	27	48	23	40	22	34	12	10					
		2.39%	1.21%	1.01%	3.09%	2.75%	2.55%	2.76%	1.40%	3.34%	2.97%	1.71%	1.55%	0.75%	2.77%	2.54%	2.36%	2.30%	2.20%	3.35%	1.26%	2.35%	2.06%	3.77%	2.39%	1.89%	3.86%	1.62%	2.55%	2.59%	3.29%	1.67%	1.42%					
19	2.Всероссийская политическая партия «Гражданская Сила»	610	4	8	14	27	22	33	8	8	31	14	26	7	19	29	18	27	36	24	27	25	16	16	24	41	8	15	25	12	10	18	18					
		1.69%	0.60%	1.15%	1.06%	1.91%	1.48%	1.86%	1.25%	1.11%	2.63%	2.39%	3.09%	0.44%	1.25%	1.75%	2.23%	2.49%	2.73%	1.57%	2.63%	1.63%	1.65%	1.26%	1.64%	2.88%	0.64%	1.05%	1.60%	1.42%	0.97%	2.50%	2.55%					
20	3.Политическая партия «Демократическая партия России»	50	1	0	2	3	5	0	0	3	2	1	1	1	0	3	0	4	1	3	6	1	1	3	1	2	3	0	1	0	1	1	0					
		0.14%	0.15%	0.00%	0.15%	0.21%	0.34%	0.00%	0.00%	0.42%	0.17%	0.17%	0.12%	0.06%	0.00%	0.18%	0.00%	0.37%	0.08%	0.20%	0.58%	0.07%	0.10%	0.24%	0.07%	0.14%	0.24%	0.00%	0.06%	0.00%	0.10%	0.14%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7054	93	118	284	199	265	196	146	190	186	85	127	78	421	408	229	209	324	338	252	330	202	353	226	196	199	282	340	190	289	159	140					
