Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Альметьевская городская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815					
1	"Число избирателей, внесенных в список"	109364	2433	2297	1135	2114	1906	1975	1935	1937	2070	2004	2163	1883	2003	2161	2182	1988	2266	2404	1563	1811	1940	1911	2029	2534	1656	2459	2287	1890	2264	1838	2252	2025	2024	2112	2232	1100	2419	2209	1932	2170	2576	2003	2170	2317	2210	2140	2200	2768	2259	2182	1652	2010	832	197	335					
2	Число полученных избирательных бюллетеней	110198	2446	2314	1137	2109	1920	1975	1944	1958	2076	2031	2192	1879	2068	2215	2158	2040	2305	2257	1563	1772	1963	1964	2044	2557	1674	2483	2297	1891	2289	1873	2272	2065	2056	2103	2286	1111	2417	2248	1983	2169	2593	2052	2188	2356	2222	2174	2219	2789	2289	2181	1676	1990	825	202	338					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	84858	1810	1790	951	1641	1281	1534	1267	1569	1531	1552	2022	1569	1479	1863	1743	1621	1734	1844	1404	1349	1465	1473	1597	2018	1186	1923	1668	1432	1703	1325	1677	1657	1508	1554	1749	793	1833	1680	1594	1636	1979	1524	1594	1825	1737	1653	1642	2220	1795	1853	1304	1601	701	122	283					
5	"Число избирательных бюллетеней, выданных вне помещения"	3158	127	55	55	75	125	116	85	25	107	100	45	37	55	33	18	59	54	26	42	37	74	60	60	104	18	44	39	22	53	131	47	110	104	58	90	57	53	97	67	56	41	44	83	39	21	43	23	34	20	15	33	26	7	75	34					
6	Число погашенных избирательных бюллетеней	22182	509	469	131	393	514	325	592	364	438	379	125	273	534	319	397	360	517	387	117	386	424	431	387	435	470	516	590	437	533	417	548	298	444	491	447	261	531	471	322	477	573	484	511	492	464	478	554	535	474	313	339	363	117	5	21					
7	Число избирательных бюллетеней в переносных ящиках	3158	127	55	55	75	125	116	85	25	107	100	45	37	55	33	18	59	54	26	42	37	74	60	60	104	18	44	39	22	53	131	47	110	104	58	90	57	53	97	67	56	41	44	83	39	21	43	23	34	20	15	33	26	7	75	34					
8	Число бюллетеней в стационарных ящиках для голосования	84831	1810	1790	951	1641	1281	1534	1264	1569	1531	1552	2022	1569	1479	1863	1743	1621	1734	1844	1404	1347	1464	1473	1597	2014	1186	1923	1662	1432	1703	1325	1677	1657	1508	1554	1749	793	1829	1678	1594	1636	1979	1524	1594	1825	1735	1653	1642	2220	1795	1850	1304	1601	701	122	283					
9	Число недействительных избирательных бюллетеней	1488	42	29	12	24	19	21	34	24	21	31	33	15	19	66	15	18	26	36	9	13	35	21	34	20	17	41	40	24	19	31	45	15	22	39	44	10	63	29	27	25	21	21	18	29	24	41	20	75	26	15	29	36	11	7	7					
10	Число действительных избирательных бюллетеней	86501	1895	1816	994	1692	1387	1629	1315	1570	1617	1621	2034	1591	1515	1830	1746	1662	1762	1834	1437	1371	1503	1512	1623	2098	1187	1926	1661	1430	1737	1425	1679	1752	1590	1573	1795	840	1819	1746	1634	1667	1999	1547	1659	1835	1732	1655	1645	2179	1789	1850	1308	1591	697	190	310					
11	Число полученных открепительных  удостоверений	3993	80	80	60	70	70	70	70	75	75	75	80	75	75	80	75	75	80	80	75	75	75	75	75	80	75	75	80	75	80	75	80	80	74	80	75	60	80	75	75	75	80	75	80	80	80	75	80	80	80	75	70	75	49	0	0					
12	Число выданных открепительных удостоверений	1360	29	27	8	13	13	13	12	19	16	27	37	19	36	68	47	34	29	55	34	37	19	44	23	23	12	30	29	17	31	29	22	27	23	20	34	7	17	13	20	30	24	30	17	18	31	30	21	44	19	28	21	30	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	453	16	14	2	9	9	5	5	4	7	3	9	5	6	8	6	10	6	18	8	6	13	8	16	5	2	7	5	2	13	4	9	24	16	11	12	2	10	16	8	4	11	1	5	9	12	8	7	9	5	16	6	2	0	15	4					
14	Число неиспользованных открепительных удостоверений	2633	51	53	52	57	57	57	58	56	59	48	43	56	39	12	28	41	51	25	41	38	56	31	52	57	63	45	51	58	49	46	58	53	51	60	41	53	63	62	55	45	56	45	63	62	49	45	59	36	61	47	49	45	45	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	. Глазьев Сергей Юрьевич	3515	74	67	39	93	47	70	71	50	75	67	34	76	63	29	75	64	70	51	51	61	60	67	77	93	51	79	75	63	92	50	82	70	85	62	82	27	71	47	62	81	88	64	34	77	77	91	77	103	69	69	56	48	42	4	13					
		3.99%	3.82%	3.63%	3.88%	5.42%	3.34%	4.24%	5.26%	3.14%	4.58%	4.06%	1.64%	4.73%	4.11%	1.53%	4.26%	3.81%	3.91%	2.73%	3.53%	4.41%	3.90%	4.37%	4.65%	4.39%	4.24%	4.02%	4.41%	4.33%	5.24%	3.43%	4.76%	3.96%	5.27%	3.85%	4.46%	3.18%	3.77%	2.65%	3.73%	4.79%	4.36%	4.08%	2.03%	4.13%	4.38%	5.37%	4.62%	4.57%	3.80%	3.70%	4.19%	2.95%	5.93%	2.03%	4.10%					
19	. Малышкин Олег Александрович	1565	42	45	20	54	29	32	21	24	25	30	16	27	23	17	26	32	26	56	33	20	26	24	29	37	30	38	26	24	27	34	32	30	17	42	42	14	26	30	25	30	42	24	20	37	27	37	39	36	27	32	29	21	9	2	2					
		1.78%	2.17%	2.44%	1.99%	3.15%	2.06%	1.94%	1.56%	1.51%	1.53%	1.82%	0.77%	1.68%	1.50%	0.90%	1.48%	1.90%	1.45%	2.99%	2.28%	1.45%	1.69%	1.57%	1.75%	1.75%	2.49%	1.93%	1.53%	1.65%	1.54%	2.34%	1.86%	1.70%	1.05%	2.61%	2.28%	1.65%	1.38%	1.69%	1.51%	1.77%	2.08%	1.53%	1.19%	1.98%	1.54%	2.18%	2.34%	1.60%	1.49%	1.72%	2.17%	1.29%	1.27%	1.02%	0.63%					
20	. Миронов Сергей Михайлович	1663	38	37	17	25	27	28	42	24	26	25	11	28	31	11	30	33	26	47	31	32	49	36	30	34	27	38	45	39	39	23	29	27	24	31	37	29	36	41	28	19	33	32	39	40	45	30	28	47	39	25	16	32	19	5	3					
		1.89%	1.96%	2.01%	1.69%	1.46%	1.92%	1.70%	3.11%	1.51%	1.59%	1.51%	0.53%	1.74%	2.02%	0.58%	1.70%	1.96%	1.45%	2.51%	2.14%	2.31%	3.19%	2.35%	1.81%	1.61%	2.24%	1.93%	2.65%	2.68%	2.22%	1.58%	1.68%	1.53%	1.49%	1.92%	2.01%	3.41%	1.91%	2.31%	1.69%	1.12%	1.63%	2.04%	2.33%	2.15%	2.56%	1.77%	1.68%	2.09%	2.15%	1.34%	1.20%	1.97%	2.68%	2.54%	0.95%					
21	. Путин Владимир Владимирович	61670	1325	1271	817	1152	952	1060	816	1169	1163	1146	1890	1084	1072	1679	1238	1229	1281	1288	1009	950	1030	1020	1145	1584	811	1343	1172	992	1246	1005	1163	1189	1091	1115	1235	540	1219	1235	1133	1162	1388	1058	1276	1302	1183	1110	1160	1546	1289	1340	934	1215	481	144	223					
		70.09%	68.40%	68.89%	81.21%	67.13%	67.71%	64.24%	60.49%	73.34%	71.00%	69.37%	91.44%	67.50%	69.88%	88.55%	70.30%	73.15%	71.64%	68.88%	69.78%	68.64%	66.97%	66.54%	69.10%	74.79%	67.36%	68.28%	68.90%	68.23%	70.96%	69.02%	67.46%	67.29%	67.68%	69.17%	67.16%	63.53%	64.77%	69.58%	68.21%	68.68%	68.71%	67.47%	76.09%	69.85%	67.37%	65.45%	69.67%	68.59%	71.02%	71.85%	69.86%	74.68%	67.94%	73.10%	70.35%					
22	. Хакамада Ирина Муцуовна	3286	65	64	25	79	38	67	59	43	51	66	28	66	65	20	67	78	70	51	54	68	74	85	50	75	71	82	78	52	70	43	75	76	88	55	63	33	67	65	60	59	68	55	21	85	65	68	52	94	81	66	55	84	29	5	13					
		3.73%	3.36%	3.47%	2.49%	4.60%	2.70%	4.06%	4.37%	2.70%	3.11%	4.00%	1.35%	4.11%	4.24%	1.05%	3.80%	4.64%	3.91%	2.73%	3.73%	4.91%	4.81%	5.54%	3.02%	3.54%	5.90%	4.17%	4.59%	3.58%	3.99%	2.95%	4.35%	4.30%	5.46%	3.41%	3.43%	3.88%	3.56%	3.66%	3.61%	3.49%	3.37%	3.51%	1.25%	4.56%	3.70%	4.01%	3.12%	4.17%	4.46%	3.54%	4.11%	5.16%	4.10%	2.54%	4.10%					
23	. Харитонов Николай Михайлович	11303	299	256	40	220	245	324	250	179	251	212	22	249	193	73	226	172	213	232	166	169	214	217	247	180	144	260	199	199	200	212	236	261	207	205	275	164	321	268	246	245	287	236	248	218	240	251	195	256	199	211	170	138	93	22	48					
		12.85%	15.44%	13.88%	3.98%	12.82%	17.43%	19.64%	18.53%	11.23%	15.32%	12.83%	1.06%	15.50%	12.58%	3.85%	12.83%	10.24%	11.91%	12.41%	11.48%	12.21%	13.91%	14.16%	14.91%	8.50%	11.96%	13.22%	11.70%	13.69%	11.39%	14.56%	13.69%	14.77%	12.84%	12.72%	14.95%	19.29%	17.06%	15.10%	14.81%	14.48%	14.21%	15.05%	14.79%	11.70%	13.67%	14.80%	11.71%	11.36%	10.96%	11.31%	12.72%	8.48%	13.14%	11.17%	15.14%					
																																																														
24	Против всех	3499	52	76	36	69	49	48	56	81	26	75	33	61	68	1	84	54	76	109	93	71	50	63	45	95	53	86	66	61	63	58	62	99	78	63	61	33	79	60	80	71	93	78	21	76	95	68	94	97	85	107	48	53	24	8	8					
		3.98%	2.68%	4.12%	3.58%	4.02%	3.49%	2.91%	4.15%	5.08%	1.59%	4.54%	1.60%	3.80%	4.43%	0.05%	4.77%	3.21%	4.25%	5.83%	6.43%	5.13%	3.25%	4.11%	2.72%	4.49%	4.40%	4.37%	3.88%	4.20%	3.59%	3.98%	3.60%	5.60%	4.84%	3.91%	3.32%	3.88%	4.20%	3.38%	4.82%	4.20%	4.60%	4.97%	1.25%	4.08%	5.41%	4.01%	5.65%	4.30%	4.68%	5.74%	3.59%	3.26%	3.39%	4.06%	2.52%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
