Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Ленская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261					
1	"Число избирателей, внесенных в списки избирателей"	26686	239	1090	614	620	1806	738	1119	849	37	287	107	1167	1403	432	294	743	643	1420	811	766	1347	1121	281	1167	448	674	336	1324	1086	848	561	234	196	87	92	429	125	89	722	105	229					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27172	257	920	500	500	3930	800	1075	790	40	260	100	950	1150	400	250	650	800	1250	750	950	1150	925	250	1000	400	600	225	1150	1050	700	900	220	180	75	90	425	130	100	825	225	230					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	743	102	0	0	0	589	0	0	43	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16048	137	545	336	355	376	505	713	548	34	197	69	657	783	209	161	396	622	877	500	730	810	674	164	585	232	382	146	752	701	450	544	175	151	75	90	367	116	89	531	74	190					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	996	0	24	18	15	338	24	31	61	3	0	4	50	11	6	12	13	21	31	26	36	14	16	12	16	9	7	12	18	18	11	17	19	9	0	0	25	9	0	43	8	9					
6	Число погашенных избирательных бюллетеней	9385	18	351	146	130	2627	271	331	138	3	63	27	243	356	176	77	241	157	342	224	184	326	235	74	399	159	211	67	380	331	239	339	26	20	0	0	33	5	11	251	143	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1739	102	24	18	15	927	24	31	104	3	0	4	50	11	15	12	13	21	31	26	36	14	16	12	16	9	7	12	18	18	11	17	19	9	0	0	25	9	0	43	8	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16028	137	545	335	355	376	505	713	548	34	197	69	657	783	209	161	396	622	874	500	730	810	674	164	569	232	382	146	752	701	450	544	175	151	75	90	367	116	89	531	74	190					
9	Число недействительных избирательных бюллетеней	182	1	6	2	2	21	0	4	5	0	2	1	11	13	2	4	2	5	7	8	13	7	11	1	6	1	3	2	16	6	2	10	1	0	0	0	0	1	0	5	0	1					
10	Число действительных избирательных бюллетеней	17585	238	563	351	368	1282	529	740	647	37	195	72	696	781	222	169	407	638	898	518	753	817	679	175	579	240	386	156	754	713	459	551	193	160	75	90	392	124	89	569	82	198					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	495	5	15	10	10	10	15	20	20	5	5	5	15	15	10	10	15	20	20	15	20	20	15	5	15	10	10	5	15	15	15	20	5	5	5	5	30	5	5	15	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	126	1	1	1	1	3	2	4	3	0	0	0	4	0	3	0	4	5	8	4	4	7	6	0	5	3	0	0	8	5	6	2	0	0	0	0	25	1	0	9	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	80	0	5	2	2	28	0	2	0	0	0	2	3	2	0	0	2	3	0	1	4	4	1	2	0	1	1	0	0	0	0	3	4	0	0	0	3	0	2	3	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	369	4	14	9	9	7	13	16	17	5	5	5	11	15	7	10	11	15	12	11	16	13	9	5	10	7	10	5	7	10	9	18	5	5	5	5	5	4	5	6	4	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	1.Политическая партия «Аграрная партия России»	211	8	5	2	5	20	3	10	11	0	0	1	10	6	1	1	3	12	11	3	3	9	12	1	7	3	7	3	9	2	7	7	3	1	1	1	3	0	0	15	0	5					
		1.19%	3.35%	0.88%	0.57%	1.35%	1.53%	0.57%	1.34%	1.69%	0.00%	0.00%	1.37%	1.41%	0.76%	0.45%	0.58%	0.73%	1.87%	1.22%	0.57%	0.39%	1.09%	1.74%	0.57%	1.20%	1.24%	1.80%	1.90%	1.17%	0.28%	1.52%	1.25%	1.55%	0.63%	1.33%	1.11%	0.77%	0.00%	0.00%	2.61%	0.00%	2.51%					
19	2.Всероссийская политическая партия «Гражданская Сила»	69	0	0	3	1	1	4	4	1	0	0	0	2	0	3	2	2	1	5	3	4	5	5	1	3	2	2	0	2	4	3	2	0	0	0	0	2	0	0	0	0	2					
		0.39%	0.00%	0.00%	0.85%	0.27%	0.08%	0.76%	0.54%	0.15%	0.00%	0.00%	0.00%	0.28%	0.00%	1.34%	1.16%	0.49%	0.16%	0.55%	0.57%	0.52%	0.61%	0.72%	0.57%	0.51%	0.83%	0.51%	0.00%	0.26%	0.56%	0.65%	0.36%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	1.01%					
20	3.Политическая партия «Демократическая партия России»	34	1	0	0	2	5	0	0	1	0	0	0	0	0	1	2	0	1	1	2	3	2	2	0	0	0	0	1	0	2	1	1	0	1	0	3	2	0	0	0	0	0					
		0.19%	0.42%	0.00%	0.00%	0.54%	0.38%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	1.16%	0.00%	0.16%	0.11%	0.38%	0.39%	0.24%	0.29%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.28%	0.22%	0.18%	0.00%	0.63%	0.00%	3.33%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1387	28	53	28	37	99	54	43	48	3	11	0	68	63	13	22	33	67	81	53	59	58	49	15	40	9	21	20	38	43	43	26	26	21	2	2	46	13	1	32	11	8					
		7.81%	11.72%	9.31%	7.93%	10.00%	7.60%	10.21%	5.78%	7.36%	8.11%	5.58%	0.00%	9.62%	7.93%	5.80%	12.72%	8.07%	10.42%	8.95%	10.08%	7.70%	7.04%	7.10%	8.52%	6.84%	3.73%	5.40%	12.66%	4.94%	5.98%	9.33%	4.63%	13.40%	13.13%	2.67%	2.22%	11.73%	10.40%	1.12%	5.57%	13.41%	4.02%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	189	2	1	0	2	11	0	1	1	0	0	0	3	10	5	3	4	10	24	16	10	14	10	2	9	1	6	4	8	9	5	4	3	1	0	0	5	2	0	1	1	1					
		1.06%	0.84%	0.18%	0.00%	0.54%	0.84%	0.00%	0.13%	0.15%	0.00%	0.00%	0.00%	0.42%	1.26%	2.23%	1.73%	0.98%	1.56%	2.65%	3.04%	1.31%	1.70%	1.45%	1.14%	1.54%	0.41%	1.54%	2.53%	1.04%	1.25%	1.08%	0.71%	1.55%	0.63%	0.00%	0.00%	1.28%	1.60%	0.00%	0.17%	1.22%	0.50%					
23	6.Политическая партия «Партия социальной справедливости»	37	0	1	0	1	4	0	0	1	0	0	0	1	1	2	0	2	0	4	3	1	1	2	0	0	0	1	1	1	4	1	0	1	0	1	1	0	0	0	2	0	0					
