Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Ростовская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651					
1	"Число избирателей, внесенных в список"	57869	2145	2111	2555	2002	1485	1719	2725	2453	2039	2490	2840	2743	2728	927	2072	594	128	365	471	1169	227	283	204	121	215	479	167	544	170	2324	2119	215	433	372	1583	353	397	181	669	298	485	273	811	893	270	690	2309	2335	1821	397	470					
2	Число полученных избирательных бюллетеней	54000	2000	2000	2250	1800	1450	1500	2450	2250	1750	2250	2550	2450	2600	1000	2000	600	131	380	500	1000	230	300	220	162	217	450	168	550	174	2100	2000	193	400	400	1500	350	410	185	550	300	500	300	750	850	250	650	2200	2200	1700	380	450					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30246	1134	1171	1394	969	738	868	1270	1112	1017	1506	1700	1557	1455	388	1024	305	67	172	224	679	101	131	128	71	126	241	75	312	94	1092	1226	79	249	131	827	171	227	109	349	177	241	129	362	407	56	358	1344	1320	905	217	241					
5	"Число избирательных бюллетеней, выданных вне помещения"	3218	21	22	8	51	88	66	60	82	112	44	62	32	46	227	158	88	29	108	94	107	37	75	14	50	35	46	34	16	29	99	125	75	91	97	46	51	10	10	87	65	20	61	76	53	92	41	67	35	53	68	55					
6	Число погашенных избирательных бюллетеней	20526	845	807	848	780	624	566	1120	1056	621	700	779	861	1099	385	818	207	35	100	182	213	92	94	78	41	56	163	59	222	51	909	649	39	60	172	627	128	173	66	114	58	239	110	312	390	102	251	789	845	742	95	154					
7	Число избирательных бюллетеней в переносных ящиках	3218	21	22	8	51	88	66	60	82	112	44	62	32	46	227	158	88	29	108	94	107	37	75	14	50	35	46	34	16	29	99	125	75	91	97	46	51	10	10	87	65	20	61	76	53	92	41	67	35	53	68	55					
8	Число бюллетеней в стационарных ящиках для голосования	30183	1134	1170	1394	968	738	868	1270	1112	1011	1503	1655	1557	1454	388	1023	304	67	172	224	679	101	131	128	71	126	241	75	312	94	1092	1226	79	249	131	827	171	227	109	349	177	241	129	362	407	56	358	1343	1319	903	217	241					
9	Число недействительных избирательных бюллетеней	356	7	17	3	18	8	10	15	8	6	16	13	14	18	10	18	6	0	0	7	9	4	3	4	0	1	6	0	3	1	11	5	0	6	2	13	3	0	3	6	1	2	6	2	5	4	5	18	14	20	1	4					
10	Число действительных избирательных бюллетеней	33045	1148	1175	1399	1001	818	924	1315	1186	1117	1531	1704	1575	1482	605	1163	386	96	280	311	777	134	203	138	121	160	281	109	325	122	1180	1346	154	334	226	860	219	237	116	430	241	259	184	436	455	144	394	1392	1340	936	284	292					
11	Число полученных открепительных  удостоверений	1275	35	35	35	35	25	25	35	35	25	35	35	35	35	20	35	20	20	20	20	25	20	20	20	20	20	20	20	20	20	35	35	20	20	20	25	20	20	20	20	20	20	20	20	20	20	20	35	35	25	20	20					
12	Число выданных открепительных удостоверений	252	7	3	3	12	9	5	5	8	5	10	12	17	20	2	9	2	3	1	0	6	0	1	1	0	3	8	1	1	0	6	14	1	0	1	6	1	0	1	3	2	0	2	4	6	0	1	13	12	20	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	207	8	8	5	8	2	5	7	6	6	6	7	2	7	2	8	1	4	2	1	14	2	4	0	0	5	6	1	4	0	3	11	1	7	2	4	1	0	2	2	4	1	2	4	2	1	3	12	4	6	2	2					
14	Число неиспользованных открепительных удостоверений	1023	28	32	32	23	16	20	30	27	20	25	23	18	15	18	26	18	17	19	20	19	20	19	19	20	17	12	19	19	20	29	21	19	20	19	19	19	20	19	17	18	20	18	16	14	20	19	22	23	5	19	16					
