Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Хорошевский район																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499					
1	"Число избирателей, внесенных в списки"	39160	2828	2173	2525	2473	2235	2794	2473	2462	2548	2573	2492	1941	2644	2388	2203	2408					
2	"Число бюллетеней, полученных участковыми комиссиями"	36300	2500	2000	2300	2100	2000	2600	2300	2300	2400	2400	2300	1800	2400	2200	2000	2700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22711	1601	983	1413	1525	1282	1737	1517	1445	1476	1628	1221	1122	1515	1420	1346	1480					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	612	23	29	40	44	41	33	25	42	41	67	19	32	56	55	52	13					
6	Число погашенных бюллетеней	12977	876	988	847	531	677	830	758	813	883	705	1060	646	829	725	602	1207					
7	Число бюллетеней в переносных ящиках для голосования	612	23	29	40	44	41	33	25	42	41	67	19	32	56	55	52	13					
8	Число бюллетеней в стационарных ящиках для голосования	22653	1599	980	1410	1521	1282	1737	1514	1443	1471	1627	1221	1121	1508	1420	1332	1467					
9	Число недействительных бюллетеней	192	7	12	14	28	12	21	6	13	14	12	10	6	6	15	12	4					
10	Число действительных бюллетеней	23073	1615	997	1436	1537	1311	1749	1533	1472	1498	1682	1230	1147	1558	1460	1372	1476					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1085	63	65	65	62	62	62	62	62	63	62	62	62	62	62	62	147					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	553	28	12	27	46	58	33	22	19	28	32	16	23	38	26	30	115					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	453	34	21	45	12	17	35	29	13	23	25	51	23	10	17	44	54					
14	Число погашенных открепительных удостоверений	532	35	53	38	16	4	29	40	43	35	30	46	39	24	36	32	32					
15	Число открепительных удостоверений выданных ТИК	8	0	0	3	0	0	0	0	0	0	1	0	0	0	2	1	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	112	6	6	11	12	6	6	4	5	6	14	6	2	3	9	8	8					
		0.48%	0.36%	0.59%	0.75%	0.76%	0.45%	0.33%	0.25%	0.33%	0.39%	0.82%	0.48%	0.17%	0.19%	0.61%	0.57%	0.54%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2387	188	62	145	129	114	129	137	111	156	147	173	148	247	126	154	221					
		10.26%	11.59%	6.14%	10.0%	8.24%	8.61%	7.28%	8.90%	7.47%	10.31%	8.67%	13.95%	12.83%	15.79%	8.54%	11.12%	14.93%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	464	30	17	21	33	30	36	32	48	37	33	23	26	36	29	11	22					
		1.99%	1.84%	1.68%	1.44%	2.10%	2.26%	2.03%	2.07%	3.23%	2.44%	1.94%	1.85%	2.25%	2.30%	1.96%	0.79%	1.48%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2887	211	91	141	172	145	186	171	156	218	193	187	170	217	187	239	203					
