Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																											
Дата голосования: 04.12.2011																																											
																																											
Наименование Избирательной комиссии:    Сухобузимская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №2267	УИК №2280					
1	"Число избирателей, внесенных в список избирателей"	16712	1180	333	336	205	433	646	399	777	225	211	262	857	136	346	1899	114	319	97	218	212	737	347	119	142	1492	686	921	56	138	175	1332	149	138	129	382	564					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16436	1163	329	330	204	437	623	386	775	224	210	268	843	136	339	1923	110	296	88	218	201	736	352	124	141	1433	645	886	49	132	176	1324	152	130	121	369	563					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7747	486	148	151	105	211	310	196	335	102	98	88	388	117	164	846	59	235	72	162	151	368	167	56	61	689	289	348	37	85	85	495	123	65	97	190	168					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	716	82	8	4	5	10	22	49	24	11	6	9	33	0	12	47	0	27	0	8	22	91	10	0	20	50	3	22	0	2	10	40	0	7	7	38	37					
6	Число погашенных избирательных бюллетеней	7973	595	173	175	94	216	291	141	416	111	106	171	422	19	163	1030	51	34	16	48	28	277	175	68	60	694	353	516	12	45	81	789	29	58	17	141	358					
7	Число избирательных бюллетеней в переносных ящиках для голосования	716	82	8	4	5	10	22	49	24	11	6	9	33	0	12	47	0	27	0	8	22	91	10	0	20	50	3	22	0	2	10	40	0	7	7	38	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7747	486	148	151	105	211	310	196	335	102	98	88	388	117	164	846	59	235	72	162	151	368	167	56	61	689	289	348	37	85	85	495	123	65	97	190	168					
9	Число недействительных избирательных бюллетеней	131	5	3	4	3	9	3	1	5	4	1	7	11	0	1	17	0	3	1	1	1	4	4	0	1	9	5	6	0	0	1	9	0	0	1	7	4					
10	Число действительных избирательных бюллетеней	8332	563	153	151	107	212	329	244	354	109	103	90	410	117	175	876	59	259	71	169	172	455	173	56	80	730	287	364	37	87	94	526	123	72	103	221	201					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	338	25	7	7	4	9	12	8	15	4	4	5	17	3	7	38	2	6	2	4	4	17	7	2	3	30	13	20	1	3	3	30	3	3	2	7	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	109	7	0	4	0	2	5	1	9	0	1	1	5	0	0	13	1	2	0	0	0	4	3	0	2	21	5	10	0	0	1	6	0	2	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	93	4	2	1	1	1	4	5	0	1	1	0	8	1	5	4	2	4	1	1	1	4	2	2	1	2	1	4	4	2	2	7	1	3	3	3	5					
14	Число погашенных неиспользованных открепительных удостоверений	229	18	7	3	4	7	7	7	6	4	3	4	12	3	7	25	1	4	2	4	4	13	4	2	1	9	8	10	1	3	2	24	3	1	2	6	8					
