Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Торжокская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16246	140	125	461	595	451	578	573	847	404	1127	711	393	415	616	531	552	508	921	1412	364	418	666	378	402	555	772	481	203	329	318									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12200	100	100	350	450	350	400	400	650	300	800	550	300	400	450	400	400	400	700	1050	300	300	500	300	300	400	550	350	150	250	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4993	70	52	92	116	86	193	103	338	152	397	208	114	194	201	240	126	179	236	559	100	117	133	86	112	145	205	144	88	91	116									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2203	6	16	104	147	79	72	80	15	0	205	69	104	115	64	19	101	64	184	51	60	84	102	41	70	113	94	22	32	61	29									
6	Число погашенных избирательных бюллетеней	5004	24	32	154	187	185	135	217	297	148	198	273	82	91	185	141	173	157	280	440	140	99	265	173	118	142	251	184	30	98	105									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2203	6	16	104	147	79	72	80	15	0	205	69	104	115	64	19	101	64	184	51	60	84	102	41	70	113	94	22	32	61	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4993	70	52	92	116	86	193	103	338	152	397	208	114	194	201	240	126	179	236	559	100	117	133	86	112	145	205	144	88	91	116									
9	Число недействительных избирательных бюллетеней	101	1	0	0	1	0	1	6	3	3	22	5	2	0	3	3	3	2	4	14	3	1	7	0	0	6	6	0	0	3	2									
10	Число действительных избирательных бюллетеней	7095	75	68	196	262	165	264	177	350	149	580	272	216	309	262	256	224	241	416	596	157	200	228	127	182	252	293	166	120	149	143									
