Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Нытвенская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132					
1	"Число избирателей, внесенных в список"	36119	1054	1175	1264	2525	2494	2268	2029	235	2330	859	1053	1022	957	1659	1746	1554	2275	790	389	431	657	396	467	1390	994	1348	644	276	770	379	339	350					
2	Число полученных избирательных бюллетеней	38000	1100	1200	1300	2550	2600	2300	2050	250	2400	1000	1100	1100	1000	1700	1750	1600	2300	900	500	450	700	400	500	1500	1100	1500	750	300	850	450	400	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	22	30	51	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20476	546	461	603	1532	1365	1340	1150	139	1137	486	491	534	422	1096	1236	1142	1412	552	301	267	243	253	247	843	478	644	391	131	418	248	179	189					
5	"Число избирательных бюллетеней, выданных вне помещения"	2534	84	186	67	129	38	96	59	41	90	54	89	53	60	43	22	18	36	85	50	97	186	51	57	98	149	115	60	73	110	73	78	87					
6	Число погашенных избирательных бюллетеней	14875	470	553	630	889	1197	864	841	70	1173	460	520	513	518	561	492	440	852	251	149	86	271	96	196	537	443	690	299	96	322	129	143	124					
7	Число избирательных бюллетеней в переносных ящиках	2649	84	186	67	129	38	96	59	41	90	54	89	53	60	43	22	18	36	97	50	97	186	51	57	120	179	166	60	73	110	73	78	87					
8	Число бюллетеней в стационарных ящиках для голосования	20472	546	461	602	1532	1365	1340	1150	139	1137	486	491	534	422	1096	1236	1139	1412	552	301	267	243	253	247	843	478	644	391	131	418	248	179	189					
9	Число недействительных избирательных бюллетеней	176	3	6	5	7	4	10	8	4	8	6	5	11	3	15	9	5	8	1	4	1	4	7	2	6	4	14	2	3	6	4	0	1					
10	Число действительных избирательных бюллетеней	22945	627	641	664	1654	1399	1426	1201	176	1219	534	575	576	479	1124	1249	1152	1440	648	347	363	425	297	302	957	653	796	449	201	522	317	257	275					
11	Число полученных открепительных  удостоверений	498	15	10	10	30	20	20	15	10	15	20	15	10	10	15	15	15	20	10	5	5	10	5	10	30	20	45	23	5	20	30	5	10					
12	Число выданных открепительных удостоверений	399	12	9	10	28	20	20	9	6	15	16	12	6	7	11	6	6	18	7	3	2	6	3	3	20	20	45	19	5	11	30	5	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	188	9	20	5	10	8	10	8	3	7	2	3	4	1	4	10	4	4	7	0	4	1	3	1	11	7	7	9	5	6	9	3	3					
14	Число неиспользованных открепительных удостоверений	99	3	1	0	2	0	0	6	4	0	4	3	4	3	4	9	9	2	3	2	3	4	2	7	10	0	0	4	0	9	0	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	579	16	13	19	54	69	46	38	3	39	7	15	12	10	19	33	38	24	7	6	4	4	2	5	23	21	17	16	5	8	3	3	0					
		2.50%	2.54%	2.01%	2.84%	3.25%	4.92%	3.20%	3.14%	1.67%	3.18%	1.30%	2.59%	2.04%	2.07%	1.67%	2.62%	3.28%	1.66%	1.08%	1.71%	1.10%	0.93%	0.66%	1.64%	2.39%	3.20%	2.10%	3.55%	2.45%	1.52%	0.93%	1.17%	0.00%					
19	. Малышкин Олег Александрович	543	19	16	15	42	37	34	22	13	38	9	11	13	10	28	25	20	37	9	12	13	6	10	7	33	11	13	14	3	12	1	5	5					
		2.35%	3.02%	2.47%	2.24%	2.53%	2.64%	2.37%	1.82%	7.22%	3.10%	1.67%	1.90%	2.21%	2.07%	2.46%	1.99%	1.73%	2.56%	1.39%	3.42%	3.57%	1.40%	3.29%	2.30%	3.43%	1.67%	1.60%	3.10%	1.47%	2.27%	0.31%	1.95%	1.81%					
20	. Миронов Сергей Михайлович	194	7	5	5	18	10	8	14	0	12	4	6	0	3	5	7	7	9	5	4	3	2	8	2	7	4	14	6	3	7	4	1	4					
		0.84%	1.11%	0.77%	0.75%	1.08%	0.71%	0.56%	1.16%	0.00%	0.98%	0.74%	1.03%	0.00%	0.62%	0.44%	0.56%	0.61%	0.62%	0.77%	1.14%	0.82%	0.47%	2.63%	0.66%	0.73%	0.61%	1.73%	1.33%	1.47%	1.33%	1.25%	0.39%	1.45%					
21	. Путин Владимир Владимирович	17629	468	473	485	1254	1035	1086	888	133	905	398	405	366	340	909	957	924	1153	542	287	296	355	234	253	725	513	629	348	159	413	256	209	231					
		76.25%	74.29%	73.11%	72.50%	75.50%	73.77%	75.63%	73.45%	73.89%	73.76%	73.70%	69.83%	62.35%	70.54%	79.81%	76.07%	79.86%	79.63%	83.51%	81.77%	81.32%	82.75%	76.97%	83.22%	75.29%	78.08%	77.65%	77.16%	77.94%	78.22%	79.75%	81.32%	83.70%					
22	. Хакамада Ирина Муцуовна	795	30	22	31	68	76	58	40	4	43	29	14	28	14	41	36	32	61	16	11	5	14	4	6	39	14	16	18	9	6	4	6	0					
		3.44%	4.76%	3.40%	4.63%	4.09%	5.42%	4.04%	3.31%	2.22%	3.50%	5.37%	2.41%	4.77%	2.90%	3.60%	2.86%	2.77%	4.21%	2.47%	3.13%	1.37%	3.26%	1.32%	1.97%	4.05%	2.13%	1.98%	3.99%	4.41%	1.14%	1.25%	2.33%	0.00%					
23	. Харитонов Николай Михайлович	2437	70	90	84	144	105	128	155	17	140	70	106	140	88	95	157	104	107	53	20	37	30	23	19	85	63	81	40	17	71	40	31	27					
		10.54%	11.11%	13.91%	12.56%	8.67%	7.48%	8.91%	12.82%	9.44%	11.41%	12.96%	18.28%	23.85%	18.26%	8.34%	12.48%	8.99%	7.39%	8.17%	5.70%	10.16%	6.99%	7.57%	6.25%	8.83%	9.59%	10.00%	8.87%	8.33%	13.45%	12.46%	12.06%	9.78%					
																																							
24	Против всех	768	17	22	25	74	67	66	44	6	42	17	18	17	14	27	34	27	49	16	7	5	14	16	10	45	27	26	7	5	5	9	2	8					
		3.32%	2.70%	3.40%	3.74%	4.46%	4.78%	4.60%	3.64%	3.33%	3.42%	3.15%	3.10%	2.90%	2.90%	2.37%	2.70%	2.33%	3.38%	2.47%	1.99%	1.37%	3.26%	5.26%	3.29%	4.67%	4.11%	3.21%	1.55%	2.45%	0.95%	2.80%	0.78%	2.90%					
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
