Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																								
Дата голосования: 07.12.2003 0:00:00																																																								
																																																								
"Наименование Избирательной комиссии:    Рязань, Железнодорожная"																																																								
																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																								
																																																								
		Сумма	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167					
1	"Число избирателей, внесенных в списки"	115497	2224	2231	2259	2040	1755	2100	2246	2604	2358	2905	2926	2920	2299	2342	2632	2076	2471	2731	2120	2202	2447	2267	2544	1964	2083	2117	2506	2148	2340	2108	1985	2549	2657	2179	2339	2488	2178	2969	2157	2260	2160	2217	2835	2990	3073	2566	2782	2789	359					
2	"Число бюллетеней, полученных участковыми комиссиями"	113395	2200	2080	2220	2020	1740	2090	2210	2560	2310	2880	2860	2920	2260	2260	2530	2070	2440	2700	2090	2130	2430	2250	2500	1940	2000	2080	2460	2120	2320	2080	1880	2550	2630	2120	2230	2460	2130	2900	2120	2220	2470	2180	2790	2960	2950	2540	2760	2390	365					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	56783	1215	1089	1028	1045	619	881	1178	1263	981	1466	1128	1420	1113	1101	1122	859	966	1236	1096	938	1291	1111	1269	993	1096	1157	1161	1102	1156	1039	558	1482	1328	1273	1282	1416	983	1405	1103	1257	1293	980	1284	1480	2227	1311	1300	1343	359					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1521	40	30	16	30	10	7	9	7	5	31	23	16	18	31	56	25	42	29	41	31	31	32	17	35	32	23	7	8	21	29	16	42	21	73	94	31	18	31	19	10	35	16	19	31	47	19	32	235	0					
6	Число погашенных бюллетеней	55091	945	961	1176	945	1111	1202	1023	1290	1324	1383	1709	1484	1129	1128	1352	1186	1432	1435	953	1161	1108	1107	1214	912	872	900	1292	1010	1143	1012	1306	1026	1281	774	854	1013	1129	1464	998	953	1142	1184	1487	1449	676	1210	1428	812	6					
7	Число бюллетеней в переносных ящиках для голосования	1521	40	30	16	30	10	7	9	7	5	31	23	16	18	31	56	25	42	29	41	31	31	32	17	35	32	23	7	8	21	29	16	42	21	73	94	31	18	31	19	10	35	16	19	31	47	19	32	235	0					
8	Число бюллетеней в стационарных ящиках для голосования	56649	1214	1084	1023	1045	619	881	1176	1263	981	1466	1128	1420	1113	1101	1122	859	966	1236	1094	937	1291	1111	1269	986	1095	1154	1157	1100	1154	1037	556	1419	1326	1269	1278	1414	982	1402	1101	1257	1292	980	1280	1478	2227	1305	1299	1343	359					
9	Число недействительных бюллетеней	601	16	8	15	14	6	6	34	9	7	15	19	11	14	15	7	7	3	4	14	5	6	12	15	15	7	9	13	14	22	7	7	17	19	6	13	6	6	16	11	9	11	8	8	14	10	24	18	18	31					
10	Число действительных бюллетеней	57569	1238	1106	1024	1061	623	882	1151	1261	979	1482	1132	1425	1117	1117	1171	877	1005	1261	1121	963	1316	1131	1271	1006	1120	1168	1151	1094	1153	1059	565	1444	1328	1336	1359	1439	994	1417	1109	1258	1316	988	1291	1495	2264	1300	1313	1560	328					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1075	20	20	20	20	20	20	20	20	20	20	20	25	20	20	20	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	50	20	20	20	30	30	20	30	20	20	20	20	20	20	60	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	627	15	7	14	8	7	6	7	14	14	16	17	17	12	13	14	5	9	16	9	17	20	16	8	9	4	16	7	7	9	9	4	13	12	40	10	18	19	21	18	12	22	9	13	16	11	11	14	22	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	579	1	9	12	7	9	3	2	4	5	13	9	11	5	11	11	8	7	3	9	12	12	4	9	3	9	13	10	4	6	7	1	11	6	1	12	9	12	15	5	10	3	2	7	8	8	7	5	2	227					
14	Число погашенных открепительных удостоверений	448	5	13	6	12	13	14	13	6	6	4	3	8	8	7	6	15	11	4	11	3	10	4	12	11	16	4	13	13	11	11	16	7	8	10	10	2	1	9	12	8	8	11	7	4	9	9	6	38	0					
15	Число открепительных удостоверений выданных ТИК	24	0	0	0	0	3	0	0	0	2	2	0	0	2	1	4	0	0	0	0	0	1	0	0	0	1	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
