Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Тихорецкая городская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №5201	УИК №5202	УИК №5203	УИК №5204	УИК №5205	УИК №5206	УИК №5207	УИК №5208	УИК №5209	УИК №5210	УИК №5211	УИК №5212	УИК №5213	УИК №5214	УИК №5215	УИК №5216	УИК №5217	УИК №5218	УИК №5219	УИК №5220	УИК №5221	УИК №5222	УИК №5223	УИК №5224	УИК №5225	УИК №5226	УИК №5227	УИК №5228					
1	"Число избирателей, внесенных в список"	54585	2559	2176	2347	2393	2440	2448	2381	2420	2389	1999	1732	2074	2399	1761	1626	2327	1731	1648	1803	1896	2020	2011	2501	882	1371	308	1426	1517					
2	Число полученных избирательных бюллетеней	54000	2520	2150	2340	2380	2400	2400	2370	2370	2390	2000	1700	2040	2380	1740	1610	2320	1720	1620	1780	1900	2010	1980	2430	870	1370	310	1410	1490					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28364	1292	1011	1197	1347	1333	1264	1402	1354	1175	1042	869	1038	1201	853	796	1254	888	855	862	1061	985	1044	1555	413	724	170	636	743					
5	"Число избирательных бюллетеней, выданных вне помещения"	1258	40	46	48	37	23	20	23	18	47	78	38	64	27	73	50	37	42	57	68	74	41	28	10	59	30	13	121	46					
6	Число погашенных избирательных бюллетеней	24378	1188	1093	1095	996	1044	1116	945	998	1168	880	793	938	1152	814	764	1029	790	708	850	765	984	908	865	398	616	127	653	701					
7	Число избирательных бюллетеней в переносных ящиках	1258	40	46	48	37	23	20	23	18	47	78	38	64	27	73	50	37	42	57	68	74	41	28	10	59	30	13	121	46					
8	Число бюллетеней в стационарных ящиках для голосования	28362	1292	1011	1197	1347	1332	1264	1402	1354	1175	1042	869	1038	1200	853	796	1254	888	855	862	1061	985	1044	1555	413	724	170	636	743					
9	Число недействительных избирательных бюллетеней	251	7	11	18	13	4	12	15	11	9	7	10	10	17	5	8	6	7	7	9	7	6	9	9	10	15	0	2	7					
10	Число действительных избирательных бюллетеней	29369	1325	1046	1227	1371	1351	1272	1410	1361	1213	1113	897	1092	1210	921	838	1285	923	905	921	1128	1020	1063	1556	462	739	183	755	782					
11	Число полученных открепительных  удостоверений	685	30	25	30	30	30	30	30	30	30	25	25	25	30	25	20	30	25	20	20	20	25	20	30	15	15	15	15	20					
12	Число выданных открепительных удостоверений	242	8	6	15	19	12	10	10	14	19	13	1	5	2	8	5	14	4	6	3	4	8	10	28	1	7	3	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	130	4	2	7	5	11	3	7	4	8	7	1	6	3	4	1	13	0	1	6	7	6	6	9	2	3	1	1	2					
14	Число неиспользованных открепительных удостоверений	443	22	19	15	11	18	20	20	16	11	12	24	20	28	17	15	16	21	14	17	16	17	10	2	14	8	12	10	18					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	3	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
