Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																						
Дата голосования: 02.12.2007																						
																						
Наименование Избирательной комиссии:    Пижанская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967					
1	"Число избирателей, внесенных в списки избирателей"	8994	914	1684	470	208	329	252	1303	256	466	159	1095	432	386	505	535					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9350	860	1440	500	200	320	275	1450	300	590	185	1250	490	390	560	540					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5719	592	1253	378	147	267	192	663	123	316	84	604	200	284	282	334					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1870	95	135	40	35	31	48	402	97	100	40	291	182	59	157	158					
6	Число погашенных избирательных бюллетеней	1761	173	52	82	18	22	35	385	80	174	61	355	108	47	121	48					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1870	95	135	40	35	31	48	402	97	100	40	291	182	59	157	158					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5719	592	1253	378	147	267	192	663	123	316	84	604	200	284	282	334					
9	Число недействительных избирательных бюллетеней	52	4	18	1	0	2	0	3	2	5	2	4	2	4	2	3					
10	Число действительных избирательных бюллетеней	7537	683	1370	417	182	296	240	1062	218	411	122	891	380	339	437	489					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	328	6	39	14	4	9	11	84	15	29	5	40	17	17	20	18					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	327	6	39	14	4	9	11	83	15	29	5	40	17	17	20	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	71	2	15	5	2	2	2	11	2	6	1	6	4	2	6	5					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	3	17	7	0	2	0	19	1	2	0	7	0	2	2	0					
