Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Кардымовская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241					
1	"Число избирателей, внесенных в список избирателей"	9162	2118	1991	182	535	155	692	609	391	291	349	364	531	196	439	319					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9295	2110	2065	182	544	153	710	608	399	301	349	367	514	199	451	343					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3860	942	798	101	196	61	293	188	166	136	196	171	215	95	179	123					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1002	166	46	11	65	18	130	140	77	25	22	69	84	43	53	53					
6	Число погашенных избирательных бюллетеней	4433	1002	1221	70	283	74	287	280	156	140	131	127	215	61	219	167					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1002	166	46	11	65	18	130	140	77	25	22	69	84	43	53	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3860	942	798	101	196	61	293	188	166	136	196	171	215	95	179	123					
9	Число недействительных избирательных бюллетеней	68	16	12	0	5	3	2	7	1	3	5	1	9	1	2	1					
10	Число действительных избирательных бюллетеней	4794	1092	832	112	256	76	421	321	242	158	213	239	290	137	230	175					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	319	72	71	6	19	5	24	21	14	10	12	13	18	8	15	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	114	25	38	3	5	1	15	1	5	2	3	1	0	2	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	112	21	21	4	8	4	4	4	5	6	3	6	9	3	10	4					
14	Число погашенных неиспользованных открепительных удостоверений	205	47	33	3	14	4	9	20	9	8	9	12	18	6	10	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	3	4	0	0	0	0	1	0	0	0	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	678	193	137	19	39	7	46	48	18	18	23	26	39	13	37	15					
		13.94%	17.42%	16.23%	16.96%	14.94%	8.86%	10.87%	14.63%	7.41%	11.18%	10.55%	10.83%	13.04%	9.42%	15.95%	8.52%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	639	148	134	11	29	18	55	39	16	33	30	23	38	16	32	17					
		13.14%	13.36%	15.88%	9.82%	11.11%	22.78%	13.00%	11.89%	6.58%	20.50%	13.76%	9.58%	12.71%	11.59%	13.79%	9.66%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	46	9	8	1	2	0	3	2	6	1	4	1	3	3	2	1					
		0.95%	0.81%	0.95%	0.89%	0.77%	0.00%	0.71%	0.61%	2.47%	0.62%	1.83%	0.42%	1.00%	2.17%	0.86%	0.57%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	926	209	193	18	56	9	63	57	48	39	42	35	45	22	52	38					
		19.05%	18.86%	22.87%	16.07%	21.46%	11.39%	14.89%	17.38%	19.75%	24.22%	19.27%	14.58%	15.05%	15.94%	22.41%	21.59%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	91	31	21	0	9	0	6	4	0	4	2	3	4	2	3	2					
		1.87%	2.80%	2.49%	0.00%	3.45%	0.00%	1.42%	1.22%	0.00%	2.48%	0.92%	1.25%	1.34%	1.45%	1.29%	1.14%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2400	498	338	63	120	42	246	170	154	63	111	150	159	81	103	102					
		49.36%	44.95%	40.05%	56.25%	45.98%	53.16%	58.16%	51.83%	63.37%	39.13%	50.92%	62.50%	53.18%	58.70%	44.40%	57.95%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	14	4	1	0	1	0	2	1	0	0	1	1	2	0	1	0					
		0.29%	0.36%	0.12%	0.00%	0.38%	0.00%	0.47%	0.30%	0.00%	0.00%	0.46%	0.42%	0.67%	0.00%	0.43%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
