Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Спасская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9376	324	490	160	203	74	147	628	90	331	103	307	159	117	85	298	82	311	992	944	1528	1065	457	481									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9883	349	501	167	208	72	154	653	93	339	103	342	167	127	84	308	80	326	1044	993	1637	1136	493	507									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5872	227	379	139	152	47	92	421	66	205	75	246	102	96	60	164	69	208	715	547	753	650	270	189									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1291	40	43	12	34	20	48	90	12	79	19	26	34	10	13	89	6	44	75	99	201	111	82	104									
6	Число погашенных избирательных бюллетеней	2720	82	79	16	22	5	14	142	15	55	9	70	31	21	11	55	5	74	254	347	683	375	141	214									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1291	40	43	12	34	20	48	90	12	79	19	26	34	10	13	89	6	44	75	99	201	111	82	104									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5872	227	379	139	152	47	92	421	66	205	75	246	102	96	60	164	69	208	715	547	753	650	270	189									
9	Число недействительных избирательных бюллетеней	160	5	2	0	2	0	1	32	0	0	1	18	1	0	6	0	1	1	18	14	9	29	12	8									
10	Число действительных избирательных бюллетеней	7003	262	420	151	184	67	139	479	78	284	93	254	135	106	67	253	74	251	772	632	945	732	340	285									
