Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Шахунская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31487	2546	2397	2614	2340	1226	2540	2809	1515	1667	909	708	1407	2118	461	329	86	138	338	405	341	1034	209	478	180	331	1109	149	530	573									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32090	2600	2440	2630	2380	1240	2620	2850	1550	1700	960	710	1420	2120	470	340	80	140	360	440	350	1090	220	470	180	330	1120	140	560	580									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13535	956	1107	956	866	360	625	1388	512	468	289	288	954	1610	113	82	45	57	174	202	172	403	111	222	64	148	825	76	183	279									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2222	41	218	41	169	27	78	45	198	191	102	85	115	101	128	94	5	9	33	72	26	105	15	29	31	17	47	9	107	84									
6	Число погашенных избирательных бюллетеней	16333	1603	1115	1633	1345	853	1917	1417	840	1041	569	337	351	409	229	164	30	74	153	166	152	582	94	219	85	165	248	55	270	217									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2222	41	218	41	169	27	78	45	198	191	102	85	115	101	128	94	5	9	33	72	26	105	15	29	31	17	47	9	107	84									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13531	956	1107	956	866	360	625	1388	512	468	289	286	954	1610	113	82	45	57	174	200	172	403	111	222	64	148	825	76	183	279									
9	Число недействительных избирательных бюллетеней	220	20	26	16	28	0	10	19	3	3	7	0	16	16	4	1	1	4	9	3	3	9	0	2	0	4	4	0	10	2									
10	Число действительных избирательных бюллетеней	15533	977	1299	981	1007	387	693	1414	707	656	384	371	1053	1695	237	175	49	62	198	269	195	499	126	249	95	161	868	85	280	361									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	872	50	50	25	52	25	75	25	25	25	50	25	25	25	25	25	25	25	25	35	25	50	25	50	25	5	15	5	25	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	611	34	50	17	43	8	54	25	24	25	50	4	9	5	9	10	7	5	25	33	12	50	10	34	25	1	7	0	25	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	134	3	16	20	18	3	9	12	0	2	0	0	5	5	3	2	7	1	3	0	2	5	2	3	2	2	2	2	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	261	16	0	8	9	17	21	0	1	0	0	21	16	20	16	15	18	20	0	2	13	0	15	16	0	4	8	5	0	0									
