Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
"Наименование Избирательной комиссии:    Нижний Тагил, Ленинская"																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236					
1	"Число избирателей, внесенных в списки"	93780	2313	1998	1525	1644	1768	1909	1626	2601	2341	1947	2206	1562	1933	2008	2127	2086	2339	2433	2199	1872	2406	1902	1689	2221	2774	2484	2489	2258	2322	1953	2689	2427	2199	2448	2065	2303	469	719	466	1612	1319	1392	1798	1121	539	582	2022	2046	2049	580					
2	"Число бюллетеней, полученных участковыми комиссиями"	89580	2200	1900	1500	1600	1700	1800	1400	2500	2300	1900	2100	1500	1900	1900	2100	2000	2300	2400	2000	1800	2300	1500	1600	2200	2700	2400	2400	2200	2200	1900	2600	2400	2100	2400	2000	2200	450	700	450	1500	1200	1300	1700	1100	500	500	1900	1900	1900	580					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	42587	1105	932	732	903	932	1005	743	1242	1056	866	1208	837	855	1050	1036	1032	1132	1182	723	793	946	952	832	945	1206	1063	1239	1099	1000	963	1192	1071	992	1088	925	779	164	190	149	573	400	582	711	387	211	262	1018	953	771	560					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1520	46	46	23	33	21	27	171	37	26	19	23	10	21	38	16	16	16	21	133	44	21	14	6	21	16	23	19	13	37	11	17	22	8	15	12	27	27	66	27	32	50	14	14	28	27	15	29	35	67	20					
6	Число погашенных бюллетеней	45472	1049	922	745	664	747	768	486	1221	1218	1015	869	653	1024	812	1048	952	1152	1197	1144	963	1333	534	762	1234	1478	1314	1142	1088	1163	926	1391	1307	1100	1297	1062	1394	259	444	274	895	750	704	975	685	262	223	853	912	1062	0					
7	Число бюллетеней в переносных ящиках для голосования	2503	46	46	23	33	21	27	171	37	26	19	23	10	21	38	16	16	16	21	133	44	21	14	6	21	16	23	19	13	37	11	17	22	991	15	12	27	27	66	27	32	50	14	14	28	27	15	29	35	67	20					
8	Число бюллетеней в стационарных ящиках для голосования	41596	1105	932	732	903	932	1005	743	1242	1054	866	1207	837	855	1048	1036	1032	1132	1182	723	793	946	952	832	945	1206	1063	1239	1099	1000	963	1192	1070	8	1088	925	779	164	190	149	573	400	582	710	387	211	262	1018	953	771	560					
9	Число недействительных бюллетеней	700	29	8	4	12	19	25	7	6	9	11	19	7	9	9	8	13	20	33	23	22	24	14	8	16	12	17	21	21	9	18	26	29	19	13	10	33	1	6	0	10	4	10	13	3	2	3	16	30	10	9					
10	Число действительных бюллетеней	43399	1122	970	751	924	934	1007	907	1273	1071	874	1211	840	867	1077	1044	1035	1128	1170	833	815	943	952	830	950	1210	1069	1237	1091	1028	956	1183	1063	980	1090	927	773	190	250	176	595	446	586	711	412	236	274	1031	958	828	571					
