Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
"Наименование Избирательной комиссии:    Волгоград, Тракторозаводская"																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	100641	2597	2063	2529	2677	2389	2659	2898	2854	2722	1999	2531	2386	2414	2307	2387	2853	2724	2688	2749	2331	2735	2537	2262	2703	2826	1928	2415	2702	2280	2766	1535	1546	2715	2485	2536	2507	2859	2241	1763	1201	1814	1528									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	92700	2400	1800	2400	2500	2200	2400	2800	2600	2600	1800	2400	2200	2200	2200	2200	2600	2600	2600	2600	2200	2600	2400	2000	2600	2600	1800	2200	2400	2000	2600	1400	1400	2400	2400	2200	2400	2600	2000	1600	1000	1600	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35530	896	663	974	1075	1009	1043	966	1068	1105	848	934	867	959	891	989	1230	1102	1107	1224	620	927	805	798	833	973	686	837	805	792	957	545	508	744	746	682	715	964	795	545	248	609	446									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1398	61	9	15	30	17	36	32	28	27	17	28	27	9	9	22	20	18	21	12	32	17	25	15	29	34	12	10	176	96	24	27	15	155	16	15	11	27	30	29	12	21	132									
6	Число погашенных избирательных бюллетеней	55772	1443	1128	1411	1395	1174	1321	1802	1504	1468	935	1438	1306	1232	1300	1189	1350	1480	1472	1364	1548	1656	1570	1187	1738	1593	1102	1353	1419	1112	1619	828	877	1501	1638	1503	1674	1609	1175	1026	740	970	622									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1398	61	9	15	30	17	36	32	28	27	17	28	27	9	9	22	20	18	21	12	32	17	25	15	29	34	12	10	176	96	24	27	15	155	16	15	11	27	30	29	12	21	132									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	35517	894	654	974	1075	1009	1043	966	1068	1105	848	934	867	959	890	989	1230	1102	1107	1224	620	927	805	798	833	973	686	837	805	792	957	544	508	744	746	682	715	964	795	545	248	609	446									
9	Число недействительных избирательных бюллетеней	745	26	13	13	26	17	24	16	19	24	12	18	19	29	10	25	25	16	24	11	24	23	12	22	22	21	20	19	15	33	21	11	13	17	16	15	17	11	9	18	4	15	0									
10	Число действительных избирательных бюллетеней	36170	929	650	976	1079	1009	1055	982	1077	1108	853	944	875	939	889	986	1225	1104	1104	1225	628	921	818	791	840	986	678	828	966	855	960	560	510	882	746	682	709	980	816	556	256	615	578									
