Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Петушинская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206					
1	"Число избирателей, внесенных в список"	55983	546	1667	1757	402	1344	1751	1783	1511	1234	565	685	896	479	200	291	488	942	566	379	540	697	831	163	911	408	164	182	119	350	224	230	164	2594	514	1556	1665	1597	1227	2716	2733	1412	1187	1392	890	350	2630	2518	658	366	352	298	255	118	333	249	218	713	2406	2567					
2	Число полученных избирательных бюллетеней	55312	540	1660	1765	400	1350	1780	1800	1475	1210	540	680	880	460	198	280	490	940	520	370	530	685	820	164	900	415	160	184	119	330	225	225	162	2600	500	1500	1680	1600	1170	2700	2730	1390	1180	1320	870	340	2580	2515	670	360	340	295	250	120	290	245	210	700	2400	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	26569	262	804	776	174	590	894	927	596	547	254	335	396	171	95	155	264	366	264	115	297	294	435	59	481	259	103	122	83	155	99	123	98	1320	247	575	765	759	531	1289	1315	680	650	632	377	203	1285	1317	334	125	161	154	136	73	201	136	93	369	1149	1100					
5	"Число избирательных бюллетеней, выданных вне помещения"	2886	51	39	47	33	18	14	12	97	100	39	10	23	71	27	18	2	130	44	117	53	114	40	49	54	20	17	0	5	84	45	17	12	64	13	209	67	104	28	19	30	53	22	70	40	10	42	29	45	91	86	20	33	20	60	47	57	110	31	84					
6	Число погашенных избирательных бюллетеней	25857	227	817	942	193	742	872	861	782	563	247	335	461	218	76	107	224	444	212	138	180	277	345	56	365	136	40	62	31	91	81	85	52	1216	240	716	848	737	611	1392	1385	657	508	618	453	127	1253	1169	291	144	93	121	81	27	29	62	60	221	1220	1316					
7	Число избирательных бюллетеней в переносных ящиках	2886	51	39	47	33	18	14	12	97	100	39	10	23	71	27	18	2	130	44	117	53	114	40	49	54	20	17	0	5	84	45	17	12	64	13	209	67	104	28	19	30	53	22	70	40	10	42	29	45	91	86	20	33	20	60	47	57	110	31	84					
8	Число бюллетеней в стационарных ящиках для голосования	26564	262	804	776	174	590	892	926	596	547	254	335	396	171	95	155	263	366	264	115	297	294	435	59	481	259	103	122	83	155	99	123	98	1320	247	575	765	759	531	1289	1315	680	650	632	377	203	1285	1317	334	125	161	154	136	73	201	136	93	369	1148	1100					
9	Число недействительных избирательных бюллетеней	300	4	8	5	0	6	13	14	7	2	5	1	11	3	3	1	0	6	3	2	5	0	8	0	5	2	0	0	2	2	2	2	1	15	0	7	14	9	9	22	16	7	5	4	6	1	9	3	2	0	2	2	0	0	2	0	1	7	23	11					
10	Число действительных избирательных бюллетеней	29150	309	835	818	207	602	893	924	686	645	288	344	408	239	119	172	265	490	305	230	345	408	467	108	530	277	120	122	86	237	142	138	109	1369	260	777	818	854	550	1286	1329	726	667	698	411	212	1318	1343	377	216	245	172	169	93	259	183	149	472	1156	1173					
11	Число полученных открепительных  удостоверений	495	5	20	15	5	10	20	20	10	10	5	5	5	5	5	5	10	5	5	5	20	5	5	5	5	10	5	5	5	5	5	5	5	15	5	10	15	10	10	10	20	10	10	10	5	5	20	10	5	5	5	5	5	5	5	5	5	5	10	15					
12	Число выданных открепительных удостоверений	296	4	9	11	1	7	14	20	3	2	2	4	5	1	0	0	9	4	5	1	12	0	5	0	3	9	0	1	0	1	2	4	0	15	0	5	11	10	2	9	19	5	9	2	3	0	12	7	1	1	1	1	0	5	4	5	0	5	10	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	380	4	14	13	0	3	2	9	6	7	2	2	3	1	4	6	2	4	5	9	3	1	5	7	5	7	3	0	0	17	1	7	3	20	1	5	8	4	12	3	9	4	4	11	0	5	19	7	1	8	4	4	2	5	46	5	4	8	19	7					
14	Число неиспользованных открепительных удостоверений	199	1	11	4	4	3	6	0	7	8	3	1	0	4	5	5	1	1	0	4	8	5	0	5	2	1	5	4	5	4	3	1	5	0	5	5	4	0	8	1	1	5	1	8	2	5	8	3	4	4	4	4	5	0	1	0	5	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																		
18	. Глазьев Сергей Юрьевич	1376	7	32	34	7	22	48	71	28	28	14	16	15	5	3	6	14	14	10	6	6	4	21	1	12	4	6	3	1	3	3	4	3	55	7	34	48	36	32	61	92	55	50	38	30	10	97	74	20	5	2	3	7	3	9	8	5	18	66	60					
		4.67%	2.24%	3.80%	4.13%	3.38%	3.62%	5.30%	7.57%	4.04%	4.33%	4.78%	4.64%	3.58%	2.07%	2.46%	3.47%	5.28%	2.82%	3.25%	2.59%	1.71%	0.98%	4.42%	0.93%	2.24%	1.43%	5.00%	2.46%	1.14%	1.26%	2.08%	2.86%	2.73%	3.97%	2.69%	4.34%	5.77%	4.17%	5.72%	4.66%	6.84%	7.50%	7.44%	5.41%	7.19%	4.69%	7.31%	5.50%	5.28%	2.31%	0.81%	1.72%	4.14%	3.23%	3.45%	4.37%	3.33%	3.76%	5.60%	5.07%					
19	. Малышкин Олег Александрович	559	5	18	16	8	12	10	5	7	18	6	8	2	2	2	1	4	8	8	5	7	10	10	0	9	7	1	1	1	10	5	3	3	26	13	15	12	21	13	21	20	9	11	7	9	5	15	21	3	10	27	3	2	1	4	3	1	5	34	36					
		1.90%	1.60%	2.14%	1.94%	3.86%	1.97%	1.10%	0.53%	1.01%	2.78%	2.05%	2.32%	0.48%	0.83%	1.64%	0.58%	1.51%	1.61%	2.60%	2.16%	2.00%	2.45%	2.11%	0.00%	1.68%	2.51%	0.83%	0.82%	1.14%	4.18%	3.47%	2.14%	2.73%	1.88%	5.00%	1.91%	1.44%	2.43%	2.33%	1.61%	1.49%	1.23%	1.64%	1.00%	2.16%	2.35%	1.13%	1.56%	0.79%	4.63%	10.93%	1.72%	1.18%	1.08%	1.53%	1.64%	0.67%	1.04%	2.88%	3.04%					
20	. Миронов Сергей Михайлович	182	3	4	6	0	6	4	5	5	3	3	2	3	4	1	1	1	3	3	0	2	5	2	0	5	2	1	0	0	0	2	2	0	9	1	4	3	4	5	7	4	3	8	6	2	2	7	10	1	0	3	1	0	2	3	1	0	2	12	4					
		0.62%	0.96%	0.47%	0.73%	0.00%	0.99%	0.44%	0.53%	0.72%	0.46%	1.02%	0.58%	0.72%	1.65%	0.82%	0.58%	0.38%	0.60%	0.97%	0.00%	0.57%	1.23%	0.42%	0.00%	0.93%	0.72%	0.83%	0.00%	0.00%	0.00%	1.39%	1.43%	0.00%	0.65%	0.38%	0.51%	0.36%	0.46%	0.89%	0.54%	0.30%	0.41%	1.19%	0.85%	0.48%	0.94%	0.53%	0.74%	0.26%	0.00%	1.21%	0.57%	0.00%	2.15%	1.15%	0.55%	0.00%	0.42%	1.02%	0.34%					
21	. Путин Владимир Владимирович	21505	211	559	585	145	412	633	625	526	450	217	239	293	185	102	140	206	355	237	185	292	328	398	85	401	234	103	108	78	171	109	118	91	1051	180	561	617	614	407	946	938	529	452	497	297	156	965	990	296	158	181	133	144	84	212	144	123	363	799	847					
		73.02%	67.41%	66.31%	71.08%	70.05%	67.76%	69.87%	66.63%	75.90%	69.55%	74.06%	69.28%	69.93%	76.45%	83.61%	80.92%	77.74%	71.57%	76.95%	79.74%	83.43%	80.39%	83.79%	78.70%	74.95%	83.87%	85.83%	88.52%	88.64%	71.55%	75.69%	84.29%	82.73%	75.94%	69.23%	71.56%	74.16%	71.15%	72.81%	72.32%	69.74%	72.17%	67.26%	70.80%	71.22%	73.24%	72.72%	73.55%	78.10%	73.15%	73.28%	76.44%	85.21%	90.32%	81.23%	78.69%	82.00%	75.78%	67.77%	71.54%					
22	. Хакамада Ирина Муцуовна	648	11	26	19	6	18	27	35	14	17	2	9	4	5	0	3	15	11	7	1	5	2	5	1	10	1	1	0	1	2	2	4	1	18	3	18	7	12	9	39	33	21	22	15	15	2	41	43	5	1	2	5	3	0	8	2	3	4	32	20					
		2.20%	3.51%	3.08%	2.31%	2.90%	2.96%	2.98%	3.73%	2.02%	2.63%	0.68%	2.61%	0.95%	2.07%	0.00%	1.73%	5.66%	2.22%	2.27%	0.43%	1.43%	0.49%	1.05%	0.93%	1.87%	0.36%	0.83%	0.00%	1.14%	0.84%	1.39%	2.86%	0.91%	1.30%	1.15%	2.30%	0.84%	1.39%	1.61%	2.98%	2.45%	2.86%	3.27%	2.14%	3.60%	0.94%	3.09%	3.19%	1.32%	0.46%	0.81%	2.87%	1.78%	0.00%	3.07%	1.09%	2.00%	0.84%	2.71%	1.69%					
23	. Харитонов Николай Михайлович	3878	65	155	137	38	99	147	141	81	121	42	55	80	36	9	16	12	85	28	25	27	51	26	20	73	24	8	9	5	47	18	6	11	164	48	110	109	142	66	138	196	90	88	116	44	31	137	141	36	32	25	19	12	2	18	20	14	69	151	163					
		13.17%	20.77%	18.39%	16.65%	18.36%	16.28%	16.23%	15.03%	11.69%	18.70%	14.33%	15.94%	19.09%	14.88%	7.38%	9.25%	4.53%	17.14%	9.09%	10.78%	7.71%	12.50%	5.47%	18.52%	13.64%	8.60%	6.67%	7.38%	5.68%	19.67%	12.50%	4.29%	10.00%	11.85%	18.46%	14.03%	13.10%	16.45%	11.81%	10.55%	14.57%	12.28%	13.10%	16.52%	10.55%	14.55%	10.32%	10.48%	9.50%	14.81%	10.12%	10.92%	7.10%	2.15%	6.90%	10.93%	9.33%	14.41%	12.81%	13.77%					
																																																																		
