Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Малодербетовская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7717	155	379	31	1069	967	1384	1447	563	1215	195	220	92									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7987	172	401	38	1094	998	1422	1491	579	1230	209	251	102									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4034	125	281	25	719	334	656	663	324	488	157	186	76									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	312	7	19	0	36	67	21	40	53	55	8	5	1									
6	Число погашенных избирательных бюллетеней	3641	40	101	13	339	597	745	788	202	687	44	60	25									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	312	7	19	0	36	67	21	40	53	55	8	5	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4034	125	281	25	719	334	656	663	324	488	157	186	76									
9	Число недействительных избирательных бюллетеней	81	2	0	0	14	11	20	10	4	6	2	10	2									
10	Число действительных избирательных бюллетеней	4265	130	300	25	741	390	657	693	373	537	163	181	75									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	255	20	20	10	25	25	25	40	15	20	15	30	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	232	20	20	8	25	22	25	40	15	8	11	28	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	91	5	4	4	15	11	12	18	4	2	6	3	7									
14	Число погашенных неиспользованных открепительных удостоверений	23	0	0	2	0	3	0	0	0	12	4	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	0	2	0	8	10	9	6	0	1	2	2	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	13	0	0	0	3	1	1	4	0	3	0	0	1									
		0.30%	0.00%	0.00%	0.00%	0.40%	0.25%	0.15%	0.57%	0.00%	0.55%	0.00%	0.00%	1.30%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	129	6	13	0	17	15	18	22	12	19	2	2	3									
		2.97%	4.55%	4.33%	0.00%	2.25%	3.74%	2.66%	3.13%	3.18%	3.50%	1.21%	1.05%	3.90%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	100	5	5	0	20	16	16	15	8	10	4	1	0									
		2.30%	3.79%	1.67%	0.00%	2.65%	3.99%	2.36%	2.13%	2.12%	1.84%	2.42%	0.52%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2686	74	208	21	479	188	462	380	279	276	114	146	59									
		61.80%	56.06%	69.33%	84.00%	63.44%	46.88%	68.24%	54.05%	74.01%	50.83%	69.09%	76.44%	76.62%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	0	0	0	3	0	3	3	0	6	0	1	0									
		0.37%	0.00%	0.00%	0.00%	0.40%	0.00%	0.44%	0.43%	0.00%	1.10%	0.00%	0.52%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	1	6	0	2	1	1	4	1	1	1	1	0									
		0.44%	0.76%	2.00%	0.00%	0.26%	0.25%	0.15%	0.57%	0.27%	0.18%	0.61%	0.52%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	239	3	3	0	39	42	10	27	25	78	7	5	0									
		5.50%	2.27%	1.00%	0.00%	5.17%	10.47%	1.48%	3.84%	6.63%	14.36%	4.24%	2.62%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	22	0	4	0	3	4	4	3	1	0	2	1	0									
		0.51%	0.00%	1.33%	0.00%	0.40%	0.99%	0.59%	0.43%	0.27%	0.00%	1.21%	0.52%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	18	0	0	0	2	3	5	2	1	2	3	0	0									
		0.41%	0.00%	0.00%	0.00%	0.26%	0.75%	0.74%	0.28%	0.27%	0.37%	1.82%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	0	1	0	2	0	1	0	1	0	0									
		0.12%	0.00%	0.00%	0.00%	0.13%	0.00%	0.30%	0.00%	0.27%	0.00%	0.61%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	48	0	0	0	5	3	11	14	2	5	8	0	0									
		1.10%	0.00%	0.00%	0.00%	0.66%	0.75%	1.62%	1.99%	0.53%	0.92%	4.85%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	683	33	47	4	86	82	97	141	35	122	13	12	11									
		15.72%	25.00%	15.67%	16.00%	11.39%	20.45%	14.33%	20.06%	9.28%	22.47%	7.88%	6.28%	14.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	109	2	13	0	30	17	6	26	1	3	7	3	1									
		2.51%	1.52%	4.33%	0.00%	3.97%	4.24%	0.89%	3.70%	0.27%	0.55%	4.24%	1.57%	1.30%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	178	6	1	0	51	18	21	52	7	12	1	9	0									
		4.10%	4.55%	0.33%	0.00%	6.75%	4.49%	3.10%	7.40%	1.86%	2.21%	0.61%	4.71%	0.00%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
