Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Ютазинская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  2897	УИК  2898	УИК  2899	УИК  2900	УИК  2901	УИК  2902	УИК  2903	УИК  2904	УИК  2905	УИК  2906	УИК  2907	УИК  2908	УИК  2909	УИК  2910	УИК  2911	УИК  2912	УИК  2913	УИК  2914	УИК  2915	УИК  2916	УИК  2917	УИК  2918	УИК  2919	УИК  2920	УИК  2921	УИК  2922	УИК  2923	УИК  2924	УИК  2925					
1	"Число избирателей, внесенных в списки"	17242	751	707	849	630	676	817	664	619	680	516	821	854	672	380	425	1118	395	390	795	259	524	336	542	584	146	579	1151	261	101					
2	"Число бюллетеней, полученных участковыми комиссиями"	17238	755	710	882	618	663	816	658	624	672	517	797	835	681	382	425	1118	396	389	792	258	524	336	544	595	146	584	1158	262	101					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16119	641	612	694	612	621	715	553	532	618	458	717	797	667	370	418	1094	395	372	787	253	523	334	542	571	146	574	1142	260	101					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	428	55	25	50	0	20	36	29	35	28	23	31	18	5	8	2	19	0	14	4	5	0	0	0	13	0	3	5	0	0					
6	Число погашенных бюллетеней	691	59	73	138	6	22	65	76	57	26	36	49	20	9	4	5	5	1	3	1	0	1	2	2	11	0	7	11	2	0					
7	Число бюллетеней в переносных ящиках для голосования	428	55	25	50	0	20	36	29	35	28	23	31	18	5	8	2	19	0	14	4	5	0	0	0	13	0	3	5	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	16118	641	612	694	612	621	715	553	532	618	458	717	796	667	370	418	1094	395	372	787	253	523	334	542	571	146	574	1142	260	101					
9	Число недействительных бюллетеней	93	0	1	4	2	3	0	10	4	0	5	0	5	15	0	5	2	4	4	9	2	3	1	2	2	5	2	3	0	0					
10	Число действительных бюллетеней	16453	696	636	740	610	638	751	572	563	646	476	748	809	657	378	415	1111	391	382	782	256	520	333	540	582	141	575	1144	260	101					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	179	6	8	15	7	5	4	10	8	5	7	8	5	5	5	5	7	5	10	5	5	5	5	5	3	5	5	6	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	167	6	8	15	7	5	4	2	8	5	7	8	5	5	5	5	3	5	10	5	5	5	5	5	3	5	5	6	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	1	2	3	3	1	2	1	2	0	1	1	0	0	2	1	7	0	5	5	2	2	0	1	3	0	3	4	2	0					
14	Число погашенных открепительных удостоверений	12	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	117	0	0	8	5	2	5	8	4	2	6	1	75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.70%	0.0%	0.0%	1.07%	0.81%	0.31%	0.66%	1.37%	0.70%	0.30%	1.24%	0.13%	9.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	42	0	13	6	0	0	6	5	1	5	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
