Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Можайская 																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433					
1	"Число избирателей, внесенных в списки"	57347	1718	1497	308	710	2184	1430	1925	1321	1557	1768	2380	1588	1746	1938	1626	1147	1124	1011	285	600	344	485	679	775	1440	592	904	838	892	129	2576	1137	1051	340	249	1188	360	741	1174	1108	295	761	161	1477	258	938	798	149	730	165	134	369	1667	1240	958	2382					
2	"Число бюллетеней, полученных участковыми комиссиями"	56159	1693	1605	286	692	2048	1360	1906	1293	1525	1704	2241	1531	1670	1902	1505	1102	1073	1018	289	646	323	475	689	758	1378	574	893	833	887	125	2557	1101	1075	320	250	1195	357	740	1204	1075	271	714	153	1494	244	938	810	150	733	144	128	356	1643	1241	928	2314					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	27792	776	690	136	368	958	790	1062	652	785	1011	1325	818	894	1059	756	574	581	462	108	368	116	253	281	407	640	215	356	418	366	43	1238	444	510	131	75	491	156	359	680	571	91	360	50	627	91	396	396	31	369	39	44	165	870	495	569	1276					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3577	22	205	31	44	106	17	15	3	12	20	27	11	8	17	13	65	49	41	26	37	115	61	125	71	155	153	119	5	64	46	22	282	43	52	47	149	51	75	23	41	72	77	49	204	88	67	63	65	55	54	31	39	29	85	20	111					
6	Число погашенных бюллетеней	24787	895	710	119	280	984	553	829	638	728	673	889	702	768	826	736	460	443	515	155	241	92	161	283	280	583	206	418	410	457	36	1297	375	522	137	128	555	150	306	501	463	108	277	54	663	65	475	351	54	309	51	53	152	744	661	339	927					
7	Число бюллетеней в переносных ящиках для голосования	3576	22	204	31	44	106	17	15	3	12	20	27	11	8	17	13	65	49	41	26	37	115	61	125	71	155	153	119	5	64	46	22	282	43	52	47	149	51	75	23	41	72	77	49	204	88	67	63	65	55	54	31	39	29	85	20	111					
8	Число бюллетеней в стационарных ящиках для голосования	27767	776	690	136	368	958	790	1062	652	785	1004	1325	816	894	1059	756	574	581	462	108	368	116	253	281	407	640	215	356	418	366	43	1238	428	510	131	75	491	156	359	680	571	91	360	50	627	91	396	396	31	369	39	44	165	870	495	569	1276					
9	Число недействительных бюллетеней	599	11	17	4	1	36	13	16	10	6	19	35	12	14	21	17	13	12	13	3	3	2	4	3	12	5	11	10	11	10	5	10	3	6	10	1	19	12	15	12	13	5	8	2	27	7	21	9	2	6	1	3	3	22	18	3	12					
10	Число действительных бюллетеней	30744	787	877	163	411	1028	794	1061	645	791	1005	1317	815	888	1055	752	626	618	490	131	402	229	310	403	466	790	357	465	412	420	84	1250	707	547	173	121	621	195	419	691	599	158	429	97	804	172	442	450	94	418	92	72	201	877	562	586	1375					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1386	40	40	20	20	40	40	40	40	40	40	40	40	40	40	40	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	13	27	20	20	20	20	20	10	20	20	10	20	10	10	20	20	17	40	49					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	356	13	9	0	3	9	9	16	1	10	11	8	14	9	15	11	4	5	5	0	15	2	0	4	8	6	0	0	0	8	2	15	7	9	0	0	12	0	1	18	8	0	1	0	10	0	10	4	0	10	1	2	0	15	9	14	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	403	7	4	7	5	5	19	6	6	8	6	7	5	3	1	4	8	8	9	3	1	9	10	4	2	64	1	6	1	2	4	5	13	1	19	10	8	1	5	3	3	6	8	2	15	18	9	5	2	3	10	8	4	7	4	3	6					
14	Число погашенных открепительных удостоверений	1030	27	31	20	17	31	31	24	39	30	29	32	26	31	25	29	16	15	15	20	5	18	20	16	12	14	20	20	20	12	18	5	13	11	20	20	8	20	12	9	12	20	19	20	10	10	10	16	10	10	9	8	20	5	8	26	36					
15	Число открепительных удостоверений выданных ТИК	15	3	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0					
16	Число утраченных бюллетеней	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	"1. ""ЕДИНЕНИЕ"""	446	8	21	1	4	14	15	10	8	4	8	21	6	7	14	5	10	9	7	3	5	6	8	5	4	11	4	9	6	4	2	9	11	3	11	2	11	6	12	7	9	3	5	2	25	12	9	9	0	8	2	1	6	16	8	5	15					
		1.42%	1.00%	2.34%	0.59%	0.97%	1.31%	1.85%	0.92%	1.22%	0.50%	0.78%	1.55%	0.72%	0.77%	1.30%	0.65%	1.56%	1.42%	1.39%	2.23%	1.23%	2.59%	2.54%	1.23%	0.83%	1.38%	1.08%	1.89%	1.41%	0.93%	2.24%	0.71%	1.54%	0.54%	6.01%	1.63%	1.71%	2.89%	2.76%	0.99%	1.47%	1.84%	1.14%	2.02%	3.00%	6.70%	1.94%	1.96%	0.0%	1.88%	2.15%	1.33%	2.94%	1.77%	1.37%	0.84%	1.08%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	813	23	25	5	2	27	26	43	17	33	42	37	41	50	37	51	6	18	7	1	5	2	2	3	17	17	6	2	5	5	0	33	24	10	5	3	8	1	5	15	6	0	19	2	11	2	3	3	3	3	1	6	5	19	15	8	48					
		2.59%	2.88%	2.79%	2.99%	0.48%	2.53%	3.22%	3.99%	2.59%	4.14%	4.10%	2.73%	4.95%	5.54%	3.43%	6.63%	0.93%	2.85%	1.39%	0.74%	1.23%	0.86%	0.63%	0.73%	3.55%	2.13%	1.63%	0.42%	1.18%	1.16%	0.0%	2.61%	3.38%	1.80%	2.73%	2.45%	1.25%	0.48%	1.15%	2.13%	0.98%	0.0%	4.34%	2.02%	1.32%	1.11%	0.64%	0.65%	3.12%	0.70%	1.07%	8.0%	2.45%	2.11%	2.58%	1.35%	3.46%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	946	31	21	9	7	35	23	43	32	34	23	47	20	17	37	23	19	12	6	1	6	15	18	6	23	18	13	7	15	15	1	44	20	14	12	3	21	7	9	26	23	4	6	6	21	0	28	6	4	17	0	3	6	33	10	24	22					
		3.01%	3.88%	2.34%	5.38%	1.69%	3.28%	2.85%	3.99%	4.88%	4.26%	2.24%	3.47%	2.41%	1.88%	3.43%	2.99%	2.97%	1.90%	1.19%	0.74%	1.48%	6.49%	5.73%	1.47%	4.81%	2.26%	3.53%	1.47%	3.54%	3.48%	1.12%	3.49%	2.81%	2.53%	6.55%	2.45%	3.28%	3.38%	2.07%	3.69%	3.75%	2.45%	1.37%	6.06%	2.52%	0.0%	6.04%	1.30%	4.16%	4.00%	0.0%	4.0%	2.94%	3.67%	1.72%	4.07%	1.58%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1181	32	36	3	18	54	46	61	30	42	46	47	52	57	60	36	27	20	10	6	26	3	14	20	15	14	2	6	7	6	4	52	24	17	7	3	23	6	20	33	24	9	16	1	26	3	1	4	3	6	2	2	7	28	22	8	34					
		3.76%	4.01%	4.02%	1.79%	4.36%	5.07%	5.70%	5.66%	4.58%	5.26%	4.49%	3.47%	6.28%	6.31%	5.57%	4.68%	4.22%	3.17%	1.98%	4.47%	6.41%	1.29%	4.45%	4.92%	3.13%	1.76%	0.54%	1.26%	1.65%	1.39%	4.49%	4.12%	3.38%	3.07%	3.82%	2.45%	3.59%	2.89%	4.60%	4.69%	3.92%	5.52%	3.66%	1.01%	3.12%	1.67%	0.21%	0.87%	3.12%	1.41%	2.15%	2.66%	3.43%	3.11%	3.79%	1.35%	2.45%					
22	"5. ""За Русь Святую"""	184	1	6	2	0	6	9	9	3	2	6	7	6	8	8	2	4	5	3	0	3	3	2	4	5	2	5	6	0	1	0	5	6	5	0	1	0	0	3	4	4	1	1	1	6	4	4	1	0	3	3	1	0	4	4	2	3					
		0.58%	0.12%	0.67%	1.19%	0.0%	0.56%	1.11%	0.83%	0.45%	0.25%	0.58%	0.51%	0.72%	0.88%	0.74%	0.26%	0.62%	0.79%	0.59%	0.0%	0.74%	1.29%	0.63%	0.98%	1.04%	0.25%	1.35%	1.26%	0.0%	0.23%	0.0%	0.39%	0.84%	0.90%	0.0%	0.81%	0.0%	0.0%	0.69%	0.56%	0.65%	0.61%	0.22%	1.01%	0.72%	2.23%	0.86%	0.21%	0.0%	0.70%	3.22%	1.33%	0.0%	0.44%	0.68%	0.33%	0.21%					
23	"6. ""Объединенная Российская партия ""Русь"""	94	1	2	2	0	5	3	2	2	4	2	2	2	3	1	1	5	1	1	0	0	1	0	2	3	3	0	1	1	2	0	0	1	2	2	1	2	2	0	2	1	1	2	1	4	2	2	2	0	1	0	1	1	5	0	2	5					
