Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Нижнесергинская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36752	907	636	1445	1551	1239	837	569	679	1190	797	1392	1525	1453	1138	969	413	1086	1335	1067	1286	1463	1436	1175	1128	544	118	717	272	72	698	235	150	149	128	191	278	301	97	413	298	621	421	539	96	594	584	219	384	577	839	431	70									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32675	800	550	1300	1400	1100	750	500	600	1050	700	1200	1350	1300	1000	850	350	950	1200	950	1150	1250	1250	1050	950	450	110	650	250	65	650	220	130	130	105	170	250	275	95	350	275	550	400	500	90	550	550	200	350	550	750	400	60									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13805	307	212	573	677	424	348	170	214	400	221	516	550	513	349	294	95	415	700	375	606	614	360	357	469	254	60	211	90	38	333	73	64	61	70	127	127	146	45	164	137	272	164	199	55	207	196	92	134	185	361	146	35									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	919	13	20	23	15	27	9	14	4	8	52	16	18	11	31	58	26	3	16	25	17	26	53	15	29	9	0	51	20	0	17	20	4	17	7	12	0	5	5	9	17	26	14	27	2	16	30	10	16	26	5	17	8									
6	Число погашенных избирательных бюллетеней	17951	480	318	704	708	649	393	316	382	642	427	668	782	776	620	498	229	532	484	550	527	610	837	678	452	187	50	388	140	27	300	127	62	52	28	31	123	124	45	177	121	252	222	274	33	327	324	98	200	339	384	237	17									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	919	13	20	23	15	27	9	14	4	8	52	16	18	11	31	58	26	3	16	25	17	26	53	15	29	9	0	51	20	0	17	20	4	17	7	12	0	5	5	9	17	26	14	27	2	16	30	10	16	26	5	17	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13805	307	212	573	677	424	348	170	214	400	221	516	550	513	349	294	95	415	700	375	606	614	360	357	469	254	60	211	90	38	333	73	64	61	70	127	127	146	45	164	137	272	164	199	55	207	196	92	134	185	361	146	35									
9	Число недействительных избирательных бюллетеней	313	8	7	12	16	13	1	2	7	5	3	10	13	7	13	11	3	9	11	8	17	11	11	9	9	10	5	3	0	0	5	1	4	1	1	2	7	1	1	5	3	2	8	6	2	3	4	3	0	3	13	4	0									
10	Число действительных избирательных бюллетеней	14411	312	225	584	676	438	356	182	211	403	270	522	555	517	367	341	118	409	705	392	606	629	402	363	489	253	55	259	110	38	345	92	64	77	76	137	120	150	49	168	151	296	170	220	55	220	222	99	150	208	353	159	43									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	632	10	10	20	20	20	10	10	10	20	10	25	25	20	20	12	5	15	15	15	15	25	35	25	25	25	5	10	10	5	10	5	5	5	5	5	10	5	5	5	10	5	5	5	5	5	10	5	10	10	20	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	260	2	4	4	11	5	3	0	2	8	3	13	9	15	14	12	1	0	10	7	8	21	15	7	7	5	1	3	0	1	3	0	3	2	2	3	3	2	2	1	0	3	5	2	0	5	10	0	3	9	8	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	446	12	33	7	6	3	3	17	31	6	0	22	1	3	1	5	2	10	6	5	3	45	35	11	41	76	2	1	0	0	1	0	0	2	4	12	2	2	2	3	4	3	1	1	3	2	2	3	0	1	11	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	372	8	6	16	9	15	7	10	8	12	7	12	16	5	6	0	4	15	5	8	7	4	20	18	18	20	4	7	10	4	7	5	2	3	3	2	7	3	3	4	10	2	0	3	5	0	0	5	7	1	12	2	5									
