Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Мордовская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200					
1	"Число избирателей, внесенных в списки"	18018	470	353	138	369	173	480	92	202	578	406	253	690	178	720	229	88	464	1228	849	618	1083	1187	350	576	92	173	329	538	305	677	814	132	479	179	320	613	551	291	751					
2	"Число бюллетеней, полученных участковыми комиссиями"	16358	424	311	130	332	157	429	93	182	543	362	223	633	165	690	210	100	420	1130	760	550	950	1085	320	515	90	155	295	495	260	612	745	130	428	170	284	540	488	258	694					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8303	205	159	89	157	46	253	42	132	295	240	107	307	57	377	83	55	160	489	430	303	397	537	159	248	51	113	155	209	161	350	448	50	262	84	126	197	251	111	408					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2003	108	83	27	82	60	109	37	16	83	48	73	104	49	105	50	22	41	30	28	16	30	31	18	33	25	18	37	67	25	20	54	38	63	20	43	112	73	47	78					
6	Число погашенных бюллетеней	6052	111	69	14	93	51	67	14	34	165	74	43	222	59	208	77	23	219	611	302	231	523	517	143	234	14	24	103	219	74	242	243	42	103	66	115	231	164	100	208					
7	Число бюллетеней в переносных ящиках для голосования	2002	108	83	27	82	60	109	37	16	83	48	73	104	49	104	50	22	41	30	28	16	30	31	18	33	25	18	37	67	25	20	54	38	63	20	43	112	73	47	78					
8	Число бюллетеней в стационарных ящиках для голосования	8303	205	159	89	157	46	253	42	132	295	240	107	307	57	377	83	55	160	489	430	303	397	537	159	248	51	113	155	209	161	350	448	50	262	84	126	197	251	111	408					
9	Число недействительных бюллетеней	422	23	11	2	5	2	1	0	13	9	26	12	8	0	10	0	1	6	28	27	16	17	5	10	4	0	14	9	23	10	21	25	2	11	3	15	9	6	8	30					
10	Число действительных бюллетеней	9883	290	231	114	234	104	361	79	135	369	262	168	403	106	471	133	76	195	491	431	303	410	563	167	277	76	117	183	253	176	349	477	86	314	101	154	300	318	150	456					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	174	3	3	2	3	2	3	2	3	5	5	3	4	3	5	4	3	8	10	10	8	10	10	4	4	3	4	4	4	4	4	4	4	4	3	4	4	4	3	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	16	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	4	1	1	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	3	0	2	3	0	1	1	0	0	0	0	1	2	0	0	0	0	0	1	1	0					
14	Число погашенных открепительных удостоверений	158	2	3	2	3	2	3	2	3	5	5	2	4	3	5	4	3	8	9	10	7	10	6	3	3	3	4	4	2	4	2	2	4	4	3	4	4	4	3	4					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	213	6	4	0	4	4	12	1	14	5	12	2	12	0	14	0	0	3	5	0	8	6	4	4	3	0	3	8	3	3	7	8	0	5	2	1	12	7	6	25					
		2.06%	1.91%	1.65%	0.0%	1.67%	3.77%	3.31%	1.26%	9.45%	1.32%	4.16%	1.11%	2.91%	0.0%	2.91%	0.0%	0.0%	1.49%	0.96%	0.0%	2.50%	1.40%	0.70%	2.25%	1.06%	0.0%	2.29%	4.16%	1.08%	1.61%	1.89%	1.59%	0.0%	1.53%	1.92%	0.59%	3.88%	2.16%	3.79%	5.14%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	115	3	1	0	5	2	3	1	0	1	3	1	14	0	6	1	0	2	1	7	3	5	10	3	3	3	1	15	2	1	2	6	0	1	1	0	2	2	0	4					
		1.11%	0.95%	0.41%	0.0%	2.09%	1.88%	0.82%	1.26%	0.0%	0.26%	1.04%	0.55%	3.40%	0.0%	1.24%	0.75%	0.0%	0.99%	0.19%	1.52%	0.94%	1.17%	1.76%	1.69%	1.06%	3.94%	0.76%	7.81%	0.72%	0.53%	0.54%	1.19%	0.0%	0.30%	0.96%	0.0%	0.64%	0.61%	0.0%	0.82%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	752	7	17	7	24	20	26	4	8	23	20	15	21	8	32	17	16	28	54	32	22	51	28	6	33	1	12	2	18	17	21	39	11	26	7	18	13	11	15	22					
		7.29%	2.23%	7.02%	6.03%	10.04%	18.86%	7.18%	5.06%	5.40%	6.08%	6.94%	8.33%	5.10%	7.54%	6.65%	12.78%	20.77%	13.93%	10.40%	6.98%	6.89%	11.94%	4.92%	3.38%	11.74%	1.31%	9.16%	1.04%	6.52%	9.13%	5.67%	7.76%	12.5%	8.0%	6.73%	10.65%	4.20%	3.39%	9.49%	4.52%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	93	3	0	0	3	3	1	0	0	2	1	1	9	0	6	3	0	2	4	6	2	5	16	0	3	0	1	0	1	2	0	4	1	1	4	3	0	3	1	2					
		0.90%	0.95%	0.0%	0.0%	1.25%	2.83%	0.27%	0.0%	0.0%	0.52%	0.34%	0.55%	2.18%	0.0%	1.24%	2.25%	0.0%	0.99%	0.77%	1.31%	0.62%	1.17%	2.81%	0.0%	1.06%	0.0%	0.76%	0.0%	0.36%	1.07%	0.0%	0.79%	1.13%	0.30%	3.84%	1.77%	0.0%	0.92%	0.63%	0.41%					
22	"5. ""За Русь Святую"""	77	1	1	1	2	0	0	1	1	1	3	2	1	0	6	0	0	4	3	3	0	1	3	0	4	0	0	1	3	5	2	1	0	7	2	2	4	2	1	9					
		0.74%	0.31%	0.41%	0.86%	0.83%	0.0%	0.0%	1.26%	0.67%	0.26%	1.04%	1.11%	0.24%	0.0%	1.24%	0.0%	0.0%	1.99%	0.57%	0.65%	0.0%	0.23%	0.52%	0.0%	1.42%	0.0%	0.0%	0.52%	1.08%	2.68%	0.54%	0.19%	0.0%	2.15%	1.92%	1.18%	1.29%	0.61%	0.63%	1.85%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	1	0	1	0	0	1	0	2	0	1	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	4	1	1	0	0	0	0	0	1	0	2					
		0.21%	0.31%	0.0%	0.86%	0.0%	0.0%	0.27%	0.0%	1.35%	0.0%	0.34%	0.55%	0.48%	0.0%	0.0%	0.0%	0.0%	0.99%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	2.15%	0.27%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.41%					
24	"7. ""Новый курс - Автомобильная Россия"""	36	0	1	0	0	0	2	0	1	0	1	1	1	0	0	0	0	1	5	0	1	1	5	0	2	0	0	1	0	0	2	0	0	4	0	0	0	0	1	6					
		0.34%	0.0%	0.41%	0.0%	0.0%	0.0%	0.55%	0.0%	0.67%	0.0%	0.34%	0.55%	0.24%	0.0%	0.0%	0.0%	0.0%	0.49%	0.96%	0.0%	0.31%	0.23%	0.88%	0.0%	0.71%	0.0%	0.0%	0.52%	0.0%	0.0%	0.54%	0.0%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.63%	1.23%					
25	"8. ""Народно-республиканская партия России"""	20	1	2	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	3	2	0	1	1	0	0	0	0	0	3					
		0.19%	0.31%	0.82%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.34%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.35%	0.0%	0.76%	0.0%	0.0%	1.61%	0.54%	0.0%	1.13%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%					
26	"9. ""Российская экологическая партия ""Зеленые"""	29	1	1	0	0	0	1	2	0	0	2	0	0	0	0	0	0	1	0	1	2	0	2	0	0	0	0	11	1	0	1	0	0	0	1	0	0	1	0	1					
		0.28%	0.31%	0.41%	0.0%	0.0%	0.0%	0.27%	2.53%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.21%	0.62%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	5.72%	0.36%	0.0%	0.27%	0.0%	0.0%	0.0%	0.96%	0.0%	0.0%	0.30%	0.0%	0.20%					
27	"10. ""Аграрная партия России"""	865	32	41	9	12	4	18	0	9	143	12	12	36	9	44	7	7	8	26	16	9	22	37	6	16	14	9	0	36	12	13	21	22	40	7	15	31	41	21	48					
		8.39%	10.22%	16.94%	7.75%	5.02%	3.77%	4.97%	0.0%	6.08%	37.83%	4.16%	6.66%	8.75%	8.49%	9.14%	5.26%	9.09%	3.98%	5.00%	3.49%	2.82%	5.15%	6.51%	3.38%	5.69%	18.42%	6.87%	0.0%	13.04%	6.45%	3.51%	4.18%	25.0%	12.30%	6.73%	8.87%	10.03%	12.65%	13.29%	9.87%					
28	"11. ""Истинные патриоты России"""	15	1	0	1	0	0	1	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	3					
		0.14%	0.31%	0.0%	0.86%	0.0%	0.0%	0.27%	1.26%	1.35%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.53%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	71	3	2	1	5	0	1	0	2	1	2	1	2	0	2	4	1	7	3	5	1	3	1	0	0	4	0	0	1	2	4	3	1	1	0	0	1	6	1	0					
		0.68%	0.95%	0.82%	0.86%	2.09%	0.0%	0.27%	0.0%	1.35%	0.26%	0.69%	0.55%	0.48%	0.0%	0.41%	3.00%	1.29%	3.48%	0.57%	1.09%	0.31%	0.70%	0.17%	0.0%	0.0%	5.26%	0.0%	0.0%	0.36%	1.07%	1.08%	0.59%	1.13%	0.30%	0.0%	0.0%	0.32%	1.85%	0.63%	0.0%					
30	"13. ""Демократическая партия России"""	26	1	0	0	3	0	1	0	0	0	1	1	0	0	2	0	0	0	2	1	0	0	1	0	1	0	1	0	3	0	0	3	0	0	0	1	1	0	1	2					
		0.25%	0.31%	0.0%	0.0%	1.25%	0.0%	0.27%	0.0%	0.0%	0.0%	0.34%	0.55%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.38%	0.21%	0.0%	0.0%	0.17%	0.0%	0.35%	0.0%	0.76%	0.0%	1.08%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.59%	0.32%	0.0%	0.63%	0.41%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	0	0	0	0	0	1	0	0	0	2	0	4	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.69%	0.0%	0.97%	0.94%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.96%	0.0%	0.0%	0.92%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	8	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2					
		0.07%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.0%	0.0%	0.49%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.63%	0.41%					
33	"16. ""Родина"" (народно-патриотический союз)"""	500	7	0	3	20	4	15	5	3	15	9	9	12	3	10	9	6	12	35	39	16	31	41	2	18	2	3	9	10	14	31	40	0	14	4	7	8	12	9	13					
		4.85%	2.23%	0.0%	2.58%	8.36%	3.77%	4.14%	6.32%	2.02%	3.96%	3.12%	5.0%	2.91%	2.83%	2.07%	6.76%	7.79%	5.97%	6.74%	8.51%	5.01%	7.25%	7.21%	1.12%	6.40%	2.63%	2.29%	4.68%	3.62%	7.52%	8.37%	7.96%	0.0%	4.30%	3.84%	4.14%	2.58%	3.70%	5.69%	2.67%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	47	0	1	0	0	0	0	0	1	0	2	5	4	2	1	0	1	2	3	0	0	2	3	0	0	0	0	3	1	1	2	1	2	2	1	0	0	2	3	2					
		0.45%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.69%	2.77%	0.97%	1.88%	0.20%	0.0%	1.29%	0.99%	0.57%	0.0%	0.0%	0.46%	0.52%	0.0%	0.0%	0.0%	0.0%	1.56%	0.36%	0.53%	0.54%	0.19%	2.27%	0.61%	0.96%	0.0%	0.0%	0.61%	1.89%	0.41%					
35	"18. ""ЛДПР"""	1039	24	25	9	31	12	18	3	11	28	28	16	55	9	47	8	3	17	73	54	37	31	54	30	21	8	7	14	55	16	35	39	1	31	15	19	42	33	15	65					
		10.08%	7.66%	10.33%	7.75%	12.97%	11.32%	4.97%	3.79%	7.43%	7.40%	9.72%	8.88%	13.38%	8.49%	9.77%	6.01%	3.89%	8.45%	14.06%	11.79%	11.59%	7.25%	9.50%	16.94%	7.47%	10.52%	5.34%	7.29%	19.92%	8.60%	9.45%	7.76%	1.13%	9.53%	14.42%	11.24%	13.59%	10.18%	9.49%	13.37%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	290	5	3	2	5	0	67	6	3	6	11	1	8	0	9	1	1	3	13	6	12	14	19	1	6	0	2	8	2	3	20	18	0	6	3	5	6	2	3	10					
		2.81%	1.59%	1.23%	1.72%	2.09%	0.0%	18.50%	7.59%	2.02%	1.58%	3.81%	0.55%	1.94%	0.0%	1.87%	0.75%	1.29%	1.49%	2.50%	1.31%	3.76%	3.27%	3.34%	0.56%	2.13%	0.0%	1.52%	4.16%	0.72%	1.61%	5.40%	3.58%	0.0%	1.84%	2.88%	2.95%	1.94%	0.61%	1.89%	2.05%					
