Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Изобильненская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473					
1	"Число избирателей, внесенных в списки"	76768	1847	1036	2063	1878	1664	1543	2282	900	2036	1877	2073	1087	1245	1753	1637	1719	2272	1309	1908	1540	2010	1287	1551	1633	2371	1998	1196	964	619	2535	2839	647	1515	2119	294	877	1735	897	1601	469	1799	628	1902	216	178	1000	774	1324	1609	1535	1894	302	345	436					
2	"Число бюллетеней, полученных участковыми комиссиями"	73770	1700	1000	2000	1800	1550	1500	2200	850	2000	1900	2000	1000	1200	1750	1600	1500	2250	1200	1800	1500	1900	1200	1500	1600	2200	1900	1100	900	600	2500	2800	600	1500	2100	300	800	1650	800	1500	450	1800	600	1900	200	160	970	750	1300	1570	1470	1850	280	320	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	38228	877	498	1024	923	776	552	1270	406	1078	805	1038	469	554	858	728	981	1070	578	1027	871	1103	767	837	904	1526	1332	702	482	317	1096	1211	293	639	925	175	375	936	424	802	246	732	276	989	131	86	567	391	737	710	750	805	140	188	251					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2148	67	28	42	31	39	216	39	42	47	67	83	37	18	50	25	19	14	24	17	20	23	13	31	20	35	21	36	22	7	63	55	35	36	39	17	31	40	18	27	16	49	33	50	6	6	25	67	70	47	85	91	52	35	22					
6	Число погашенных бюллетеней	33392	756	474	934	846	735	732	891	402	875	1028	879	494	628	842	847	500	1166	598	756	609	774	420	632	676	639	547	362	396	276	1341	1534	272	825	1136	108	394	674	358	671	188	1019	291	861	63	68	378	292	493	811	635	954	88	97	127					
7	Число бюллетеней в переносных ящиках для голосования	2148	67	28	42	31	39	216	39	42	47	67	83	37	18	50	25	19	14	24	17	20	23	13	31	20	35	21	36	22	7	63	55	35	36	39	17	31	40	18	27	16	49	33	50	6	6	25	67	70	47	85	91	52	35	22					
8	Число бюллетеней в стационарных ящиках для голосования	38187	875	498	1022	915	776	552	1270	406	1078	805	1038	469	554	858	728	981	1056	578	1027	870	1100	767	835	903	1526	1328	702	482	317	1096	1210	293	639	925	175	375	936	421	802	246	732	276	989	131	86	567	391	737	710	750	805	140	188	251					
9	Число недействительных бюллетеней	793	15	11	9	13	9	21	21	6	15	17	20	9	4	9	8	13	9	4	16	12	11	14	5	23	16	25	13	8	8	20	46	15	18	28	11	19	32	13	36	5	19	14	11	6	1	23	23	11	15	18	20	3	7	15					
10	Число действительных бюллетеней	39542	927	515	1055	933	806	747	1288	442	1110	855	1101	497	568	899	745	987	1061	598	1028	878	1112	766	861	900	1545	1324	725	496	316	1139	1219	313	657	936	181	387	944	426	793	257	762	295	1028	131	91	569	435	796	742	817	876	189	216	258					
