Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																								
Дата голосования: 07.12.2003 0:00:00																																																								
																																																								
Наименование Избирательной комиссии:    Добринская																																																								
																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																								
																																																								
		Сумма	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453					
1	"Число избирателей, внесенных в списки"	30261	2166	228	2323	1884	918	270	378	102	430	239	1007	268	671	296	366	766	256	1163	467	689	523	482	1083	222	309	378	614	301	369	309	228	419	221	570	891	255	942	345	261	892	2260	382	92	170	645	337	1082	620	172					
2	"Число бюллетеней, полученных участковыми комиссиями"	30318	2186	227	2323	1894	910	282	383	98	423	237	1100	280	674	296	354	767	257	1154	466	685	518	482	1101	223	311	391	620	305	371	305	228	425	234	571	856	260	941	343	252	852	2210	374	103	172	655	341	1079	634	165					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16317	884	109	858	764	440	171	237	63	257	168	693	127	424	160	258	465	145	688	278	385	381	370	898	180	216	227	272	198	275	202	119	225	107	416	426	108	521	166	168	431	828	209	71	69	299	215	645	390	111					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2932	91	20	130	24	22	13	85	21	96	22	113	81	106	85	50	53	40	144	57	47	20	25	18	7	40	14	114	17	49	34	82	134	65	84	86	57	153	74	40	5	74	18	12	44	126	46	86	80	28					
6	Число погашенных бюллетеней	11069	1211	98	1335	1106	448	98	61	14	70	47	294	72	144	51	46	249	72	322	131	253	117	87	185	36	55	150	234	90	47	69	27	66	62	71	344	95	267	103	44	416	1308	147	20	59	230	80	348	164	26					
7	Число бюллетеней в переносных ящиках для голосования	2931	91	20	130	24	22	13	85	21	96	22	113	81	106	85	50	52	40	144	57	47	20	25	18	7	40	14	114	17	49	34	82	134	65	84	86	57	153	74	40	5	74	18	12	44	126	46	86	80	28					
8	Число бюллетеней в стационарных ящиках для голосования	16316	884	109	858	764	440	171	237	63	257	168	693	127	424	160	258	464	145	688	278	385	381	370	898	180	216	227	272	198	275	202	119	225	107	416	426	108	521	166	168	431	828	209	71	69	299	215	645	390	111					
9	Число недействительных бюллетеней	342	20	1	10	41	3	1	5	0	0	0	7	3	9	0	0	26	5	4	0	14	2	3	53	7	23	5	6	2	1	2	1	0	0	0	10	3	22	7	0	6	6	3	2	4	4	4	5	8	4					
10	Число действительных бюллетеней	18905	955	128	978	747	459	183	317	84	353	190	799	205	521	245	308	490	180	828	335	418	399	392	863	180	233	236	380	213	323	234	200	359	172	500	502	162	652	233	208	430	896	224	81	109	421	257	726	462	135					
