Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Кочевская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №5001	УИК №5002	УИК №5003	УИК №5004	УИК №5005	УИК №5006	УИК №5007	УИК №5008	УИК №5009	УИК №5010	УИК №5011	УИК №5012	УИК №5013	УИК №5014	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5021	УИК №5022	УИК №5023	УИК №5024	УИК №5025	УИК №5026	УИК №5027	УИК №5028	УИК №5029	УИК №5030					
1	"Число избирателей, внесенных в список избирателей"	9300	778	679	687	644	188	519	215	197	124	389	177	48	99	490	124	240	92	538	85	202	124	196	555	248	411	73	279	458	188	253					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9353	767	674	683	651	193	521	212	210	128	399	177	49	99	486	123	249	92	535	86	202	124	195	568	256	402	73	289	462	192	256					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4319	380	336	371	330	74	250	67	80	65	170	86	24	38	243	42	67	38	233	53	100	71	83	215	115	205	50	126	210	75	122					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	385	17	19	11	6	10	9	13	7	9	13	8	8	0	34	16	33	9	39	6	7	5	15	34	5	7	0	9	15	14	7					
6	Число погашенных избирательных бюллетеней	4649	370	319	301	315	109	262	132	123	54	216	83	17	61	209	65	149	45	263	27	95	48	97	319	136	190	23	154	237	103	127					
7	Число избирательных бюллетеней в переносных ящиках для голосования	385	17	19	11	6	10	9	13	7	9	13	8	8	0	34	16	33	9	39	6	7	5	15	34	5	7	0	9	15	14	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4318	380	336	371	330	74	250	67	80	65	170	86	24	38	243	42	67	38	233	53	100	71	83	214	115	205	50	126	210	75	122					
9	Число недействительных избирательных бюллетеней	178	15	10	14	7	0	16	6	5	2	10	9	1	3	12	0	2	0	5	1	2	6	5	12	1	7	3	3	12	2	7					
10	Число действительных избирательных бюллетеней	4525	382	345	368	329	84	243	74	82	72	173	85	31	35	265	58	98	47	267	58	105	70	93	236	119	205	47	132	213	87	122					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	195	16	14	14	14	4	11	4	4	3	8	3	1	2	11	3	5	2	11	2	4	3	4	12	5	8	2	6	10	4	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	52	9	8	4	8	0	4	2	0	0	1	1	0	0	0	0	0	0	2	0	2	1	0	2	0	2	0	2	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	4	3	4	2	1	2	2	1	3	0	0	1	2	4	1	0	1	0	0	3	0	3	1	0	2	4	3	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	143	7	6	10	6	4	7	2	4	3	7	2	1	2	11	3	5	2	9	2	2	2	4	10	5	6	2	4	8	4	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	662	39	39	49	52	10	32	13	11	12	39	14	2	5	54	6	16	6	37	6	8	6	22	33	18	33	5	22	44	18	11					
		14.08%	9.82%	10.99%	12.83%	15.48%	11.90%	12.36%	16.25%	12.64%	16.22%	21.31%	14.89%	6.25%	13.16%	19.49%	10.34%	16.00%	12.77%	13.60%	10.17%	7.48%	7.89%	22.45%	13.31%	15.00%	15.57%	10.00%	16.30%	19.56%	20.22%	8.53%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	931	91	88	88	67	17	48	20	7	15	34	18	6	10	60	15	11	12	43	9	28	26	11	36	9	35	3	21	55	17	31					
