Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Далматовская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №292	УИК №293	УИК №295	УИК №296	УИК №297	УИК №298	УИК №300	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №313	УИК №314	УИК №315	УИК №317	УИК №318	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23507	1655	1488	1467	1554	1573	1897	405	32	1193	148	97	124	155	84	688	263	245	432	117	360	181	436	148	338	568	405	651	164	392	244	322	145	1616	698	248	209	549	1155	331	730									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23600	1650	1450	1450	1550	1550	1900	400	100	1200	150	110	130	160	80	700	250	250	450	120	370	180	450	150	330	600	400	670	170	400	250	320	150	1600	700	260	220	550	1150	330	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9190	455	574	556	615	538	590	214	32	288	70	45	92	85	53	254	134	117	186	64	122	94	160	72	131	175	177	249	80	206	97	140	81	699	254	107	91	204	528	174	387									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1505	34	30	53	32	40	23	171	0	62	7	27	8	5	10	128	30	43	45	16	38	12	29	16	44	53	39	79	15	46	34	42	19	44	51	11	27	56	49	12	25									
6	Число погашенных избирательных бюллетеней	12905	1161	846	841	903	972	1287	15	68	850	73	38	30	70	17	318	86	90	219	40	210	74	261	62	155	372	184	342	75	148	119	138	50	857	395	142	102	290	573	144	288									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1505	34	30	53	32	40	23	171	0	62	7	27	8	5	10	128	30	43	45	16	38	12	29	16	44	53	39	79	15	46	34	42	19	44	51	11	27	56	49	12	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9190	455	574	556	615	538	590	214	32	288	70	45	92	85	53	254	134	117	186	64	122	94	160	72	131	175	177	249	80	206	97	140	81	699	254	107	91	204	528	174	387									
9	Число недействительных избирательных бюллетеней	251	14	13	9	13	4	15	41	0	10	1	3	1	2	0	13	2	3	6	3	2	2	0	5	4	2	3	10	2	7	2	7	3	19	4	1	0	2	14	3	6									
10	Число действительных избирательных бюллетеней	10444	475	591	600	634	574	598	344	32	340	76	69	99	88	63	369	162	157	225	77	158	104	189	83	171	226	213	318	93	245	129	175	97	724	301	117	118	258	563	183	406									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	355	10	20	20	15	25	25	0	0	10	5	10	5	5	5	15	5	5	11	5	5	5	7	5	5	10	5	12	5	5	5	5	5	15	10	5	5	5	20	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	292	10	9	10	15	13	17	0	0	10	5	10	5	5	0	15	3	5	11	1	2	5	7	5	5	10	1	12	5	5	1	5	5	15	10	5	5	5	20	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	156	8	5	7	5	11	8	15	4	10	3	0	2	2	2	7	2	0	3	2	0	2	3	3	2	0	4	2	0	1	4	4	2	11	2	1	2	5	4	5	3									
14	Число погашенных неиспользованных открепительных удостоверений	63	0	11	10	0	12	8	0	0	0	0	0	0	0	5	0	2	0	0	4	3	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	75	10	9	10	11	2	8	0	0	3	0	0	0	0	0	2	1	0	6	0	1	0	1	0	1	3	1	2	0	0	1	0	1	1	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	152	13	7	11	12	5	5	15	0	10	0	1	0	1	2	7	3	1	2	0	4	3	2	0	2	2	1	3	1	4	4	2	0	12	5	0	1	1	7	0	3									
		1.42%	2.66%	1.16%	1.81%	1.85%	0.87%	0.82%	3.90%	0.00%	2.86%	0.00%	1.39%	0.00%	1.11%	3.17%	1.83%	1.83%	0.63%	0.87%	0.00%	2.50%	2.83%	1.06%	0.00%	1.14%	0.88%	0.46%	0.91%	1.05%	1.59%	3.05%	1.10%	0.00%	1.62%	1.64%	0.00%	0.85%	0.38%	1.21%	0.00%	0.73%									
