Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    Кирилловская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548					
1	"Число избирателей, внесенных в списки избирателей"	13922	1111	2262	1962	1248	303	240	354	76	489	378	211	402	137	67	566	118	158	511	98	251	945	232	310	553	185	405	256	70	24					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12697	1000	2000	1800	1000	250	200	300	70	450	350	200	400	120	60	550	100	150	500	100	250	900	200	300	500	200	400	250	70	27					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7149	562	1152	1132	678	170	70	207	32	321	181	100	196	111	37	248	35	74	286	24	84	425	73	165	247	75	243	158	41	22					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1805	65	82	62	34	46	84	62	29	55	80	59	110	5	20	117	32	42	94	56	67	174	70	75	134	60	49	29	11	2					
6	Число погашенных избирательных бюллетеней	3743	373	766	606	288	34	46	31	9	74	89	41	94	4	3	185	33	34	120	20	99	301	57	60	119	65	108	63	18	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1805	65	82	62	34	46	84	62	29	55	80	59	110	5	20	117	32	42	94	56	67	174	70	75	134	60	49	29	11	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7148	562	1152	1131	678	170	70	207	32	321	181	100	196	111	37	248	35	74	286	24	84	425	73	165	247	75	243	158	41	22					
9	Число недействительных избирательных бюллетеней	57	3	9	10	8	4	0	3	0	3	1	0	1	0	0	1	0	1	2	0	1	5	0	1	2	1	0	1	0	0					
10	Число действительных избирательных бюллетеней	8896	624	1225	1183	704	212	154	266	61	373	260	159	305	116	57	364	67	115	378	80	150	594	143	239	379	134	292	186	52	24					
