Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Кунашакская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №2292	УИК №2293									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24294	2743	2602	327	404	340	456	1321	300	184	133	1110	259	369	1091	268	1445	763	324	187	756	218	80	280	316	912	393	533	463	458	517	110	158	150	274	187	156	1216	347	142	368	175	287	286	229	196	341	120									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24332	2750	2595	310	400	350	460	1300	300	180	135	1110	260	370	1100	270	1500	770	340	180	740	210	77	280	310	910	385	540	465	450	520	110	160	150	280	190	150	1245	340	140	360	175	280	285	230	200	350	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9806	1055	998	177	198	217	224	518	147	92	69	366	114	168	117	93	508	396	200	116	257	103	53	146	114	330	141	193	153	192	249	47	86	51	81	112	73	471	96	80	199	101	114	132	113	96	189	61									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1139	36	13	16	28	3	19	104	13	3	0	57	21	23	42	18	45	19	21	7	16	17	11	16	56	21	21	15	52	78	78	19	1	11	34	6	14	58	15	0	10	0	36	22	7	6	28	3									
6	Число погашенных избирательных бюллетеней	13387	1659	1584	117	174	130	217	678	140	85	66	687	125	179	941	159	947	355	119	57	467	90	13	118	140	559	223	332	260	180	193	44	73	88	165	72	63	716	229	60	151	74	130	131	110	98	133	56									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1141	36	13	16	28	3	19	104	13	3	0	57	21	23	42	18	45	19	21	7	16	17	11	16	56	21	21	15	52	78	78	19	1	11	34	6	14	60	15	0	10	0	36	22	7	6	28	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9804	1055	998	177	198	217	224	518	147	92	69	366	114	168	117	93	508	396	200	116	257	103	53	146	114	330	141	193	153	192	249	47	86	51	81	112	73	469	96	80	199	101	114	132	113	96	189	61									
9	Число недействительных избирательных бюллетеней	401	26	46	4	5	3	14	21	5	4	3	16	4	5	2	0	9	8	4	4	3	2	1	6	6	16	12	5	15	14	9	2	6	4	8	0	0	70	6	2	2	1	5	5	1	7	9	1									
10	Число действительных избирательных бюллетеней	10544	1065	965	189	221	217	229	601	155	91	66	407	131	186	157	111	544	407	217	119	270	118	63	156	164	335	150	203	190	256	318	64	81	58	107	118	87	459	105	78	207	100	145	149	119	95	208	63									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	404	30	30	7	5	20	15	10	2	4	1	20	5	5	5	5	50	10	22	0	5	2	1	7	5	19	3	5	6	5	5	2	2	2	4	3	3	35	2	2	5	7	4	4	4	5	9	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	291	18	12	7	0	14	9	6	2	4	0	11	3	2	5	0	50	10	22	0	1	0	0	5	3	19	3	5	3	5	5	2	2	0	3	3	0	35	0	0	0	3	2	2	1	5	9	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	122	6	7	13	1	0	1	1	2	2	0	2	0	0	3	2	0	7	2	1	13	0	4	2	6	4	6	2	2	5	12	0	0	0	2	0	3	2	0	0	2	1	4	0	1	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	113	12	18	0	5	6	6	4	0	0	1	9	2	3	0	5	0	0	0	0	4	2	1	2	2	0	0	0	3	0	0	0	0	2	1	0	3	0	2	2	5	4	2	2	3	0	0	2									
