Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Савинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9294	411	1073	540	864	1493	1364	304	550	272	630	246	341	176	308	288	329	105									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9330	400	1000	550	900	1550	1400	300	550	250	650	250	350	180	300	250	350	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3025	123	361	212	212	360	553	107	132	84	220	100	145	88	77	77	129	45									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	980	30	25	18	71	135	80	88	100	66	86	52	46	23	87	43	24	6									
6	Число погашенных избирательных бюллетеней	5325	247	614	320	617	1055	767	105	318	100	344	98	159	69	136	130	197	49									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	980	30	25	18	71	135	80	88	100	66	86	52	46	23	87	43	24	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3025	123	361	212	212	360	553	107	132	84	220	100	145	88	77	77	129	45									
9	Число недействительных избирательных бюллетеней	71	1	13	3	2	7	15	2	6	0	3	3	1	3	5	0	7	0									
10	Число действительных избирательных бюллетеней	3934	152	373	227	281	488	618	193	226	150	303	149	190	108	159	120	146	51									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	159	10	15	10	15	21	20	5	10	5	10	5	5	5	5	5	10	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	159	10	15	10	15	21	20	5	10	5	10	5	5	5	5	5	10	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	3	6	2	3	6	8	3	2	10	3	7	5	2	2	4	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	4	5	6	7	5	0	0	2	1	2	0	0	0	4	0	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
