Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Татарская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945					
1	"Число избирателей, внесенных в списки"	13711	559	106	246	84	55	100	524	59	104	135	586	430	194	333	394	165	263	82	450	126	425	457	126	74	135	714	210	203	79	74	658	137	125	60	914	190	160	347	278	104	97	378	76	705	66	622	353	134	347	101	255	112					
2	"Число бюллетеней, полученных участковыми комиссиями"	14020	560	105	250	85	55	105	530	65	110	135	600	430	260	340	390	165	275	95	450	130	435	455	140	75	140	755	215	200	90	80	670	135	125	65	900	190	170	350	290	105	100	380	80	700	65	630	360	140	360	105	260	120					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9639	359	77	186	70	50	88	310	50	86	113	314	272	177	262	244	118	190	77	306	96	299	328	118	69	123	379	131	133	79	62	427	110	110	51	579	119	121	242	200	84	91	278	67	486	61	454	306	99	228	80	180	100					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	625	46	10	12	0	3	4	28	0	0	0	53	18	17	18	36	22	6	0	0	0	26	36	0	0	0	26	14	9	0	7	37	6	6	5	42	13	9	17	14	0	0	0	0	23	0	25	3	0	16	0	18	0					
6	Число погашенных бюллетеней	3756	155	18	52	15	2	13	192	15	24	22	233	140	66	60	110	25	79	18	144	34	110	91	22	6	17	350	70	58	11	11	206	19	9	9	279	58	40	91	76	21	9	102	13	191	4	151	51	41	116	25	62	20					
7	Число бюллетеней в переносных ящиках для голосования	625	46	10	12	0	3	4	28	0	0	0	53	18	17	18	36	22	6	0	0	0	26	36	0	0	0	26	14	9	0	7	37	6	6	5	42	13	9	17	14	0	0	0	0	23	0	25	3	0	16	0	18	0					
8	Число бюллетеней в стационарных ящиках для голосования	9639	359	77	186	70	50	88	310	50	86	113	314	272	177	262	244	118	190	77	306	96	299	328	118	69	123	379	131	133	79	62	427	110	110	51	579	119	121	242	200	84	91	278	67	486	61	454	306	99	228	80	180	100					
9	Число недействительных бюллетеней	268	12	1	3	3	0	1	12	3	1	2	16	7	2	2	8	5	6	0	4	2	7	10	9	4	0	20	3	12	0	0	13	0	0	0	18	8	3	2	7	0	2	9	0	10	0	6	3	0	11	8	10	3					
10	Число действительных бюллетеней	9996	393	86	195	67	53	91	326	47	85	111	351	283	192	278	272	135	190	77	302	94	318	354	109	65	123	385	142	130	79	69	451	116	116	56	603	124	127	257	207	84	89	269	67	499	61	473	306	99	233	72	188	97					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	192	4	3	4	4	3	3	4	3	3	3	4	4	4	4	4	3	4	3	10	3	4	4	3	3	3	4	4	3	3	3	4	3	3	3	10	3	3	3	4	3	3	4	3	4	3	4	4	3	4	3	4	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	19	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	1	2	1	0	3	0	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	173	4	3	4	4	3	3	4	3	3	3	3	3	4	4	3	3	4	3	10	3	4	3	3	2	3	4	4	3	1	3	4	3	3	3	6	3	3	3	4	3	3	3	1	3	3	1	4	3	3	3	4	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	"1. ""ЕДИНЕНИЕ"""	177	7	0	5	4	0	2	7	0	0	0	8	10	0	5	2	2	8	2	4	2	7	8	3	0	2	7	2	3	0	0	5	0	1	0	13	4	0	1	7	2	2	4	0	8	0	10	4	3	4	1	4	4					
