Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																
Дата голосования: 04.12.2011																																
																																
Наименование Избирательной комиссии:    район Москворечье-Сабурово																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335					
1	"Число избирателей, внесенных в список избирателей"	46570	2231	2023	2860	2651	2763	2563	2413	2566	2081	1862	2007	2816	2164	2549	2014	1325	2867	2859	1311	1788	448	139	66	144	60					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42500	1900	1600	2400	2400	2400	2400	2200	2400	1800	1600	1800	2500	1900	2300	1900	1200	2600	2600	1200	1600	900	300	200	300	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27606	1050	1046	1362	1622	1593	1512	1320	1195	1329	1022	1297	1336	1246	1472	1040	1090	2278	2177	869	909	448	139	50	144	60					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	671	137	26	56	152	64	15	20	11	15	20	24	13	23	17	8	3	9	7	17	21	0	0	13	0	0					
6	Число погашенных избирательных бюллетеней	14223	713	528	982	626	743	873	860	1194	456	558	479	1151	631	811	852	107	313	416	314	670	452	161	137	156	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	671	137	26	56	152	64	15	20	11	15	20	24	13	23	17	8	3	9	7	17	21	0	0	13	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27459	1047	1044	1362	1620	1494	1506	1320	1192	1329	1019	1295	1318	1243	1470	1038	1090	2276	2177	869	909	448	139	50	144	60					
9	Число недействительных избирательных бюллетеней	454	29	16	21	0	25	24	37	23	22	6	21	30	36	8	13	40	33	21	3	21	24	0	1	0	0					
10	Число действительных избирательных бюллетеней	27676	1155	1054	1397	1772	1533	1497	1303	1180	1322	1033	1298	1301	1230	1479	1033	1053	2252	2163	883	909	424	139	62	144	60					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1056	40	40	50	60	65	70	50	70	45	45	45	70	55	60	66	35	60	60	35	35	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	830	35	26	33	47	55	62	40	50	44	29	39	63	37	58	51	21	43	55	21	21	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	867	118	47	45	36	68	29	48	36	25	28	34	47	36	28	19	0	50	46	23	33	34	14	11	0	12					
