Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Котельниковская поселковая															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998					
1	"Число избирателей, внесенных в списки"	14123	381	1936	2010	2023	1674	1665	2142	2292					
2	"Число бюллетеней, полученных участковыми комиссиями"	12700	300	1800	1800	1800	1500	1500	1900	2100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7389	262	951	1128	1011	860	868	1094	1215					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	228	0	45	26	64	29	15	37	12					
6	Число погашенных бюллетеней	5081	38	804	646	725	611	617	769	871					
7	Число бюллетеней в переносных ящиках для голосования	228	0	45	26	64	29	15	37	12					
8	Число бюллетеней в стационарных ящиках для голосования	7385	262	950	1125	1011	860	868	1094	1215					
9	Число недействительных бюллетеней	268	9	38	44	32	27	24	64	30					
10	Число действительных бюллетеней	7345	253	957	1107	1043	862	859	1067	1197					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	370	20	40	40	40	40	80	50	60					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	216	4	16	16	15	14	67	25	59					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	12	2	2	10	8	2	9	7					
14	Число погашенных открепительных удостоверений	154	16	24	24	25	26	13	25	1					
15	Число открепительных удостоверений выданных ТИК	1	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	0	0	2					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	96	6	13	14	11	12	15	12	13					
		1.26%	2.29%	1.30%	1.21%	1.02%	1.34%	1.69%	1.06%	1.05%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	291	19	30	40	49	47	35	35	36					
		3.82%	7.25%	3.01%	3.47%	4.55%	5.28%	3.96%	3.09%	2.93%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	239	8	45	42	19	21	24	50	30					
		3.13%	3.05%	4.52%	3.64%	1.76%	2.36%	2.71%	4.42%	2.44%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	389	16	68	48	52	58	39	42	66					
		5.10%	6.10%	6.83%	4.17%	4.83%	6.52%	4.41%	3.71%	5.37%					
22	"5. ""За Русь Святую"""	54	1	5	12	6	5	5	14	6					
		0.70%	0.38%	0.50%	1.04%	0.55%	0.56%	0.56%	1.23%	0.48%					
23	"6. ""Объединенная Российская партия ""Русь"""	35	0	3	4	6	1	7	8	6					
		0.45%	0.0%	0.30%	0.34%	0.55%	0.11%	0.79%	0.70%	0.48%					
24	"7. ""Новый курс - Автомобильная Россия"""	109	10	12	18	14	6	14	14	21					
		1.43%	3.81%	1.20%	1.56%	1.30%	0.67%	1.58%	1.23%	1.71%					
25	"8. ""Народно-республиканская партия России"""	7	0	0	2	0	0	1	2	2					
		0.09%	0.0%	0.0%	0.17%	0.0%	0.0%	0.11%	0.17%	0.16%					
26	"9. ""Российская экологическая партия ""Зеленые"""	51	2	4	6	10	3	8	7	11					
		0.66%	0.76%	0.40%	0.52%	0.93%	0.33%	0.90%	0.61%	0.89%					
27	"10. ""Аграрная партия России"""	167	5	20	17	19	14	32	24	36					
		2.19%	1.90%	2.01%	1.47%	1.76%	1.57%	3.62%	2.12%	2.93%					
28	"11. ""Истинные патриоты России"""	6	0	0	1	2	1	2	0	0					
		0.07%	0.0%	0.0%	0.08%	0.18%	0.11%	0.22%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	122	6	18	16	23	6	8	23	22					
		1.60%	2.29%	1.80%	1.39%	2.13%	0.67%	0.90%	2.03%	1.79%					
30	"13. ""Демократическая партия России"""	23	1	5	2	4	3	2	4	2					
		0.30%	0.38%	0.50%	0.17%	0.37%	0.33%	0.22%	0.35%	0.16%					
31	"14. ""Великая Россия - Евразийский Союз"""	15	1	2	4	1	1	2	1	3					
		0.19%	0.38%	0.20%	0.34%	0.09%	0.11%	0.22%	0.08%	0.24%					
32	"15. ""Партия СЛОН"""	25	2	3	5	1	6	2	2	4					
		0.32%	0.76%	0.30%	0.43%	0.09%	0.67%	0.22%	0.17%	0.32%					
33	"16. ""Родина"" (народно-патриотический союз)"""	957	34	142	177	144	120	85	124	131					
		12.57%	12.97%	14.27%	15.37%	13.39%	13.49%	9.62%	10.96%	10.67%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	15	1	3	4	2	1	3	0	1					
		0.19%	0.38%	0.30%	0.34%	0.18%	0.11%	0.33%	0.0%	0.08%					
35	"18. ""ЛДПР"""	804	36	79	102	111	67	110	129	170					
		10.56%	13.74%	7.93%	8.86%	10.32%	7.53%	12.45%	11.40%	13.85%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	116	1	14	23	11	21	18	16	12					
		1.52%	0.38%	1.40%	1.99%	1.02%	2.36%	2.03%	1.41%	0.97%					
37	"20. ""Политическая партия ""Единая Россия"""	2466	65	300	389	337	301	298	345	431					
		32.39%	24.80%	30.15%	33.79%	31.34%	33.85%	33.74%	30.50%	35.12%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	1	0	4	2	1	0	2	0					
		0.13%	0.38%	0.0%	0.34%	0.18%	0.11%	0.0%	0.17%	0.0%					
39	"22. ""Развитие предпринимательства"""	15	2	2	2	2	2	2	0	3					
		0.19%	0.76%	0.20%	0.17%	0.18%	0.22%	0.22%	0.0%	0.24%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	707	13	100	78	133	113	71	104	95					
		9.28%	4.96%	10.05%	6.77%	12.37%	12.71%	8.04%	9.19%	7.74%					
															
41	Против всех	626	23	89	97	84	52	76	109	96					
		8.22%	8.77%	8.94%	8.42%	7.81%	5.84%	8.60%	9.63%	7.82%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
