Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Верхошижемская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7715	1354	1141	1215	143	339	272	393	277	459	498	804	394	426									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7720	1359	1142	1218	137	338	270	391	278	457	501	806	397	426									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3536	609	508	516	73	136	138	177	122	227	212	406	203	209									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	439	30	44	52	15	35	21	22	40	43	45	45	19	28									
6	Число погашенных избирательных бюллетеней	3745	720	590	650	49	167	111	192	116	187	244	355	175	189									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	439	30	44	52	15	35	21	22	40	43	45	45	19	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3535	609	508	516	73	136	137	177	122	227	212	406	203	209									
9	Число недействительных избирательных бюллетеней	89	15	10	23	1	1	4	6	2	7	4	5	5	6									
10	Число действительных избирательных бюллетеней	3885	624	542	545	87	170	154	193	160	263	253	446	217	231									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	25	25	25	10	15	15	20	15	20	15	25	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	35	7	6	2	0	2	2	0	1	1	4	4	2	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	5	7	2	5	3	5	2	1	3	4	3	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	225	18	19	23	10	13	13	20	14	19	11	21	23	21									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	1	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	37	4	10	4	3	1	5	2	2	1	0	0	4	1									
		0.93%	0.63%	1.81%	0.70%	3.41%	0.58%	3.16%	1.01%	1.23%	0.37%	0.00%	0.00%	1.80%	0.42%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	89	13	14	16	2	4	2	3	4	3	3	15	5	5									
		2.24%	2.03%	2.54%	2.82%	2.27%	2.34%	1.27%	1.51%	2.47%	1.11%	1.17%	3.33%	2.25%	2.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	89	11	11	16	4	5	3	0	7	7	5	9	7	4									
		2.24%	1.72%	1.99%	2.82%	4.55%	2.92%	1.90%	0.00%	4.32%	2.59%	1.95%	1.99%	3.15%	1.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2070	322	277	287	57	104	86	94	81	123	149	219	132	139									
		52.09%	50.39%	50.18%	50.53%	64.77%	60.82%	54.43%	47.24%	50.00%	45.56%	57.98%	48.56%	59.46%	58.65%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	1	5	2	0	0	1	1	0	0	1	2	1	2									
		0.40%	0.16%	0.91%	0.35%	0.00%	0.00%	0.63%	0.50%	0.00%	0.00%	0.39%	0.44%	0.45%	0.84%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	1	1	0	0	0	0	0	1	0	0	1	0	0									
		0.10%	0.16%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.22%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	848	145	86	126	15	37	34	54	20	83	33	129	44	42									
		21.34%	22.69%	15.58%	22.18%	17.05%	21.64%	21.52%	27.14%	12.35%	30.74%	12.84%	28.60%	19.82%	17.72%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	3	3	5	0	0	1	1	0	0	0	1	1	0									
		0.38%	0.47%	0.54%	0.88%	0.00%	0.00%	0.63%	0.50%	0.00%	0.00%	0.00%	0.22%	0.45%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	31	9	2	7	1	0	1	1	2	2	1	2	1	2									
		0.78%	1.41%	0.36%	1.23%	1.14%	0.00%	0.63%	0.50%	1.23%	0.74%	0.39%	0.44%	0.45%	0.84%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	2	2	1	0	0	0	0	0	1	1	2	1	0									
		0.25%	0.31%	0.36%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.39%	0.44%	0.45%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	20	1	6	0	1	0	3	1	2	1	0	3	0	2									
		0.50%	0.16%	1.09%	0.00%	1.14%	0.00%	1.90%	0.50%	1.23%	0.37%	0.00%	0.67%	0.00%	0.84%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	481	82	93	58	4	14	15	20	30	34	40	46	16	29									
		12.10%	12.83%	16.85%	10.21%	4.55%	8.19%	9.49%	10.05%	18.52%	12.59%	15.56%	10.20%	7.21%	12.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	1	1	0	0	0	0	1	0	0	1	1	0	1									
		0.15%	0.16%	0.18%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.39%	0.22%	0.00%	0.42%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	169	29	31	23	0	5	3	15	11	8	19	16	5	4									
		4.25%	4.54%	5.62%	4.05%	0.00%	2.92%	1.90%	7.54%	6.79%	2.96%	7.39%	3.55%	2.25%	1.69%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
