Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Тогульская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6895	1247	1108	671	673	109	84	293	97	56	138	943	1160	194	122									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6990	1260	1130	670	680	110	80	300	100	60	140	950	1190	200	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2969	488	518	288	227	46	55	147	48	29	87	365	499	112	60									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	417	73	38	39	47	14	2	23	6	2	5	85	62	6	15									
6	Число погашенных избирательных бюллетеней	3604	699	574	343	406	50	23	130	46	29	48	500	629	82	45									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	417	73	38	39	47	14	2	23	6	2	5	85	62	6	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2969	488	518	288	227	46	55	147	48	29	87	365	499	112	60									
9	Число недействительных избирательных бюллетеней	84	19	12	6	12	0	3	3	1	3	4	5	13	2	1									
10	Число действительных избирательных бюллетеней	3302	542	544	321	262	60	54	167	53	28	88	445	548	116	74									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	90	14	14	7	7	3	3	5	3	3	4	10	10	4	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	40	7	12	2	5	1	0	3	1	0	0	4	5	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	30	7	4	2	3	2	0	1	0	0	2	4	4	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	50	7	2	5	2	2	3	2	2	3	4	6	5	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	2	0	0	0	1	0	0	0	0	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
