Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Кыринская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10996	266	626	520	172	2125	1460	283	489	567	733	331	1576	507	749	196	280	116									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10290	290	600	500	150	2100	1400	250	450	500	600	300	1400	500	700	200	250	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	119	89	4	0	0	0	0	4	22	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4157	79	249	251	76	675	467	118	179	219	210	131	759	221	251	78	141	53									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	540	13	33	13	8	19	39	15	32	12	201	23	46	30	35	4	12	5									
6	Число погашенных избирательных бюллетеней	5474	109	314	236	66	1406	894	113	217	269	189	146	595	249	414	118	97	42									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	659	102	37	13	8	19	39	19	54	12	201	23	46	30	35	4	12	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4144	79	249	251	76	675	466	118	179	219	210	131	759	221	251	78	129	53									
9	Число недействительных избирательных бюллетеней	168	6	11	10	2	27	18	5	7	11	11	6	39	8	3	1	3	0									
10	Число действительных избирательных бюллетеней	4635	175	275	254	82	667	487	132	226	220	400	148	766	243	283	81	138	58									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	158	3	7	10	3	22	14	3	5	6	7	4	50	6	8	3	4	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	85	0	2	4	0	12	9	1	3	0	4	1	43	5	0	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	55	1	3	1	1	14	7	5	3	1	1	1	7	5	1	2	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	73	3	5	6	3	10	5	2	2	6	3	3	7	1	8	2	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	1	1	0	6	3	0	0	1	0	0	3	0	2	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	35	3	4	2	0	4	2	0	5	0	3	0	8	0	2	2	0	0									
		0.73%	1.66%	1.40%	0.76%	0.00%	0.58%	0.40%	0.00%	2.15%	0.00%	0.73%	0.00%	0.99%	0.00%	0.70%	2.44%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	191	6	13	13	2	36	23	3	10	8	15	4	18	11	14	4	10	1									
		3.98%	3.31%	4.55%	4.92%	2.38%	5.19%	4.55%	2.19%	4.29%	3.46%	3.65%	2.60%	2.24%	4.38%	4.90%	4.88%	7.09%	1.72%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	74	0	5	5	0	13	6	5	5	5	3	2	8	9	5	0	3	0									
		1.54%	0.00%	1.75%	1.89%	0.00%	1.87%	1.19%	3.65%	2.15%	2.16%	0.73%	1.30%	0.99%	3.59%	1.75%	0.00%	2.13%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1984	86	102	98	46	192	147	66	71	110	235	74	384	107	121	55	71	19									
		41.31%	47.51%	35.66%	37.12%	54.76%	27.67%	29.11%	48.18%	30.47%	47.62%	57.18%	48.05%	47.70%	42.63%	42.31%	67.07%	50.35%	32.76%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	28	2	0	1	1	8	5	1	0	0	0	1	5	1	0	0	2	1									
		0.58%	1.10%	0.00%	0.38%	1.19%	1.15%	0.99%	0.73%	0.00%	0.00%	0.00%	0.65%	0.62%	0.40%	0.00%	0.00%	1.42%	1.72%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	1	2	1	0	2	1	0	0	4	0	2	1	2	1	0	0	0									
		0.35%	0.55%	0.70%	0.38%	0.00%	0.29%	0.20%	0.00%	0.00%	1.73%	0.00%	1.30%	0.12%	0.80%	0.35%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1414	54	62	73	25	242	165	45	65	68	101	41	225	79	93	14	32	30									
		29.44%	29.83%	21.68%	27.65%	29.76%	34.87%	32.67%	32.85%	27.90%	29.44%	24.57%	26.62%	27.95%	31.47%	32.52%	17.07%	22.70%	51.72%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	0	1	0	0	4	1	0	1	1	1	1	2	0	0	0	1	0									
