Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Балезинская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153					
1	"Число избирателей, внесенных в списки избирателей"	29548	2123	966	1967	906	1697	1693	1599	821	1695	394	508	323	557	119	674	106	445	246	169	399	366	128	428	108	263	504	394	567	498	185	516	434	224	437	200	438	161	304	413	365	733	619	338	314	204	496	170	1637	75	183	91	187	161					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	28615	2000	910	1730	850	1590	1620	1490	780	1600	380	500	315	555	120	660	110	445	225	170	390	365	124	425	110	260	510	385	580	495	194	530	425	225	455	206	435	162	305	415	355	720	585	320	315	200	503	168	1670	76	182	91	184	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18447	1077	461	1093	417	942	935	850	429	799	293	345	224	409	90	541	85	274	169	88	311	236	120	291	96	211	353	226	339	219	88	352	252	125	331	173	316	93	250	301	193	480	376	217	258	133	345	120	1525	59	145	86	152	154					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1272	9	15	24	26	14	21	19	19	15	23	18	16	22	0	11	0	38	14	22	25	18	2	41	3	11	19	59	42	142	29	29	42	15	21	6	9	18	25	40	66	30	48	48	6	28	48	26	23	8	6	0	13	0					
6	Число погашенных избирательных бюллетеней	8895	914	434	613	407	634	663	621	332	786	64	137	75	124	30	108	25	133	42	60	54	111	2	93	11	38	138	100	199	134	77	149	131	85	103	27	110	51	30	74	96	210	161	55	51	39	110	22	122	9	31	5	19	46					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1272	9	15	24	26	14	21	19	19	15	23	18	16	22	0	11	0	38	14	22	25	18	2	41	3	11	19	59	42	142	29	29	42	15	21	6	9	18	25	40	66	30	48	48	6	28	48	26	23	8	6	0	13	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18444	1077	461	1092	417	940	935	850	429	799	293	345	224	409	90	541	85	274	169	88	311	236	120	291	96	211	353	226	339	219	88	352	252	125	331	173	316	93	250	301	193	480	376	217	258	133	345	120	1525	59	145	86	152	154					
9	Число недействительных избирательных бюллетеней	255	13	11	14	9	6	21	15	4	12	2	7	7	6	0	9	0	7	7	2	4	4	0	2	0	5	10	0	7	8	4	6	1	0	2	2	2	0	3	1	2	7	3	1	1	3	2	0	10	1	0	0	2	10					
10	Число действительных избирательных бюллетеней	19461	1073	465	1102	434	948	935	854	444	802	314	356	233	425	90	543	85	305	176	108	332	250	122	330	99	217	362	285	374	353	113	375	293	140	350	177	323	111	272	340	257	503	421	264	263	158	391	146	1538	66	151	86	163	144					
