Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Чановская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137					
1	"Число избирателей, внесенных в списки"	22281	1497	1244	755	1261	1581	629	257	513	209	357	493	251	106	103	176	357	137	246	516	145	247	138	235	672	160	248	227	500	81	75	459	130	138	890	590	595	275	154	175	50	292	590	170	371	121	459	519	1087	372	440	189	303	116	380					
2	"Число бюллетеней, полученных участковыми комиссиями"	22329	1494	1239	755	1283	1469	645	251	516	208	356	494	253	103	105	171	359	143	251	516	147	251	144	235	672	162	259	227	501	83	74	459	132	140	898	594	606	275	156	178	51	295	596	169	380	123	498	514	1093	350	456	194	300	116	390					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13514	801	676	420	642	839	256	206	251	139	240	304	172	88	80	148	289	122	184	385	118	184	104	162	349	114	164	142	292	71	63	301	98	116	588	376	355	162	119	140	36	178	335	132	257	90	272	264	574	218	258	143	189	86	222					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	706	26	42	28	35	107	20	9	108	0	24	0	0	0	0	0	0	0	0	0	0	16	0	0	49	0	7	5	80	0	3	32	0	0	0	32	24	14	0	0	0	0	6	0	0	0	0	0	0	0	13	8	12	0	6					
6	Число погашенных бюллетеней	8109	667	521	307	606	523	369	36	157	69	92	190	81	15	25	23	70	21	67	131	29	51	40	73	274	48	88	80	129	12	8	126	34	24	310	186	227	99	37	38	15	117	255	37	123	33	226	250	519	132	185	43	99	30	162					
7	Число бюллетеней в переносных ящиках для голосования	706	26	42	28	35	107	20	9	108	0	24	0	0	0	0	0	0	0	0	0	0	16	0	0	49	0	7	5	80	0	3	32	0	0	0	32	24	14	0	0	0	0	6	0	0	0	0	0	0	0	13	8	12	0	6					
8	Число бюллетеней в стационарных ящиках для голосования	13513	801	676	420	642	839	256	206	251	139	240	304	172	88	80	148	289	122	184	385	118	184	104	162	349	114	164	142	292	71	63	301	98	116	588	376	355	162	119	140	36	178	335	132	257	90	272	264	573	218	258	143	189	86	222					
9	Число недействительных бюллетеней	333	24	5	7	21	3	10	7	6	3	6	13	8	1	0	1	6	0	5	9	0	5	2	2	13	2	8	0	7	1	0	9	4	4	8	2	8	7	1	6	1	5	12	2	13	5	10	4	15	14	7	4	9	6	2					
10	Число действительных бюллетеней	13886	803	713	441	656	943	266	208	353	136	258	291	164	87	80	147	283	122	179	376	118	195	102	160	385	112	163	147	365	70	66	324	94	112	580	406	371	169	118	134	35	173	329	130	244	85	262	260	558	204	264	147	192	80	226					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	7	18	7	15	14	6	2	5	2	3	4	2	1	1	2	3	1	2	4	1	2	1	2	6	1	2	2	5	1	1	4	1	1	8	6	5	2	1	2	1	3	5	1	3	1	4	10	3	3	4	2	3	1	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	51	4	12	5	4	9	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	3	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	0	6	4	0	1	1	0	0	1	0	0	0	1	0	3	0	0	0	2	0	0	1	1	1	1	0	1	2	0	1	2	1	0	1	1	0	0	0	1	1	1	0	1	0	1	2	0	3	0	0	2	1	0	1					
14	Число погашенных открепительных удостоверений	149	3	6	2	11	5	5	2	3	2	3	4	2	1	1	2	3	1	2	4	1	2	0	2	6	1	1	1	4	1	1	4	1	1	7	5	2	2	1	1	1	3	4	1	3	1	4	8	3	3	4	1	3	1	3					
15	Число открепительных удостоверений выданных ТИК	531	0	521	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	"1. ""ЕДИНЕНИЕ"""	263	8	6	9	8	21	6	4	5	2	10	8	6	1	2	4	1	0	1	4	3	11	0	6	7	0	4	3	4	2	1	4	1	0	6	12	3	8	1	0	0	5	11	2	5	2	7	1	1	13	12	7	7	3	5					
		1.84%	0.96%	0.83%	2.00%	1.18%	2.21%	2.17%	1.86%	1.39%	1.43%	3.78%	2.63%	3.48%	1.13%	2.5%	2.70%	0.34%	0.0%	0.54%	1.03%	2.54%	5.5%	0.0%	3.70%	1.75%	0.0%	2.33%	2.04%	1.07%	2.81%	1.51%	1.20%	1.02%	0.0%	1.02%	2.94%	0.79%	4.54%	0.84%	0.0%	0.0%	2.80%	3.22%	1.51%	1.94%	2.22%	2.57%	0.37%	0.17%	5.96%	4.42%	4.63%	3.48%	3.48%	2.19%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	110	14	13	1	5	6	1	2	2	3	1	2	1	1	0	0	2	0	0	0	2	1	0	0	5	1	2	1	3	0	0	2	0	2	5	0	5	0	0	0	0	2	1	0	1	0	2	1	5	0	4	4	2	0	5					
		0.77%	1.69%	1.81%	0.22%	0.73%	0.63%	0.36%	0.93%	0.55%	2.15%	0.37%	0.65%	0.58%	1.13%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	1.69%	0.5%	0.0%	0.0%	1.25%	0.87%	1.16%	0.68%	0.80%	0.0%	0.0%	0.60%	0.0%	1.72%	0.85%	0.0%	1.31%	0.0%	0.0%	0.0%	0.0%	1.12%	0.29%	0.0%	0.38%	0.0%	0.73%	0.37%	0.87%	0.0%	1.47%	2.64%	0.99%	0.0%	2.19%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	329	19	13	5	15	14	14	5	8	4	3	7	3	14	0	5	9	1	2	12	6	7	0	2	9	4	8	5	5	4	0	15	1	4	14	2	7	1	3	1	2	5	5	0	1	0	10	15	13	0	11	8	3	2	3					
		2.31%	2.29%	1.81%	1.11%	2.21%	1.47%	5.07%	2.32%	2.22%	2.87%	1.13%	2.30%	1.74%	15.90%	0.0%	3.37%	3.11%	0.81%	1.08%	3.11%	5.08%	3.5%	0.0%	1.23%	2.26%	3.50%	4.67%	3.40%	1.34%	5.63%	0.0%	4.50%	1.02%	3.44%	2.38%	0.49%	1.84%	0.56%	2.52%	0.71%	5.55%	2.80%	1.46%	0.0%	0.38%	0.0%	3.67%	5.68%	2.26%	0.0%	4.05%	5.29%	1.49%	2.32%	1.31%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	119	5	12	2	5	17	1	0	2	0	1	2	1	0	0	0	4	0	2	8	0	0	2	3	1	2	0	0	4	0	0	5	0	1	6	3	2	1	0	1	1	2	2	0	0	0	1	6	4	0	1	2	4	2	1					
		0.83%	0.60%	1.67%	0.44%	0.73%	1.79%	0.36%	0.0%	0.55%	0.0%	0.37%	0.65%	0.58%	0.0%	0.0%	0.0%	1.38%	0.0%	1.08%	2.07%	0.0%	0.0%	1.92%	1.85%	0.25%	1.75%	0.0%	0.0%	1.07%	0.0%	0.0%	1.50%	0.0%	0.86%	1.02%	0.73%	0.52%	0.56%	0.0%	0.71%	2.77%	1.12%	0.58%	0.0%	0.0%	0.0%	0.36%	2.27%	0.69%	0.0%	0.36%	1.32%	1.99%	2.32%	0.43%					
22	"5. ""За Русь Святую"""	89	4	5	6	5	9	0	0	0	1	0	0	0	0	0	0	1	0	0	2	2	0	0	1	3	1	3	0	9	6	0	0	0	0	0	3	6	2	2	0	0	1	1	0	0	3	2	6	3	0	0	0	0	2	0					
		0.62%	0.48%	0.69%	1.33%	0.73%	0.95%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.51%	1.69%	0.0%	0.0%	0.61%	0.75%	0.87%	1.75%	0.0%	2.41%	8.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.73%	1.58%	1.13%	1.68%	0.0%	0.0%	0.56%	0.29%	0.0%	0.0%	3.33%	0.73%	2.27%	0.52%	0.0%	0.0%	0.0%	0.0%	2.32%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	43	3	2	2	1	2	1	1	1	1	1	1	1	0	0	2	1	0	0	1	1	0	0	0	1	0	3	0	1	0	0	4	0	0	2	1	1	0	0	1	0	1	2	2	0	0	0	0	0	1	1	0	0	0	0					
		0.30%	0.36%	0.27%	0.44%	0.14%	0.21%	0.36%	0.46%	0.27%	0.71%	0.37%	0.32%	0.58%	0.0%	0.0%	1.35%	0.34%	0.0%	0.0%	0.25%	0.84%	0.0%	0.0%	0.0%	0.25%	0.0%	1.75%	0.0%	0.26%	0.0%	0.0%	1.20%	0.0%	0.0%	0.34%	0.24%	0.26%	0.0%	0.0%	0.71%	0.0%	0.56%	0.58%	1.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.36%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	68	5	7	1	5	2	8	3	3	1	1	0	0	1	1	0	3	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	4	4	1	0	1	0	0	2	2	0	0	0	0	5	0	1	2	0	0	0	0					
		0.47%	0.60%	0.97%	0.22%	0.73%	0.21%	2.89%	1.39%	0.83%	0.71%	0.37%	0.0%	0.0%	1.13%	1.25%	0.0%	1.03%	0.0%	0.0%	0.25%	0.0%	0.0%	0.96%	0.0%	0.25%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	1.02%	0.0%	0.68%	0.98%	0.26%	0.0%	0.84%	0.0%	0.0%	1.12%	0.58%	0.0%	0.0%	0.0%	0.0%	1.89%	0.0%	0.45%	0.73%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	40	2	0	1	1	0	2	4	0	0	1	0	1	0	0	0	0	0	1	2	0	1	0	0	2	0	1	0	0	0	0	0	3	0	0	1	2	0	1	2	0	0	1	1	0	1	1	0	0	1	3	3	0	0	1					
		0.28%	0.24%	0.0%	0.22%	0.14%	0.0%	0.72%	1.86%	0.0%	0.0%	0.37%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.51%	0.0%	0.5%	0.0%	0.0%	0.50%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	3.06%	0.0%	0.0%	0.24%	0.52%	0.0%	0.84%	1.42%	0.0%	0.0%	0.29%	0.75%	0.0%	1.11%	0.36%	0.0%	0.0%	0.45%	1.10%	1.98%	0.0%	0.0%	0.43%					
26	"9. ""Российская экологическая партия ""Зеленые"""	19	3	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0					
		0.13%	0.36%	0.0%	0.22%	0.29%	0.0%	0.0%	0.0%	0.27%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.96%	0.0%	0.25%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.24%	0.26%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.66%	0.0%	0.0%	0.0%					
