Выборы Президента Российской Федерации																																																																																
																																																																																
Наименование Избирательной комиссии:    Первоуральская городская																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406					
1	"Число избирателей, внесенных в список"	125963	1453	1609	2981	3003	2485	2639	1733	1709	2831	2781	2686	2840	2626	2146	2144	2290	2430	1826	1882	2504	1302	2151	2544	2901	2740	1911	2089	1210	2355	2739	2108	2046	1714	1683	1921	1088	364	2443	296	2692	2690	1061	2464	2058	2168	2217	1695	2254	1171	2155	1024	780	1122	2176	846	992	929	743	2637	229	2010	1691	965	1752	229	214	1232	393	370	268	260	191	82					
2	Число полученных избирательных бюллетеней	115480	1300	1500	2600	2700	2300	2400	1600	1500	2500	2300	2500	2600	2400	2000	1900	2100	2200	1700	1800	2300	1200	2000	2400	2700	2500	1800	1900	1100	2100	2500	1900	2000	1600	1600	1700	1100	300	2200	250	2500	2500	1000	2200	1900	2000	2000	1600	2000	1100	1900	1000	700	1000	2000	800	900	900	700	2400	210	1900	1500	900	1600	210	180	1100	350	350	230	400	200	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	63932	592	834	1556	1484	1308	1456	883	888	1549	1420	1491	1503	1356	1280	939	1055	966	999	1057	1481	703	1025	1400	1573	1517	1056	1155	706	1362	1500	1133	1110	871	768	877	573	121	1024	102	1378	1341	521	1077	1085	1118	1280	954	1338	600	925	526	292	438	1088	440	404	534	308	1256	126	920	802	304	631	102	112	517	144	251	122	214	61	50					
5	"Число избирательных бюллетеней, выданных вне помещения"	3405	60	24	28	27	27	35	39	46	49	33	28	26	22	10	61	116	38	58	39	55	25	47	27	33	37	21	10	11	39	33	58	49	16	39	28	39	69	59	110	40	23	12	248	67	62	79	27	47	14	56	49	17	43	49	17	22	18	15	147	19	60	36	169	72	33	28	105	66	14	37	0	114	29					
6	Число погашенных избирательных бюллетеней	48143	648	642	1016	1189	965	909	678	566	902	847	981	1071	1022	710	900	929	1196	643	704	764	472	928	973	1094	946	723	735	383	699	967	709	841	713	793	795	488	110	1117	38	1082	1136	467	875	748	820	641	619	615	486	919	425	391	519	863	343	474	348	377	997	65	920	662	427	897	75	40	478	140	85	71	186	25	121					
7	Число избирательных бюллетеней в переносных ящиках	3405	60	24	28	27	27	35	39	46	49	33	28	26	22	10	61	116	38	58	39	55	25	47	27	33	37	21	10	11	39	33	58	49	16	39	28	39	69	59	110	40	23	12	248	67	62	79	27	47	14	56	49	17	43	49	17	22	18	15	147	19	60	36	169	72	33	28	105	66	14	37	0	114	29					
8	Число бюллетеней в стационарных ящиках для голосования	63876	590	833	1556	1484	1305	1453	883	888	1547	1420	1491	1499	1355	1280	939	1055	966	999	1054	1481	703	1025	1397	1571	1515	1053	1153	706	1362	1497	1133	1110	871	768	877	573	121	1024	102	1373	1341	521	1077	1084	1102	1280	954	1338	600	925	526	292	438	1088	440	404	534	308	1256	126	920	802	304	631	102	112	517	144	251	122	214	61	50					
9	Число недействительных избирательных бюллетеней	893	17	5	9	20	16	20	20	16	14	27	18	23	15	12	15	15	6	14	17	13	6	11	11	21	15	7	13	13	19	14	13	15	8	16	14	13	2	23	4	17	18	15	21	19	13	17	13	9	16	13	4	13	8	7	12	10	14	9	16	5	8	13	13	20	1	3	10	0	5	0	0	1	0					
10	Число действительных избирательных бюллетеней	66388	633	852	1575	1491	1316	1468	902	918	1582	1426	1501	1502	1362	1278	985	1156	998	1043	1076	1523	722	1061	1413	1583	1537	1067	1150	704	1382	1516	1178	1144	879	791	891	599	188	1060	208	1396	1346	518	1304	1132	1151	1342	968	1376	598	968	571	296	473	1130	445	416	538	314	1387	140	972	825	460	683	134	137	612	210	260	159	214	174	79					
