Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Турковская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818					
1	"Число избирателей, внесенных в списки избирателей"	11521	1526	1664	1074	1115	497	323	188	272	330	352	365	340	772	375	581	662	391	147	547					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11807	1561	1700	1072	1190	496	334	185	275	338	374	379	355	768	398	601	682	396	145	558					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6765	636	673	650	617	315	231	130	238	179	239	180	144	529	215	498	558	222	98	413					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1900	177	172	93	95	117	60	36	15	112	49	156	166	208	131	44	33	142	28	66					
6	Число погашенных избирательных бюллетеней	3142	748	855	329	478	64	43	19	22	47	86	43	45	31	52	59	91	32	19	79					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1900	177	172	93	95	117	60	36	15	112	49	156	166	208	131	44	33	142	28	66					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6765	636	673	650	617	315	231	130	238	179	239	180	144	529	215	498	558	222	98	413					
9	Число недействительных избирательных бюллетеней	62	3	10	9	6	4	1	1	3	2	15	2	0	1	3	0	0	1	1	0					
10	Число действительных избирательных бюллетеней	8603	810	835	734	706	428	290	165	250	289	273	334	310	736	343	542	591	363	125	479					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	210	26	22	20	40	6	10	1	2	8	6	8	8	8	8	8	8	8	7	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	171	26	22	4	39	6	9	0	2	1	6	8	7	8	7	8	8	4	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	41	1	2	4	3	3	2	2	1	2	2	3	1	2	1	1	5	2	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	39	0	0	16	1	0	1	1	0	7	0	0	1	0	1	0	0	4	6	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	1	1	2	0	0	0	0	0	0	6	1	0	0	1	0	8	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	1.Политическая партия «Аграрная партия России»	23	15	0	0	2	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0					
		0.27%	1.85%	0.00%	0.00%	0.28%	0.00%	0.00%	2.41%	0.40%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
