Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Приаргунская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16783	335	458	542	212	354	212	849	685	557	536	414	64	400	42	160	1015	71	1133	281	306	195	486	1502	1790	1969	803	858	554									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16485	336	456	585	217	365	219	845	660	560	530	420	66	385	42	155	1040	71	1190	275	300	200	480	1423	1630	1887	735	808	605									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6632	100	127	209	101	174	102	266	286	232	184	198	20	194	20	70	339	34	458	100	118	100	175	635	786	757	366	268	213									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	691	40	29	38	16	13	20	34	21	17	8	34	4	20	1	15	60	0	55	13	6	11	17	39	55	25	14	50	36									
6	Число погашенных избирательных бюллетеней	9162	196	300	338	100	178	97	545	353	311	338	188	42	171	21	70	641	37	677	162	176	89	288	749	789	1105	355	490	356									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	691	40	29	38	16	13	20	34	21	17	8	34	4	20	1	15	60	0	55	13	6	11	17	39	55	25	14	50	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6607	100	127	209	101	174	102	266	286	232	184	198	20	194	20	70	339	34	458	100	118	100	175	635	786	732	366	268	213									
9	Число недействительных избирательных бюллетеней	333	6	6	11	4	7	2	14	5	8	12	10	0	4	1	0	17	0	31	71	8	6	8	29	28	13	8	17	7									
10	Число действительных избирательных бюллетеней	6965	134	150	236	113	180	120	286	302	241	180	222	24	210	20	85	382	34	482	42	116	105	184	645	813	744	372	301	242									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	6	8	10	4	6	4	15	12	10	10	8	2	7	2	4	18	2	20	5	5	3	10	25	30	35	15	13	11									
