Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Забайкальская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  530	УИК  531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544					
1	"Число избирателей, внесенных в списки"	15982	2413	2265	2294	1444	778	1104	948	1320	977	590	61	99	526	513	650					
2	"Число бюллетеней, полученных участковыми комиссиями"	17146	2381	2236	2199	1449	897	1294	1098	1605	1229	580	63	98	530	552	935					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4908	753	653	426	271	216	208	175	708	335	228	43	48	260	239	345					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	828	14	10	158	37	20	57	42	128	140	35	14	3	32	23	115					
6	Число погашенных бюллетеней	11410	1614	1573	1615	1141	661	1029	881	769	754	317	6	47	238	290	475					
7	Число бюллетеней в переносных ящиках для голосования	828	14	10	158	37	20	57	42	128	140	35	14	3	32	23	115					
8	Число бюллетеней в стационарных ящиках для голосования	4906	753	653	426	271	216	208	175	708	333	228	43	48	260	239	345					
9	Число недействительных бюллетеней	98	9	10	6	6	4	9	5	17	12	3	2	0	7	4	4					
10	Число действительных бюллетеней	5636	758	653	578	302	232	256	212	819	461	260	55	51	285	258	456					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	398	40	40	40	25	20	35	25	45	19	19	15	15	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	68	5	4	1	1	2	0	4	41	4	1	0	0	0	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	8	6	5	0	0	0	4	1	0	1	0	0	0	3	0					
14	Число погашенных открепительных удостоверений	330	35	36	39	24	18	35	21	4	15	18	15	15	20	16	19					
15	Число открепительных удостоверений выданных ТИК	3	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	104	13	6	14	1	8	2	5	19	7	6	4	2	5	4	8					
		1.81%	1.69%	0.90%	2.39%	0.32%	3.38%	0.75%	2.30%	2.27%	1.47%	2.28%	7.01%	3.92%	1.71%	1.52%	1.73%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	126	20	7	16	3	3	6	11	43	4	2	1	1	0	2	7					
		2.19%	2.60%	1.05%	2.73%	0.97%	1.27%	2.26%	5.06%	5.14%	0.84%	0.76%	1.75%	1.96%	0.0%	0.76%	1.52%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	158	14	9	24	4	8	9	9	24	19	9	0	0	7	7	15					
		2.75%	1.82%	1.35%	4.10%	1.29%	3.38%	3.39%	4.14%	2.87%	4.01%	3.42%	0.0%	0.0%	2.39%	2.67%	3.26%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	190	32	30	22	10	4	5	13	46	14	4	0	0	1	0	9					
		3.31%	4.17%	4.52%	3.76%	3.24%	1.69%	1.88%	5.99%	5.50%	2.95%	1.52%	0.0%	0.0%	0.34%	0.0%	1.95%					
22	"5. ""За Русь Святую"""	25	4	2	3	0	0	1	3	4	2	0	0	0	1	2	3					
		0.43%	0.52%	0.30%	0.51%	0.0%	0.0%	0.37%	1.38%	0.47%	0.42%	0.0%	0.0%	0.0%	0.34%	0.76%	0.65%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	4	0	2	1	1	0	1	5	4	0	0	1	0	1	2					
		0.38%	0.52%	0.0%	0.34%	0.32%	0.42%	0.0%	0.46%	0.59%	0.84%	0.0%	0.0%	1.96%	0.0%	0.38%	0.43%					
24	"7. ""Новый курс - Автомобильная Россия"""	73	4	5	10	2	5	2	2	22	6	0	0	1	4	4	6					
		1.27%	0.52%	0.75%	1.71%	0.64%	2.11%	0.75%	0.92%	2.63%	1.26%	0.0%	0.0%	1.96%	1.36%	1.52%	1.30%					
25	"8. ""Народно-республиканская партия России"""	10	0	0	1	0	1	0	1	2	2	2	0	0	0	0	1					
		0.17%	0.0%	0.0%	0.17%	0.0%	0.42%	0.0%	0.46%	0.23%	0.42%	0.76%	0.0%	0.0%	0.0%	0.0%	0.21%					
26	"9. ""Российская экологическая партия ""Зеленые"""	40	4	6	7	0	0	1	0	13	2	0	0	0	3	0	4					
		0.69%	0.52%	0.90%	1.19%	0.0%	0.0%	0.37%	0.0%	1.55%	0.42%	0.0%	0.0%	0.0%	1.02%	0.0%	0.86%					
27	"10. ""Аграрная партия России"""	423	42	38	19	40	28	44	9	25	25	42	6	0	51	12	42					
		7.37%	5.47%	5.73%	3.25%	12.98%	11.86%	16.60%	4.14%	2.99%	5.28%	15.96%	10.52%	0.0%	17.46%	4.58%	9.13%					
28	"11. ""Истинные патриоты России"""	19	2	1	0	1	0	0	0	10	3	0	0	0	0	1	1					
		0.33%	0.26%	0.15%	0.0%	0.32%	0.0%	0.0%	0.0%	1.19%	0.63%	0.0%	0.0%	0.0%	0.0%	0.38%	0.21%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	66	14	5	7	4	4	4	7	6	5	4	0	2	3	1	0					
		1.15%	1.82%	0.75%	1.19%	1.29%	1.69%	1.50%	3.22%	0.71%	1.05%	1.52%	0.0%	3.92%	1.02%	0.38%	0.0%					
30	"13. ""Демократическая партия России"""	17	1	5	3	2	1	0	0	4	1	0	0	0	0	0	0					
		0.29%	0.13%	0.75%	0.51%	0.64%	0.42%	0.0%	0.0%	0.47%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
