Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Староюрьевская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541					
1	"Число избирателей, внесенных в списки"	12892	500	195	120	729	904	320	260	253	232	238	361	433	154	516	428	360	255	540	284	80	257	131	650	946	998	1002	856	890					
2	"Число бюллетеней, полученных участковыми комиссиями"	13450	500	190	120	740	890	320	270	255	230	235	445	920	345	510	430	350	255	530	285	80	260	130	650	930	960	960	840	820					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6705	296	117	66	334	419	158	118	139	123	124	117	382	142	259	210	144	152	274	196	56	135	81	342	473	486	552	414	396					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1375	27	38	28	131	95	77	83	48	54	46	24	51	12	103	114	67	49	40	15	8	44	11	32	33	33	62	22	28					
6	Число погашенных бюллетеней	5370	177	35	26	275	376	85	69	68	53	65	304	487	191	148	106	139	54	216	74	16	81	38	276	424	441	346	404	396					
7	Число бюллетеней в переносных ящиках для голосования	1375	27	38	28	131	95	77	83	48	54	46	24	51	12	103	114	67	49	40	15	8	44	11	32	33	33	62	22	28					
8	Число бюллетеней в стационарных ящиках для голосования	6705	296	117	66	334	419	158	118	139	123	124	117	382	142	259	210	144	152	274	196	56	135	81	342	473	486	552	414	396					
9	Число недействительных бюллетеней	284	23	10	0	21	22	5	7	7	2	11	12	18	17	24	14	3	10	7	15	0	8	0	9	6	6	2	16	9					
10	Число действительных бюллетеней	7796	300	145	94	444	492	230	194	180	175	159	129	415	137	338	310	208	191	307	196	64	171	92	365	500	513	612	420	415					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	149	5	5	3	5	8	5	5	5	5	5	5	8	3	5	5	5	3	5	3	3	3	3	7	8	8	8	8	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	8	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1					
14	Число погашенных открепительных удостоверений	142	5	5	3	5	8	5	5	5	5	5	5	8	3	5	5	5	3	5	2	3	3	3	7	8	8	3	7	8					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	187	6	2	6	7	16	11	5	5	2	18	5	1	2	4	20	3	6	11	4	0	0	3	8	6	13	12	1	10					
		2.31%	1.85%	1.29%	6.38%	1.50%	3.11%	4.68%	2.48%	2.67%	1.12%	10.58%	3.54%	0.23%	1.29%	1.10%	6.17%	1.42%	2.98%	3.50%	1.89%	0.0%	0.0%	3.26%	2.13%	1.18%	2.50%	1.95%	0.22%	2.35%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	60	3	5	0	1	1	2	2	2	0	4	3	2	0	1	2	1	0	1	0	0	0	0	12	4	6	4	1	3					
		0.74%	0.92%	3.22%	0.0%	0.21%	0.19%	0.85%	0.99%	1.06%	0.0%	2.35%	2.12%	0.46%	0.0%	0.27%	0.61%	0.47%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	3.20%	0.79%	1.15%	0.65%	0.22%	0.70%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	637	41	27	4	42	39	10	10	20	22	26	8	33	5	42	23	4	17	27	10	3	11	5	26	42	33	37	41	29					
		7.88%	12.69%	17.41%	4.25%	9.03%	7.58%	4.25%	4.97%	10.69%	12.42%	15.29%	5.67%	7.62%	3.24%	11.60%	7.09%	1.89%	8.45%	8.59%	4.73%	4.68%	6.14%	5.43%	6.95%	8.30%	6.35%	6.02%	9.40%	6.83%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	101	4	2	2	4	10	0	1	3	2	1	0	6	1	5	6	1	1	4	3	0	1	1	8	5	2	12	7	9					
		1.25%	1.23%	1.29%	2.12%	0.86%	1.94%	0.0%	0.49%	1.60%	1.12%	0.58%	0.0%	1.38%	0.64%	1.38%	1.85%	0.47%	0.49%	1.27%	1.42%	0.0%	0.55%	1.08%	2.13%	0.98%	0.38%	1.95%	1.60%	2.12%					
22	"5. ""За Русь Святую"""	60	3	2	0	4	0	1	2	3	0	2	5	4	4	0	7	4	2	3	1	0	1	1	1	0	5	3	2	0					
		0.74%	0.92%	1.29%	0.0%	0.86%	0.0%	0.42%	0.99%	1.60%	0.0%	1.17%	3.54%	0.92%	2.59%	0.0%	2.16%	1.89%	0.99%	0.95%	0.47%	0.0%	0.55%	1.08%	0.26%	0.0%	0.96%	0.48%	0.45%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	18	0	0	0	1	0	0	1	0	0	0	2	2	0	0	3	1	1	2	0	0	0	0	1	1	1	0	1	1					
		0.22%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	1.41%	0.46%	0.0%	0.0%	0.92%	0.47%	0.49%	0.63%	0.0%	0.0%	0.0%	0.0%	0.26%	0.19%	0.19%	0.0%	0.22%	0.23%					
24	"7. ""Новый курс - Автомобильная Россия"""	28	1	2	0	0	1	0	1	2	0	0	0	3	2	0	1	1	1	1	0	0	1	0	0	4	3	3	0	1					
		0.34%	0.30%	1.29%	0.0%	0.0%	0.19%	0.0%	0.49%	1.06%	0.0%	0.0%	0.0%	0.69%	1.29%	0.0%	0.30%	0.47%	0.49%	0.31%	0.0%	0.0%	0.55%	0.0%	0.0%	0.79%	0.57%	0.48%	0.0%	0.23%					
25	"8. ""Народно-республиканская партия России"""	18	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	1	0	1	3	0	2	0	0	5	0	0	1	0					
		0.22%	0.0%	0.0%	0.0%	0.21%	0.19%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.61%	0.47%	0.0%	0.31%	1.42%	0.0%	1.11%	0.0%	0.0%	0.98%	0.0%	0.0%	0.22%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	12	0	1	0	0	2	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	2	1	0					
		0.14%	0.0%	0.64%	0.0%	0.0%	0.38%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.27%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.19%	0.0%	0.32%	0.22%	0.0%					
27	"10. ""Аграрная партия России"""	868	43	10	7	51	72	49	13	8	17	11	22	71	31	33	37	8	11	33	10	27	11	3	41	67	62	61	26	33					
		10.74%	13.31%	6.45%	7.44%	10.96%	14.00%	20.85%	6.46%	4.27%	9.60%	6.47%	15.60%	16.39%	20.12%	9.11%	11.41%	3.79%	5.47%	10.50%	4.73%	42.18%	6.14%	3.26%	10.96%	13.24%	11.94%	9.93%	5.96%	7.78%					
28	"11. ""Истинные патриоты России"""	10	0	3	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0					
		0.12%	0.0%	1.93%	0.0%	0.43%	0.0%	0.0%	0.49%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	1.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	79	1	1	1	0	1	1	2	1	7	3	4	8	4	0	0	2	1	0	2	0	3	1	2	8	5	5	12	4					
		0.97%	0.30%	0.64%	1.06%	0.0%	0.19%	0.42%	0.99%	0.53%	3.95%	1.76%	2.83%	1.84%	2.59%	0.0%	0.0%	0.94%	0.49%	0.0%	0.94%	0.0%	1.67%	1.08%	0.53%	1.58%	0.96%	0.81%	2.75%	0.94%					
30	"13. ""Демократическая партия России"""	20	0	1	0	2	2	0	0	0	1	0	0	1	2	0	1	2	0	0	0	0	0	0	2	1	1	1	2	1					
		0.24%	0.0%	0.64%	0.0%	0.43%	0.38%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.23%	1.29%	0.0%	0.30%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.19%	0.19%	0.16%	0.45%	0.23%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	4	1	0	0	0	0	0	0	1	1	1	3	3					
		0.22%	0.0%	0.64%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	1.89%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.19%	0.16%	0.68%	0.70%					
32	"15. ""Партия СЛОН"""	12	0	0	0	1	0	0	2	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2					
		0.14%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.99%	0.53%	0.0%	0.0%	0.70%	0.23%	0.64%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.22%	0.47%					
33	"16. ""Родина"" (народно-патриотический союз)"""	528	34	7	10	28	33	6	10	15	7	15	4	52	7	18	17	5	9	22	17	6	3	0	31	36	40	33	31	32					
		6.53%	10.52%	4.51%	10.63%	6.02%	6.42%	2.55%	4.97%	8.02%	3.95%	8.82%	2.83%	12.00%	4.54%	4.97%	5.24%	2.36%	4.47%	7.00%	8.05%	9.37%	1.67%	0.0%	8.28%	7.11%	7.70%	5.37%	7.11%	7.54%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	29	2	3	1	0	0	6	0	0	0	2	1	1	0	0	1	0	0	3	2	0	2	0	0	3	0	1	0	1					
		0.35%	0.61%	1.93%	1.06%	0.0%	0.0%	2.55%	0.0%	0.0%	0.0%	1.17%	0.70%	0.23%	0.0%	0.0%	0.30%	0.0%	0.0%	0.95%	0.94%	0.0%	1.11%	0.0%	0.0%	0.59%	0.0%	0.16%	0.0%	0.23%					
35	"18. ""ЛДПР"""	748	39	15	4	37	47	20	24	25	21	14	8	30	23	15	15	20	16	34	27	9	22	11	31	43	47	53	53	45					
		9.25%	12.07%	9.67%	4.25%	7.95%	9.14%	8.51%	11.94%	13.36%	11.86%	8.23%	5.67%	6.92%	14.93%	4.14%	4.62%	9.47%	7.96%	10.82%	12.79%	14.06%	12.29%	11.95%	8.28%	8.49%	9.05%	8.63%	12.15%	10.61%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	136	7	5	3	6	0	7	5	1	1	1	1	11	2	2	16	4	3	2	7	2	4	0	3	9	10	11	10	3					
		1.68%	2.16%	3.22%	3.19%	1.29%	0.0%	2.97%	2.48%	0.53%	0.56%	0.58%	0.70%	2.54%	1.29%	0.55%	4.93%	1.89%	1.49%	0.63%	3.31%	3.12%	2.23%	0.0%	0.80%	1.77%	1.92%	1.79%	2.29%	0.70%					
37	"20. ""Политическая партия ""Единая Россия"""	2539	77	29	20	160	114	94	86	54	56	48	46	108	32	108	75	74	52	70	77	14	78	64	159	167	175	233	149	120					
		31.42%	23.83%	18.70%	21.27%	34.40%	22.17%	40.0%	42.78%	28.87%	31.63%	28.23%	32.62%	24.94%	20.77%	29.83%	23.14%	35.07%	25.87%	22.29%	36.49%	21.87%	43.57%	69.56%	42.51%	33.00%	33.71%	37.94%	34.17%	28.30%					
38	"21. ""Российская Конституционно-демократическая партия"""	11	0	1	2	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	2	0					
		0.13%	0.0%	0.64%	2.12%	0.21%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.45%	0.0%					
39	"22. ""Развитие предпринимательства"""	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	3	0					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.32%	0.68%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1422	34	23	33	76	131	20	22	29	34	10	13	70	18	96	77	65	68	68	31	2	21	1	29	91	81	118	60	101					
		17.59%	10.52%	14.83%	35.10%	16.34%	25.48%	8.51%	10.94%	15.50%	19.20%	5.88%	9.21%	16.16%	11.68%	26.51%	23.76%	30.80%	33.83%	21.65%	14.69%	3.12%	11.73%	1.08%	7.75%	17.98%	15.60%	19.21%	13.76%	23.82%					
																																			
41	Против всех	245	5	5	1	19	22	1	5	11	3	3	5	10	3	13	3	5	2	23	2	0	10	2	10	5	28	19	13	17					
		3.03%	1.54%	3.22%	1.06%	4.08%	4.28%	0.42%	2.48%	5.88%	1.69%	1.76%	3.54%	2.30%	1.94%	3.59%	0.92%	2.36%	0.99%	7.32%	0.94%	0.0%	5.58%	2.17%	2.67%	0.98%	5.39%	3.09%	2.98%	4.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
