Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Верхнедубровская поселковая									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №2569	УИК №2570					
1	"Число избирателей, внесенных в списки избирателей"	3715	1781	1934					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3750	1800	1950					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2201	1128	1073					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	90	23	67					
6	Число погашенных избирательных бюллетеней	1459	649	810					
7	Число избирательных бюллетеней в переносных ящиках для голосования	90	23	67					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2201	1128	1073					
9	Число недействительных избирательных бюллетеней	30	13	17					
10	Число действительных избирательных бюллетеней	2261	1138	1123					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	95	51	44					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	73	34	39					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	31	17	14					
14	Число погашенных неиспользованных открепительных удостоверений	22	17	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	2	3					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	30	16	14					
		1.31%	1.39%	1.23%					
19	2.Всероссийская политическая партия «Гражданская Сила»	83	42	41					
		3.62%	3.65%	3.60%					
20	3.Политическая партия «Демократическая партия России»	3	2	1					
		0.13%	0.17%	0.09%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	226	116	110					
		9.86%	10.08%	9.65%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	29	19	10					
		1.27%	1.65%	0.88%					
23	6.Политическая партия «Партия социальной справедливости»	3	2	1					
		0.13%	0.17%	0.09%					
24	7.Политическая партия «Либерально-демократическая партия России»	218	100	118					
		9.52%	8.69%	10.35%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	130	65	65					
		5.67%	5.65%	5.70%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	8	3	5					
		0.35%	0.26%	0.44%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1503	762	741					
		65.60%	66.20%	65.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	28	11	17					
		1.22%	0.96%	1.49%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
