Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Шекснинская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065					
1	"Число избирателей, внесенных в список избирателей"	25183	556	1732	2523	718	2752	2573	1983	1427	773	2130	463	63	109	293	133	171	156	292	79	219	80	432	58	74	991	106	347	327	254	1239	91	172	1595	272					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23660	500	1500	2210	650	2510	2400	1760	1260	710	2040	480	80	110	300	130	160	140	320	90	240	90	440	70	90	990	140	340	330	260	1180	90	210	1560	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15280	327	1132	1517	442	1753	1569	1133	620	452	1341	289	39	65	179	70	45	40	183	43	154	45	267	32	53	687	67	196	160	174	893	55	109	1030	119					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1860	20	40	126	13	51	16	41	132	65	51	108	19	34	41	18	83	79	73	30	41	19	37	15	8	90	21	30	125	40	144	15	49	91	95					
6	Число погашенных избирательных бюллетеней	6520	153	328	567	195	706	815	586	508	193	648	83	22	11	80	42	32	21	64	17	45	26	136	23	29	213	52	114	45	46	143	20	52	439	66					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1859	20	40	126	13	51	16	41	132	65	50	108	19	34	41	18	83	79	73	30	41	19	37	15	8	90	21	30	125	40	144	15	49	91	95					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15275	327	1132	1517	442	1748	1569	1133	620	452	1341	289	39	65	179	70	45	40	183	43	154	45	267	32	53	687	67	196	160	174	893	55	109	1030	119					
9	Число недействительных избирательных бюллетеней	327	5	29	30	4	30	21	21	16	11	37	4	0	5	1	5	6	2	8	1	3	3	16	2	2	6	1	4	6	2	14	2	2	25	3					
10	Число действительных избирательных бюллетеней	16807	342	1143	1613	451	1769	1564	1153	736	506	1354	393	58	94	219	83	122	117	248	72	192	61	288	45	59	771	87	222	279	212	1023	68	156	1096	211					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1170	20	50	60	50	50	65	40	30	10	50	35	10	10	40	15	5	15	35	15	80	15	35	5	10	70	20	10	20	20	83	15	50	99	33					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1057	19	41	57	36	50	65	34	20	10	46	35	8	9	30	15	5	15	22	12	73	15	35	1	10	64	20	10	20	20	82	4	50	91	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	574	20	39	66	25	39	32	22	36	14	25	28	3	8	13	3	6	8	12	9	23	4	6	3	5	21	6	7	7	11	35	4	7	20	7					
14	Число погашенных неиспользованных открепительных удостоверений	113	1	9	3	14	0	0	6	10	0	4	0	2	1	10	0	0	0	13	3	7	0	0	4	0	6	0	0	0	0	1	11	0	8	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	0	1	3	1	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	15	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4447	76	348	507	142	629	469	331	134	165	392	89	11	17	64	23	33	23	57	20	50	14	68	8	8	195	24	58	41	46	121	11	33	186	54					
