Выборы Президента Российской Федерации																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Саратов, Заводская"																																																																																		
																																																																																		
Итоги голосования 																																																																																		
																																																																																		
		Сумма	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278					
1	"Число избирателей, внесенных в список"	152905	2030	2016	2100	1876	132	1458	1386	1424	2291	2318	701	2141	2139	2080	2008	2490	2320	2382	2248	2533	2493	2678	2213	2223	2282	139	2003	2105	814	2437	2262	2519	39	576	2442	2449	2485	1804	1316	1376	2598	2608	139	2255	2118	2039	2112	2552	2811	2447	2023	2310	2184	2816	2890	2524	2992	2722	174	2871	2514	2639	2809	195	2924	2964	2881	1909	2601	2744	2251	1615	1197	1823	1926					
2	Число полученных избирательных бюллетеней	150619	2000	2000	2000	1800	133	1400	1300	1300	2300	2300	700	2000	2300	2100	2200	2400	2300	2300	2200	2400	2400	2700	2100	2200	2100	139	1900	2100	800	2500	2200	2500	39	500	2400	2600	2400	1800	1300	1300	2600	2500	139	2300	2100	1900	2000	2600	2900	2400	2100	2300	2300	2800	2900	2500	2400	2700	174	2700	2600	2600	2700	195	2900	2900	2900	1900	2600	2700	2500	1500	1200	1800	1900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	82588	1039	1124	1027	910	132	632	893	791	1196	1172	310	1310	1477	1665	1339	1369	1226	1311	1231	1513	1386	1360	1333	1265	1278	139	1053	1137	509	1213	1141	1291	39	303	1410	1504	1285	993	572	721	1224	1398	139	1177	1262	1126	1167	1480	1305	1311	1153	1324	946	1285	1422	1202	1785	1342	174	1532	1263	1301	1351	194	1491	1659	1477	942	1400	1380	1325	1022	620	951	859					
5	"Число избирательных бюллетеней, выданных вне помещения"	4604	41	42	62	49	0	111	63	47	67	72	65	32	148	28	139	59	88	45	32	34	47	67	37	64	25	0	57	78	79	78	63	45	0	59	135	51	46	43	100	40	230	48	0	24	49	45	46	123	74	45	51	24	98	94	48	87	89	79	0	46	86	65	49	0	56	121	66	57	66	61	107	19	29	73	111					
6	Число погашенных избирательных бюллетеней	63427	920	834	911	841	1	657	344	462	1037	1056	325	658	675	407	722	972	986	944	937	853	967	1273	730	871	797	0	790	885	212	1209	996	1164	0	138	855	1045	1069	764	628	539	1146	1054	0	1099	789	729	787	997	1521	1044	896	952	1256	1421	1430	1211	526	1279	0	1122	1251	1234	1300	1	1353	1120	1357	901	1134	1259	1068	459	551	776	930					
7	Число избирательных бюллетеней в переносных ящиках	4603	41	42	62	49	0	111	62	47	67	72	65	32	148	28	139	59	88	45	32	34	47	67	37	64	25	0	57	78	79	78	63	45	0	59	135	51	46	43	100	40	230	48	0	24	49	45	46	123	74	45	51	24	98	94	48	87	89	79	0	46	86	65	49	0	56	121	66	57	66	61	107	19	29	73	111					
8	Число бюллетеней в стационарных ящиках для голосования	82374	1039	1124	1027	909	132	632	893	791	1196	1172	310	1308	1477	1665	1335	1369	1225	1311	1228	1513	1386	1360	1332	1264	1257	139	1012	1137	509	1213	1141	1291	39	303	1410	1504	1285	993	572	719	1223	1398	139	1177	1213	1125	1167	1480	1304	1311	1102	1324	946	1285	1422	1202	1785	1342	174	1532	1237	1300	1351	194	1489	1659	1477	942	1400	1380	1324	1022	620	949	857					
9	Число недействительных избирательных бюллетеней	821	6	4	7	4	0	5	4	3	16	10	4	3	0	10	6	18	9	4	11	13	8	15	22	10	8	3	9	11	5	11	8	11	1	2	16	0	58	24	9	5	47	17	2	12	17	7	9	15	18	6	9	10	18	13	19	11	13	3	0	28	16	13	12	9	15	4	10	10	38	12	8	9	3	10	5					
10	Число действительных избирательных бюллетеней	86156	1074	1162	1082	954	132	738	951	835	1247	1234	371	1337	1625	1683	1468	1410	1304	1352	1249	1534	1425	1412	1347	1318	1274	136	1060	1204	583	1280	1196	1325	38	360	1529	1555	1273	1012	663	754	1406	1429	137	1189	1245	1163	1204	1588	1360	1350	1144	1338	1026	1366	1451	1278	1861	1418	174	1550	1307	1352	1388	185	1530	1776	1533	989	1428	1429	1423	1032	646	1012	963					
