Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Шелаболихинская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829					
1	"Число избирателей, внесенных в список"	12067	1631	1824	815	431	988	371	899	262	560	676	480	461	1057	1002	281	329					
2	Число полученных избирательных бюллетеней	11936	1620	1839	813	431	968	367	879	255	550	673	473	450	1042	977	274	325					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8158	1054	1299	564	267	642	265	679	219	396	442	322	307	633	679	181	209					
5	"Число избирательных бюллетеней, выданных вне помещения"	548	70	58	21	40	75	11	45	18	20	39	42	22	31	38	11	7					
6	Число погашенных избирательных бюллетеней	3230	496	482	228	124	251	91	155	18	134	192	109	121	378	260	82	109					
7	Число избирательных бюллетеней в переносных ящиках	548	70	58	21	40	75	11	45	18	20	39	42	22	31	38	11	7					
8	Число бюллетеней в стационарных ящиках для голосования	8150	1053	1298	564	267	642	265	676	219	396	442	322	307	631	678	181	209					
9	Число недействительных избирательных бюллетеней	114	13	2	7	2	9	4	13	5	7	9	7	2	6	20	1	7					
10	Число действительных избирательных бюллетеней	8584	1110	1354	578	305	708	272	708	232	409	472	357	327	656	696	191	209					
11	Число полученных открепительных  удостоверений	200	20	41	13	10	14	6	14	6	10	10	10	6	14	14	6	6					
12	Число выданных открепительных удостоверений	45	5	29	0	1	2	3	0	0	2	1	0	0	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	4	4	1	3	4	3	2	3	3	2	4	2	0	8	3	1					
14	Число неиспользованных открепительных удостоверений	155	15	12	13	9	12	3	14	6	8	9	10	6	13	14	6	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	243	39	32	12	4	19	8	20	4	11	8	15	7	24	28	6	6					
		2.79%	3.47%	2.36%	2.05%	1.30%	2.65%	2.90%	2.77%	1.69%	2.64%	1.66%	4.12%	2.13%	3.63%	3.91%	3.12%	2.78%					
19	. Малышкин Олег Александрович	326	43	46	32	14	27	6	21	19	25	11	16	8	16	19	8	15					
		3.75%	3.83%	3.39%	5.47%	4.56%	3.77%	2.17%	2.91%	8.02%	6.01%	2.29%	4.40%	2.43%	2.42%	2.65%	4.17%	6.94%					
20	. Миронов Сергей Михайлович	60	9	5	10	3	5	2	5	1	1	8	1	2	2	2	2	2					
		0.69%	0.80%	0.37%	1.71%	0.98%	0.70%	0.72%	0.69%	0.42%	0.24%	1.66%	0.27%	0.61%	0.30%	0.28%	1.04%	0.93%					
21	. Путин Владимир Владимирович	5825	788	999	418	239	411	168	433	174	258	352	227	245	395	472	105	141					
		66.97%	70.17%	73.67%	71.45%	77.85%	57.32%	60.87%	60.06%	73.42%	62.02%	73.18%	62.36%	74.47%	59.67%	65.92%	54.69%	65.28%					
22	. Хакамада Ирина Муцуовна	126	22	25	4	5	8	2	13	6	5	1	6	5	11	6	4	3					
		1.45%	1.96%	1.84%	0.68%	1.63%	1.12%	0.72%	1.80%	2.53%	1.20%	0.21%	1.65%	1.52%	1.66%	0.84%	2.08%	1.39%					
23	. Харитонов Николай Михайлович	1903	196	234	98	35	227	84	208	25	104	88	86	57	203	154	65	39					
		21.88%	17.45%	17.26%	16.75%	11.40%	31.66%	30.43%	28.85%	10.55%	25.00%	18.30%	23.63%	17.33%	30.66%	21.51%	33.85%	18.06%					
																							
24	Против всех	101	13	13	4	5	11	2	8	3	5	4	6	3	5	15	1	3					
		1.16%	1.16%	0.96%	0.68%	1.63%	1.53%	0.72%	1.11%	1.27%	1.20%	0.83%	1.65%	0.91%	0.76%	2.09%	0.52%	1.39%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
