Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Березовская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437					
1	"Число избирателей, внесенных в список избирателей"	14031	464	425	580	1126	1927	2098	358	237	251	115	168	98	241	532	186	342	485	146	112	137	189	131	240	297	118	99	418	141	273	127	479	209	228	163	280	202	409					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12100	400	370	490	965	1640	1770	305	205	215	100	145	95	210	455	165	295	425	135	105	120	165	120	205	275	110	90	350	130	235	110	385	185	205	145	235	185	360					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6976	203	189	309	531	1004	1147	214	112	124	47	92	55	132	241	59	145	250	57	68	48	76	73	116	154	62	55	234	74	78	49	260	121	122	71	143	107	154					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1208	32	38	24	42	54	67	46	24	23	22	10	9	6	63	47	41	37	41	10	36	46	17	23	46	14	5	25	19	42	26	64	23	13	30	23	12	108					
6	Число погашенных избирательных бюллетеней	3916	165	143	157	392	582	556	45	69	68	31	43	31	72	151	59	109	138	37	27	36	43	30	66	75	34	30	91	37	115	35	61	41	70	44	69	66	98					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1208	32	38	24	42	54	67	46	24	23	22	10	9	6	63	47	41	37	41	10	36	46	17	23	46	14	5	25	19	42	26	64	23	13	30	23	12	108					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6976	203	189	309	531	1004	1147	214	112	124	47	92	55	132	241	59	145	250	57	68	48	76	73	116	154	62	55	234	74	78	49	260	121	122	71	143	107	154					
9	Число недействительных избирательных бюллетеней	123	0	3	4	8	15	18	5	2	6	0	0	5	4	4	2	5	2	2	1	3	2	0	2	3	0	0	5	0	1	2	7	1	4	2	1	2	2					
10	Число действительных избирательных бюллетеней	8061	235	224	329	565	1043	1196	255	134	141	69	102	59	134	300	104	181	285	96	77	81	120	90	137	197	76	60	254	93	119	73	317	143	131	99	165	117	260					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	198	5	5	6	10	28	27	3	2	8	2	3	2	3	6	2	4	10	2	2	3	3	3	5	10	2	2	5	2	4	2	5	3	3	3	4	4	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	141	5	5	5	8	28	25	3	1	6	2	2	1	1	2	1	1	9	2	2	0	1	0	2	10	2	0	4	1	2	0	3	1	1	0	0	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	0	1	5	6	10	7	5	2	1	1	1	0	1	1	1	1	5	1	0	1	2	0	1	2	2	1	2	1	1	3	3	1	0	0	3	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	57	0	0	1	2	0	2	0	1	2	0	1	1	2	4	1	3	1	0	0	3	2	3	3	0	0	2	1	1	2	2	2	2	2	3	4	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
