Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
"Наименование Избирательной комиссии:    Оренбург, Центральная"																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124					
1	"Число избирателей, внесенных в списки"	79471	1432	1972	2678	366	1779	2373	2521	1996	2152	1917	2045	3040	2868	1994	1707	2377	2709	1965	2372	2049	2218	2766	2077	3027	2290	2400	2596	1643	1965	2060	1969	2415	2617	2561	2325	1203	129	425	230	107	93	43					
2	"Число бюллетеней, полученных участковыми комиссиями"	71722	1300	1800	2400	320	1750	2100	2250	1750	1900	1650	1800	2700	2500	1800	1350	2200	2400	1800	2000	1852	2050	2600	1800	2700	2100	2400	2700	1500	1750	1800	1700	2100	2400	2400	2000	1050	105	400	250	150	100	45					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	33401	600	692	717	162	620	922	929	947	932	1011	941	1286	894	947	773	948	936	688	862	652	1023	993	1005	1414	778	880	1194	674	963	1086	893	1135	1228	1276	1092	588	102	288	115	107	70	38					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1748	23	52	66	7	65	35	23	70	55	51	53	131	31	61	10	27	27	96	50	46	24	22	29	37	53	15	68	45	47	33	24	33	40	47	46	22	0	69	104	0	11	0					
6	Число погашенных бюллетеней	36567	677	1056	1616	151	1065	1143	1296	733	913	588	803	1283	1575	792	567	1225	1437	1016	1088	1154	1003	1585	766	1249	1269	1505	1438	781	740	681	783	932	1132	1077	862	440	3	43	31	43	19	7					
7	Число бюллетеней в переносных ящиках для голосования	1748	23	52	66	7	65	35	23	70	55	51	53	131	31	61	10	27	27	96	50	46	24	22	29	37	53	15	68	45	47	33	24	33	40	47	46	22	0	69	104	0	11	0					
8	Число бюллетеней в стационарных ящиках для голосования	33391	600	692	716	162	620	922	927	947	932	1011	938	1286	893	947	773	948	933	688	862	652	1023	993	1005	1414	778	880	1194	674	963	1086	893	1135	1228	1276	1092	588	102	288	115	107	70	38					
9	Число недействительных бюллетеней	698	12	16	21	6	45	22	11	14	24	7	12	11	14	9	3	8	35	6	27	14	46	26	27	17	18	16	18	13	13	13	18	10	17	31	28	27	5	17	6	3	11	1					
10	Число действительных бюллетеней	34441	611	728	761	163	640	935	939	1003	963	1055	979	1406	910	999	780	967	925	778	885	684	1001	989	1007	1434	813	879	1244	706	997	1106	899	1158	1251	1292	1110	583	97	340	213	104	70	37					
