Выборы Президента Российской Федерации																																																																																																				
Дата голосования: 02.03.2008																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Калининская N11																																																																																																				
																																																																																																				
Сводная таблица результатов выборов																																																																																																				
																																																																																																				
	Число участковых избирательных комиссий	93																																																																																																		
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	93																																																																																																		
																																																																																																				
		Сумма	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421					
1	"Число избирателей, включенных в списки избирателей"	179581	1714	1606	2558	2148	2070	1990	1939	1580	2021	1856	2070	1799	2053	1885	2307	1798	1854	1847	2273	1857	1869	1715	1875	2209	2547	2189	2045	2186	2370	2023	2003	2088	1680	1767	1766	1715	1775	2684	2412	2209	1897	1650	1605	2186	1280	2385	2342	1882	1955	1956	1518	1736	1995	1806	2079	1936	1996	1991	1811	2202	2057	2130	1910	2010	2015	1599	1789	1948	1744	1976	1835	1988	1690	2218	1849	1614	1805	1847	1567	1555	1815	1775	1506	1909	1888	1733	1794	1620	2240	2418	1854	1682	1641					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	173000	1500	1500	2500	2000	2000	2000	2000	1500	2000	2000	2000	1500	2000	2000	2500	1500	1600	1600	2500	1700	1600	1500	1600	2000	2500	2000	2000	2500	2500	2000	2000	2000	1600	1600	1600	1600	1600	2000	2000	2000	1600	1500	1500	2000	1300	2500	2500	2000	2000	2000	1500	1500	2000	1600	2000	2000	2000	2000	1600	2000	2000	2000	1700	2000	2000	1500	2000	2000	1600	2000	2100	2000	2000	2000	2000	1500	1600	2000	1500	1500	1500	2000	1500	2000	1600	1600	1500	1500	2000	2500	2000	1500	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	124530	1155	1114	2053	1426	1383	1338	1491	1096	1454	1308	1370	1251	1164	1163	1716	1116	1124	1211	1634	1305	1192	1054	1101	1573	1552	1435	1482	1475	1581	1256	1236	1290	1249	1198	1214	1239	1299	1651	1474	1545	1260	1202	1072	1460	935	1622	2207	1337	1304	1490	1079	1161	1387	1282	1407	1315	1449	1578	1205	1596	1459	1379	1358	1495	1446	1239	1286	1235	1203	1411	1533	1455	1198	1276	1412	1208	1483	1440	977	1090	1146	1463	1142	1279	1362	1222	1121	924	1507	1943	1193	1211	1118					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	5696	39	8	21	94	18	41	36	24	77	204	33	79	26	50	139	49	52	26	55	51	50	27	24	42	35	66	66	57	119	46	49	51	60	70	49	50	80	45	32	46	88	107	85	76	47	80	135	62	56	76	77	50	78	48	88	41	78	56	79	58	90	56	40	44	52	54	57	79	26	19	23	52	23	38	70	31	69	112	67	103	134	30	170	94	32	135	43	53	46	42	36	49	76					
6	Число погашенных избирательных бюллетеней	42774	306	378	426	480	599	621	473	380	469	488	597	170	810	787	645	335	424	363	811	344	358	419	475	385	913	499	452	968	800	698	715	659	291	332	337	311	221	304	494	409	252	191	343	464	318	798	158	601	640	434	344	289	535	270	505	644	473	366	316	346	451	565	302	461	502	207	657	686	371	570	544	493	779	686	518	261	48	448	456	307	220	507	188	627	206	243	336	523	447	515	771	240	406					
