Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																											
Дата голосования: 18.09.2016																																																																											
																																																																											
Наименование Избирательной комиссии:    Зианчуринская																																																																											
																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																											
																																																																											
		Сумма	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22167	845	114	121	336	308	119	266	58	245	368	80	66	167	231	158	334	388	184	189	194	216	156	1091	1133	1009	501	294	1093	1002	103	556	981	220	520	85	49	379	181	123	476	698	530	132	562	203	453	168	71	686	74	131	78	137	921	81	73	398	505	157	429	217	315	75	134									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22550	863	112	120	335	316	117	267	59	255	372	79	66	170	232	157	346	402	188	194	195	217	160	1110	1170	1028	505	298	1117	976	100	562	997	227	528	97	50	386	182	125	497	722	534	134	570	207	462	175	76	696	77	135	79	143	940	81	72	408	505	160	452	218	316	74	137									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12001	475	80	76	180	195	71	127	17	126	179	52	60	106	126	94	191	247	106	126	138	116	88	483	562	443	249	138	594	435	56	265	427	184	286	23	36	226	140	72	335	424	304	108	327	135	223	106	50	341	43	83	53	105	445	49	54	206	267	92	247	141	173	45	50									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	902	21	0	2	7	23	0	0	2	2	13	9	0	6	10	0	12	20	11	7	13	14	4	36	18	41	2	19	8	15	2	10	25	0	19	9	0	14	0	4	45	29	14	0	26	13	21	9	0	13	9	4	2	5	241	1	3	5	30	2	10	3	8	0	11									
6	Число погашенных избирательных бюллетеней	9647	367	32	42	148	98	46	140	40	127	180	18	6	58	96	63	143	135	71	61	44	87	68	591	590	544	254	141	515	526	42	287	545	43	223	65	14	146	42	49	117	269	216	26	217	59	218	60	26	342	25	48	24	33	254	31	15	197	208	66	195	74	135	29	76									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	902	21	0	2	7	23	0	0	2	2	13	9	0	6	10	0	12	20	11	7	13	14	4	36	18	41	2	19	8	15	2	10	25	0	19	9	0	14	0	4	45	29	14	0	26	13	21	9	0	13	9	4	2	5	241	1	3	5	30	2	10	3	8	0	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11975	475	80	76	180	195	71	127	17	126	179	52	60	106	126	94	191	247	106	126	125	116	88	483	562	443	249	138	586	431	56	265	427	184	286	23	36	226	140	72	335	424	304	108	326	135	223	106	50	341	43	83	53	105	445	49	54	206	267	92	247	141	173	45	50									
9	Число недействительных избирательных бюллетеней	471	9	0	4	11	1	0	8	0	9	10	3	0	3	4	7	0	17	7	3	3	7	12	25	5	8	9	8	24	25	5	11	25	1	10	0	1	11	4	1	0	16	9	2	20	1	13	3	3	22	2	3	0	0	28	2	3	11	10	10	3	8	6	5	0									
10	Число действительных избирательных бюллетеней	12406	487	80	74	176	217	71	119	19	119	182	58	60	109	132	87	203	250	110	130	135	123	80	494	575	476	242	149	570	421	53	264	427	183	295	32	35	229	136	75	380	437	309	106	332	147	231	112	47	332	50	84	55	110	658	48	54	200	287	84	254	136	175	40	61									
