Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Краснозоренская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5531	1521	412	218	525	441	359	308	192	224	349	479	148	208	147									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5560	1500	420	220	530	450	375	315	190	225	355	485	150	195	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2963	682	255	120	285	237	175	170	84	111	257	346	77	94	70									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	999	81	90	72	67	90	125	78	48	53	42	62	69	77	45									
6	Число погашенных избирательных бюллетеней	1598	737	75	28	178	123	75	67	58	61	56	77	4	24	35									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	999	81	90	72	67	90	125	78	48	53	42	62	69	77	45									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2963	682	255	120	285	237	175	170	84	111	257	346	77	94	70									
9	Число недействительных избирательных бюллетеней	88	12	19	15	7	10	9	4	2	5	0	2	0	3	0									
10	Число действительных избирательных бюллетеней	3874	751	326	177	345	317	291	244	130	159	299	406	146	168	115									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	106	30	5	5	10	8	8	8	5	5	5	6	5	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	47	14	4	0	5	2	5	3	1	4	2	4	2	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	5	2	2	4	2	2	1	3	3	6	3	2	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	59	16	1	5	5	6	3	5	4	1	3	2	3	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	1	6	1	0	0	0	3	3	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	21	9	0	0	0	3	2	4	0	0	0	1	0	2	0									
		0.53%	1.18%	0.00%	0.00%	0.00%	0.92%	0.67%	1.61%	0.00%	0.00%	0.00%	0.25%	0.00%	1.17%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	99	28	4	6	15	7	5	6	1	3	3	12	5	2	2									
		2.50%	3.67%	1.16%	3.13%	4.26%	2.14%	1.67%	2.42%	0.76%	1.83%	1.00%	2.94%	3.42%	1.17%	1.74%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	38	7	0	3	4	7	0	1	2	1	3	4	3	3	0									
		0.96%	0.92%	0.00%	1.56%	1.14%	2.14%	0.00%	0.40%	1.52%	0.61%	1.00%	0.98%	2.05%	1.75%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2503	413	272	129	203	205	200	156	84	81	190	276	116	100	78									
		63.18%	54.13%	78.84%	67.19%	57.67%	62.69%	66.67%	62.90%	63.64%	49.39%	63.55%	67.65%	79.45%	58.48%	67.83%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	3	0	1	3	2	3	3	0	1	1	2	0	1	0									
		0.50%	0.39%	0.00%	0.52%	0.85%	0.61%	1.00%	1.21%	0.00%	0.61%	0.33%	0.49%	0.00%	0.58%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	0	2	2	0	0	0	0	0	0	0	0	0	2									
		0.18%	0.13%	0.00%	1.04%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.74%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	604	154	21	22	58	39	47	35	15	43	67	31	9	34	29									
		15.24%	20.18%	6.09%	11.46%	16.48%	11.93%	15.67%	14.11%	11.36%	26.22%	22.41%	7.60%	6.16%	19.88%	25.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	2	0	0	2	0	0	3	0	0	1	0	0	0	1									
		0.23%	0.26%	0.00%	0.00%	0.57%	0.00%	0.00%	1.21%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.87%									
