Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва										
Дата голосования: 04.12.2011										
										
Наименование Избирательной комиссии:    Мамоновская										
										
Сводная таблица результатов выборов										
										
		Сумма	УИК №587	УИК №588	УИК №589					
1	"Число избирателей, внесенных в список избирателей"	6479	2174	2247	2058					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6000	2000	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5327	1845	1722	1760					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	86	19	27	40					
6	Число погашенных избирательных бюллетеней	587	136	251	200					
7	Число избирательных бюллетеней в переносных ящиках для голосования	86	19	27	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5298	1845	1693	1760					
9	Число недействительных избирательных бюллетеней	42	15	26	1					
10	Число действительных избирательных бюллетеней	5342	1849	1694	1799					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	79	14	54	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	79	14	54	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	36	10	9	17					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	114	51	49	14					
		2.12%	2.74%	2.85%	0.78%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	340	42	198	100					
		6.32%	2.25%	11.51%	5.56%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	36	13	18	5					
		0.67%	0.70%	1.05%	0.28%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	686	117	308	261					
		12.74%	6.28%	17.91%	14.50%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	76	34	27	15					
		1.41%	1.82%	1.57%	0.83%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4064	1586	1079	1399					
		75.48%	85.09%	62.73%	77.72%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	26	6	15	5					
		0.48%	0.32%	0.87%	0.28%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
