Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Черногорская городская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153					
1	"Число избирателей, внесенных в списки избирателей"	52788	1054	1025	1100	1156	1979	1752	470	1313	922	1067	1231	2306	1261	932	1220	1091	1479	853	1255	1035	1934	1201	840	1918	1967	1997	1945	1216	1913	830	2042	1292	817	2111	1386	531	2147	765	1435					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	51100	930	1020	1080	1090	2060	1700	490	1300	870	1090	1190	2300	1260	940	1020	1030	1460	830	1100	1030	1920	1100	880	1850	1940	1910	2000	1150	1920	810	1930	1250	760	2040	1360	470	1870	750	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24061	470	474	495	435	737	708	222	541	511	404	516	1052	588	440	438	525	628	406	491	583	889	560	278	895	894	964	934	636	954	414	921	605	403	1067	707	223	1017	328	708					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3185	122	112	64	100	253	189	30	63	28	101	91	101	65	90	157	53	89	35	192	51	88	45	34	85	92	38	40	40	62	28	91	33	80	54	38	39	83	203	26					
6	Число погашенных избирательных бюллетеней	23854	338	434	521	555	1070	803	238	696	331	585	583	1147	607	410	425	452	743	389	417	396	943	495	568	870	954	908	1026	474	904	368	918	612	277	919	615	208	770	219	666					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3185	122	112	64	100	253	189	30	63	28	101	91	101	65	90	157	53	89	35	192	51	88	45	34	85	92	38	40	40	62	28	91	33	80	54	38	39	83	203	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24061	470	474	495	435	737	708	222	541	511	404	516	1052	588	440	438	525	628	406	491	583	889	560	278	895	894	964	934	636	954	414	921	605	403	1067	707	223	1017	328	708					
9	Число недействительных избирательных бюллетеней	170	6	5	8	0	3	3	2	6	0	1	2	6	3	2	5	7	5	5	4	4	8	6	4	9	7	4	8	3	4	1	4	5	3	8	4	1	8	2	4					
10	Число действительных избирательных бюллетеней	27076	586	581	551	535	987	894	250	598	539	504	605	1147	650	528	590	571	712	436	679	630	969	599	308	971	979	998	966	673	1012	441	1008	633	480	1113	741	261	1092	529	730					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	559	8	10	10	10	15	15	5	10	10	10	10	20	12	10	10	10	20	6	6	14	20	20	10	20	20	30	20	15	20	10	19	17	15	30	15	5	20	10	22					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	434	8	10	4	1	15	13	0	8	5	2	8	17	11	2	8	10	16	6	5	12	12	11	4	15	16	28	20	15	15	7	19	15	10	30	15	3	15	5	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	368	14	8	4	9	12	6	4	6	2	8	11	9	7	7	13	20	5	4	12	6	14	15	10	9	20	5	10	10	9	8	10	4	29	14	4	6	10	5	9					
14	Число погашенных неиспользованных открепительных удостоверений	125	0	0	6	9	0	2	5	2	5	8	2	3	1	8	2	0	4	0	1	2	8	9	6	5	4	2	0	0	5	3	0	2	5	0	0	2	5	5	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	141	3	3	4	4	6	1	3	6	0	5	4	2	2	4	2	1	6	2	5	1	4	6	1	6	7	2	4	4	6	2	1	4	3	5	4	1	10	1	6					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	1.Политическая партия «Аграрная партия России»	498	8	12	11	7	9	12	2	21	5	12	16	26	15	5	16	6	13	10	7	19	19	9	6	20	19	19	24	12	19	4	18	14	12	13	13	6	17	11	11					
		1.83%	1.35%	2.05%	1.97%	1.31%	0.91%	1.34%	0.79%	3.48%	0.93%	2.38%	2.64%	2.25%	2.30%	0.94%	2.69%	1.04%	1.81%	2.27%	1.02%	2.99%	1.94%	1.49%	1.92%	2.04%	1.93%	1.90%	2.46%	1.78%	1.87%	0.90%	1.78%	2.19%	2.48%	1.16%	1.74%	2.29%	1.55%	2.07%	1.50%					
19	2.Всероссийская политическая партия «Гражданская Сила»	246	1	4	1	2	2	5	2	9	4	0	4	4	5	7	4	7	2	2	0	6	8	7	1	6	11	15	15	17	16	5	6	2	3	17	13	1	17	10	5					
		0.90%	0.17%	0.68%	0.18%	0.37%	0.20%	0.56%	0.79%	1.49%	0.74%	0.00%	0.66%	0.35%	0.77%	1.32%	0.67%	1.21%	0.28%	0.45%	0.00%	0.95%	0.82%	1.16%	0.32%	0.61%	1.12%	1.50%	1.54%	2.51%	1.57%	1.13%	0.59%	0.31%	0.62%	1.52%	1.74%	0.38%	1.55%	1.88%	0.68%					
20	3.Политическая партия «Демократическая партия России»	32	1	2	0	1	0	1	0	0	1	1	0	2	2	0	0	3	2	0	0	0	2	1	0	1	1	1	2	1	1	1	1	1	0	2	0	0	0	1	0					
		0.12%	0.17%	0.34%	0.00%	0.19%	0.00%	0.11%	0.00%	0.00%	0.19%	0.20%	0.00%	0.17%	0.31%	0.00%	0.00%	0.52%	0.28%	0.00%	0.00%	0.00%	0.20%	0.17%	0.00%	0.10%	0.10%	0.10%	0.21%	0.15%	0.10%	0.23%	0.10%	0.16%	0.00%	0.18%	0.00%	0.00%	0.00%	0.19%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3404	90	151	94	70	110	96	16	72	72	37	65	133	79	49	82	82	76	57	88	147	163	81	33	108	106	125	113	81	103	49	115	83	54	114	105	50	176	38	41					
		12.49%	15.20%	25.77%	16.82%	13.08%	11.11%	10.70%	6.35%	11.92%	13.36%	7.33%	10.71%	11.54%	12.10%	9.25%	13.78%	14.19%	10.60%	12.93%	12.88%	23.19%	16.68%	13.39%	10.58%	11.02%	10.75%	12.48%	11.60%	11.98%	10.14%	11.09%	11.36%	13.01%	11.18%	10.17%	14.09%	19.08%	16.00%	7.16%	5.59%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	233	4	4	3	2	12	5	1	6	5	3	8	11	6	2	3	3	4	4	1	5	7	2	1	11	7	9	9	8	7	1	8	7	4	12	17	5	12	8	6					
		0.86%	0.68%	0.68%	0.54%	0.37%	1.21%	0.56%	0.40%	0.99%	0.93%	0.59%	1.32%	0.95%	0.92%	0.38%	0.50%	0.52%	0.56%	0.91%	0.15%	0.79%	0.72%	0.33%	0.32%	1.12%	0.71%	0.90%	0.92%	1.18%	0.69%	0.23%	0.79%	1.10%	0.83%	1.07%	2.28%	1.91%	1.09%	1.51%	0.82%					
23	6.Политическая партия «Партия социальной справедливости»	45	2	0	1	1	0	2	2	0	1	1	0	1	1	1	0	0	1	4	0	0	1	0	0	2	5	0	3	3	0	0	4	0	1	2	2	0	2	1	1					
		0.17%	0.34%	0.00%	0.18%	0.19%	0.00%	0.22%	0.79%	0.00%	0.19%	0.20%	0.00%	0.09%	0.15%	0.19%	0.00%	0.00%	0.14%	0.91%	0.00%	0.00%	0.10%	0.00%	0.00%	0.20%	0.51%	0.00%	0.31%	0.44%	0.00%	0.00%	0.40%	0.00%	0.21%	0.18%	0.27%	0.00%	0.18%	0.19%	0.14%					
24	7.Политическая партия «Либерально-демократическая партия России»	3499	110	51	88	69	140	116	31	61	73	71	86	144	87	63	99	64	101	48	85	63	116	84	50	108	117	109	119	93	150	45	135	78	73	108	83	39	147	84	111					
		12.84%	18.58%	8.70%	15.74%	12.90%	14.14%	12.93%	12.30%	10.10%	13.54%	14.06%	14.17%	12.49%	13.32%	11.89%	16.64%	11.07%	14.09%	10.88%	12.45%	9.94%	11.87%	13.88%	16.03%	11.02%	11.87%	10.88%	12.22%	13.76%	14.76%	10.18%	13.34%	12.23%	15.11%	9.63%	11.14%	14.89%	13.36%	15.82%	15.12%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1693	32	41	26	27	44	46	9	22	47	16	27	59	35	27	34	49	41	26	52	52	64	38	15	76	74	80	61	55	68	31	65	37	20	76	45	21	73	37	45					
		6.21%	5.41%	6.99%	4.65%	5.05%	4.44%	5.13%	3.57%	3.64%	8.72%	3.17%	4.45%	5.12%	5.36%	5.09%	5.71%	8.48%	5.72%	5.90%	7.61%	8.20%	6.55%	6.28%	4.81%	7.76%	7.51%	7.98%	6.26%	8.14%	6.69%	7.01%	6.42%	5.80%	4.14%	6.78%	6.04%	8.02%	6.64%	6.97%	6.13%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1087	16	15	17	22	39	33	3	29	22	21	10	40	34	21	24	27	28	20	29	35	36	28	12	47	40	55	50	31	36	16	30	29	15	48	31	12	43	21	22					
		3.99%	2.70%	2.56%	3.04%	4.11%	3.94%	3.68%	1.19%	4.80%	4.08%	4.16%	1.65%	3.47%	5.21%	3.96%	4.03%	4.67%	3.91%	4.54%	4.25%	5.52%	3.68%	4.63%	3.85%	4.80%	4.06%	5.49%	5.13%	4.59%	3.54%	3.62%	2.96%	4.55%	3.11%	4.28%	4.16%	4.58%	3.91%	3.95%	2.99%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	16125	316	301	305	333	623	573	182	372	305	340	387	720	384	344	321	327	435	259	411	301	541	347	190	582	584	576	559	367	607	287	619	380	293	713	425	125	596	309	486					
		59.18%	53.38%	51.37%	54.56%	62.24%	62.93%	63.88%	72.22%	61.59%	56.59%	67.33%	63.76%	62.45%	58.81%	64.91%	53.95%	56.57%	60.67%	58.73%	60.18%	47.48%	55.37%	57.36%	60.90%	59.39%	59.23%	57.49%	57.39%	54.29%	59.74%	64.93%	61.17%	59.56%	60.66%	63.60%	57.05%	47.71%	54.18%	58.19%	66.21%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	214	6	0	5	1	8	5	2	6	4	2	2	7	2	9	7	3	9	6	6	2	12	2	0	10	15	9	11	5	5	2	7	2	5	8	7	2	9	9	2					
		0.79%	1.01%	0.00%	0.89%	0.19%	0.81%	0.56%	0.79%	0.99%	0.74%	0.40%	0.33%	0.61%	0.31%	1.70%	1.18%	0.52%	1.26%	1.36%	0.88%	0.32%	1.23%	0.33%	0.00%	1.02%	1.52%	0.90%	1.13%	0.74%	0.49%	0.45%	0.69%	0.31%	1.04%	0.71%	0.94%	0.76%	0.82%	1.69%	0.27%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
