Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
"Наименование Избирательной комиссии:    Ставрополь, Ленинская"																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54					
1	"Число избирателей, внесенных в список избирателей"	86454	1612	1961	1383	2135	1179	1146	634	1070	1016	1676	2259	1666	2349	1070	2602	2116	2418	1198	1636	2393	1460	1301	686	1956	1577	2143	2053	2503	866	1515	2222	2239	2307	1256	2126	787	1697	2302	1541	1690	1916	1528	4490	2296	2468	1311	1744	49	358	60	121	54	838	1475					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	67625	1250	1750	1050	1600	850	1100	450	750	850	1300	1800	1350	1750	800	2050	1650	1900	900	1100	1800	1200	950	500	1850	1150	1600	1600	1850	650	1150	1700	1850	1750	900	1600	600	1350	1700	1150	1350	1450	1150	4000	1750	1850	950	1300	50	350	65	150	60	900	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	47125	1014	1635	913	1291	795	1015	380	593	607	945	967	606	1414	433	1150	818	1148	459	655	1338	614	758	346	1559	856	1003	990	1478	450	886	962	854	1536	552	1069	546	613	1360	813	699	771	935	2714	1491	1103	590	958	47	340	57	110	54	838	997					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2773	85	32	22	34	17	0	21	87	44	26	55	118	198	67	50	66	39	144	104	20	42	16	17	2	25	83	49	164	94	94	90	106	51	34	44	43	50	31	91	70	30	68	40	11	67	80	15	2	0	2	10	0	0	23					
6	Число погашенных избирательных бюллетеней	17727	151	83	115	275	38	85	49	70	199	329	778	626	138	300	850	766	713	297	341	442	544	176	137	289	269	514	561	208	106	170	648	890	163	314	487	11	687	309	246	581	649	147	1246	248	680	280	327	1	10	6	30	6	62	80					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2756	85	32	22	34	17	0	21	70	44	26	55	118	198	67	50	66	39	144	104	20	42	16	17	2	25	83	49	164	94	94	90	106	51	34	44	43	50	31	91	70	30	68	40	11	67	80	15	2	0	2	10	0	0	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46902	1014	1635	913	1291	795	1015	370	593	607	945	967	606	1411	433	1150	752	1146	459	655	1338	614	742	346	1559	856	1003	986	1478	450	886	947	854	1485	551	1069	503	613	1360	813	699	771	935	2702	1491	1103	590	958	47	340	57	110	54	838	997					
9	Число недействительных избирательных бюллетеней	1167	17	13	10	23	5	18	5	8	79	13	14	15	78	54	19	13	33	54	0	16	15	48	50	17	16	15	14	2	8	37	52	20	18	69	27	10	12	14	4	19	21	8	35	12	11	7	27	1	14	2	0	1	45	29					
10	Число действительных избирательных бюллетеней	48491	1082	1654	925	1302	807	997	386	655	572	958	1008	709	1531	446	1181	805	1152	549	759	1342	641	710	313	1544	865	1071	1021	1640	536	943	985	940	1518	516	1086	536	651	1377	900	750	780	995	2707	1490	1159	663	946	48	326	57	120	53	793	991					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	944	19	15	15	24	10	12	17	25	10	28	28	20	37	13	30	12	28	12	20	29	17	19	11	10	15	27	17	35	10	11	20	30	25	11	16	10	15	22	15	15	25	15	40	34	34	10	20	0	0	0	0	0	0	11					
