Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Тес-Хемская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148					
1	"Число избирателей, внесенных в список избирателей"	4715	1905	500	594	412	264	506	534					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4628	1812	500	604	412	260	506	534					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	339	0	84	86	0	27	97	45					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4030	1716	399	488	342	230	374	481					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	233	84	17	16	70	3	35	8					
6	Число погашенных избирательных бюллетеней	26	12	0	14	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	572	84	101	102	70	30	132	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4030	1716	399	488	342	230	374	481					
9	Число недействительных избирательных бюллетеней	13	0	7	0	0	3	1	2					
10	Число действительных избирательных бюллетеней	4589	1800	493	590	412	257	505	532					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	50	19	4	7	5	1	7	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	40	19	4	4	5	0	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	26	7	1	0	3	0	12	3					
14	Число погашенных неиспользованных открепительных удостоверений	10	0	0	3	0	1	2	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	31	8	14	2	2	2	1	2					
		0.67%	0.44%	2.80%	0.34%	0.49%	0.77%	0.20%	0.37%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10	0	1	0	7	0	0	2					
		0.22%	0.00%	0.20%	0.00%	1.70%	0.00%	0.00%	0.37%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1	0	1	0	0	0	0	0					
		0.02%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	36	18	0	1	11	0	1	5					
		0.78%	1.00%	0.00%	0.17%	2.67%	0.00%	0.20%	0.94%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4511	1774	477	587	392	255	503	523					
		98.02%	98.56%	95.40%	99.49%	95.15%	98.08%	99.41%	97.94%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
