Выборы Президента Российской Федерации																																																																																	
Дата голосования: 04.03.2012																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Тюменская																																																																																	
																																																																																	
Сводная таблица итогов голосования																																																																																	
																																																																																	
	Число участковых избирательных комиссий	70																																																																															
	Число участковых избирательных комиссий, приступивших к передаче сведений	70																																																																															
																																																																																	
		Сумма	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710									
1	Число избирателей, включенных в список избирателей	82925	1502	1169	417	645	1138	1362	1783	1322	2203	957	268	1205	218	2797	2131	2600	2626	2668	1615	2122	1259	1558	1355	1322	589	1940	2265	2055	591	1343	366	436	2633	2840	671	457	1778	1325	1364	232	1849	1770	364	664	1129	600	870	270	256	214	263	2371	337	289	2353	683	1442	851	153	908	1082	2708	673	112	224	1488	683	395	406	391									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	82220	1469	1187	417	536	1145	1338	1804	1347	2222	918	251	1271	215	2787	2111	2607	2589	2720	1576	2144	1244	1561	1226	1008	533	1929	2276	2020	582	1296	358	447	2649	2831	696	475	1786	1301	1367	229	1823	1788	363	667	1114	636	893	279	259	208	274	2393	323	279	2357	686	1426	844	149	896	1122	2658	677	112	223	1467	677	383	390	386									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	59727	1096	941	359	512	888	926	1191	797	1394	727	206	1042	144	2098	1497	1919	1882	1765	1160	1573	965	1142	894	709	409	1390	1734	1459	444	878	215	375	1969	2040	480	299	1179	916	976	156	1360	1261	228	486	810	460	580	215	195	154	194	2044	264	219	2315	462	934	582	102	649	818	1618	460	77	182	1041	536	221	290	224									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	1979	30	15	9	6	17	21	33	46	48	8	0	43	20	43	35	20	26	24	37	6	12	43	128	233	7	29	10	13	3	39	15	3	37	23	6	30	15	24	44	15	18	19	12	10	24	18	15	8	7	4	7	79	13	9	38	6	35	10	0	34	36	140	82	3	5	34	28	26	29	14									
6	Число погашенных избирательных бюллетеней	20514	343	231	49	18	240	391	580	504	780	183	45	186	51	646	579	668	681	931	379	565	267	376	204	66	117	510	532	548	135	379	128	69	643	768	210	146	592	361	347	58	445	508	123	171	280	158	298	56	57	50	73	270	46	51	4	218	457	252	47	213	268	900	135	32	36	392	113	136	71	148									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1978	30	15	9	6	17	21	33	46	48	8	0	43	20	43	34	20	26	24	37	6	12	43	128	233	7	29	10	13	3	39	15	3	37	23	6	30	15	24	44	15	18	19	12	10	24	18	15	8	7	4	7	79	13	9	38	6	35	10	0	34	36	140	82	3	5	34	28	26	29	14									
8	Число бюллетеней в стационарных ящиках для голосования	59711	1096	941	359	512	888	926	1191	797	1394	727	206	1042	144	2098	1497	1916	1882	1765	1160	1573	965	1142	894	708	409	1390	1724	1459	444	878	215	375	1969	2040	480	299	1179	916	976	156	1360	1261	228	486	810	460	580	215	195	154	194	2044	264	219	2315	462	934	582	102	649	818	1618	460	77	182	1039	536	221	290	224									
9	Число недействительных избирательных бюллетеней	661	13	13	5	8	47	14	4	5	15	8	3	12	0	43	34	30	20	32	17	2	0	15	11	6	9	14	30	6	0	9	3	4	29	36	6	4	20	1	3	1	2	9	0	1	5	0	3	2	0	5	2	12	2	2	21	2	3	5	0	10	10	14	3	1	1	3	7	1	1	2									
10	Число действительных избирательных бюллетеней	61028	1113	943	363	510	858	933	1220	838	1427	727	203	1073	164	2098	1497	1906	1888	1757	1180	1577	977	1170	1011	935	407	1405	1704	1466	447	908	227	374	1977	2027	480	325	1174	939	1017	170	1376	1271	240	495	829	478	592	221	202	153	199	2111	275	226	2332	466	966	587	102	673	844	1744	539	79	186	1070	557	246	318	236									
11	Число полученных открепительных  удостоверений	1732	29	24	8	10	23	27	34	27	44	20	20	60	9	55	42	22	31	54	31	42	25	31	24	20	11	38	46	40	12	26	7	9	52	56	22	19	35	26	27	4	36	35	7	13	22	33	23	14	5	4	21	48	6	6	47	14	28	17	3	18	42	53	13	7	5	29	13	8	8	12									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	1057	19	13	7	5	8	8	25	25	26	20	19	60	9	25	17	15	15	18	11	11	2	14	7	3	5	25	24	15	4	26	4	9	29	28	22	18	20	10	17	4	18	32	4	6	13	33	23	14	5	1	18	35	3	6	33	9	8	10	0	15	42	29	10	5	2	13	10	2	8	8									
13	Число избирателей, проголосовавших по открепительным удостоверениям	1276	52	11	5	165	15	32	18	11	16	57	16	26	6	25	29	16	16	12	22	3	11	15	40	86	15	17	14	17	6	16	14	3	18	44	4	3	16	20	12	3	37	15	4	2	14	8	6	2	1	0	7	20	6	7	30	4	8	8	2	30	16	33	8	2	1	40	9	9	10	10									
14	Число неиспользованных открепительных удостоверений	675	10	11	1	5	15	19	9	2	18	0	1	0	0	30	25	7	16	36	20	31	23	17	17	17	6	13	22	25	8	0	3	0	23	28	0	1	15	16	10	0	18	3	3	7	9	0	0	0	0	3	3	13	3	0	14	5	20	7	3	3	0	24	3	2	3	16	3	6	0	4									
15	Число открепительных удостоверений, выданных избирателям ТИК	18	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0									
