Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Александровская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13962	874	968	849	914	373	373	105	77	448	106	539	114	47	67	252	541	79	242	144	245	69	274	125	99	138	709	577	193	661	245	109	364	436	291	211	69	465	381	58	245	237	241	95	313									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13907	835	960	862	904	373	382	105	76	447	101	545	115	48	66	249	543	78	247	145	245	68	271	122	98	137	714	577	187	648	246	110	360	443	274	217	65	468	383	57	254	234	241	92	315									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6517	459	473	498	366	145	190	52	48	260	53	218	54	19	33	116	242	36	127	59	123	49	102	65	52	36	266	201	129	295	110	54	155	183	120	104	27	205	171	40	163	115	123	52	129									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	541	15	9	3	25	56	18	7	7	18	3	33	12	0	0	7	12	0	19	8	14	3	40	4	0	14	13	20	0	23	20	10	31	13	0	3	0	17	18	0	11	5	7	7	16									
6	Число погашенных избирательных бюллетеней	6849	361	478	361	513	172	174	46	21	169	45	294	49	29	33	126	289	42	101	78	108	16	129	53	46	87	435	356	58	330	116	46	174	247	154	110	38	246	194	17	80	114	111	33	170									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	541	15	9	3	25	56	18	7	7	18	3	33	12	0	0	7	12	0	19	8	14	3	40	4	0	14	13	20	0	23	20	10	31	13	0	3	0	17	18	0	11	5	7	7	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6517	459	473	498	366	145	190	52	48	260	53	218	54	19	33	116	242	36	127	59	123	49	102	65	52	36	266	201	129	295	110	54	155	183	120	104	27	205	171	40	163	115	123	52	129									
9	Число недействительных избирательных бюллетеней	92	10	5	4	4	0	0	0	1	6	0	6	0	0	2	0	12	0	2	0	1	1	3	3	1	0	5	1	1	3	0	0	0	2	1	2	0	2	5	0	2	4	3	0	0									
10	Число действительных избирательных бюллетеней	6966	464	477	497	387	201	208	59	54	272	56	245	66	19	31	123	242	36	144	67	136	51	139	66	51	50	274	220	128	315	130	64	186	194	119	105	27	220	184	40	172	116	127	59	145									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	228	15	15	15	10	5	7	5	0	5	5	5	5	1	0	5	5	1	5	5	5	0	5	5	0	5	10	7	5	5	5	5	5	7	5	10	0	5	5	0	5	5	5	0	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	123	15	14	13	5	3	7	0	0	1	0	5	0	1	0	0	5	1	5	1	0	0	0	0	0	0	5	7	0	1	0	3	0	7	2	8	0	4	3	0	5	0	1	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	205	50	19	30	14	4	0	1	2	3	5	1	1	0	1	3	1	1	1	1	0	1	2	2	1	1	0	3	5	11	1	2	4	0	18	2	4	2	1	1	0	2	1	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	105	0	1	2	5	2	0	5	0	4	5	0	5	0	0	5	0	0	0	4	5	0	5	5	0	5	5	0	5	4	5	2	5	0	3	2	0	1	2	0	0	5	4	0	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	1	2	2	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	40	2	1	2	2	1	2	0	0	0	0	4	0	0	0	0	1	0	2	1	0	0	0	0	0	2	3	3	0	2	0	1	1	1	1	0	0	2	1	0	0	0	1	1	3									
		0.57%	0.42%	0.21%	0.40%	0.51%	0.50%	0.96%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	1.37%	1.49%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	1.08%	1.36%	0.00%	0.63%	0.00%	1.56%	0.54%	0.51%	0.83%	0.00%	0.00%	0.90%	0.53%	0.00%	0.00%	0.00%	0.77%	1.69%	2.07%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	215	13	15	11	7	1	5	0	1	10	2	10	1	2	1	9	11	1	5	2	5	3	3	3	5	0	11	6	2	1	6	1	3	7	4	4	3	5	4	4	12	6	5	1	4									
		3.05%	2.74%	3.11%	2.20%	1.79%	0.50%	2.40%	0.00%	1.82%	3.60%	3.57%	3.98%	1.52%	10.53%	3.03%	7.32%	4.33%	2.78%	3.42%	2.99%	3.65%	5.77%	2.11%	4.35%	9.62%	0.00%	3.94%	2.71%	1.55%	0.31%	4.62%	1.56%	1.61%	3.57%	3.33%	3.74%	11.11%	2.25%	2.12%	10.00%	6.90%	5.00%	3.85%	1.69%	2.76%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	90	6	12	10	2	1	5	0	1	0	0	4	1	0	0	1	0	0	1	2	4	0	1	0	0	1	6	6	0	8	0	2	1	3	0	0	0	1	2	0	3	2	2	0	2									
		1.28%	1.27%	2.49%	1.99%	0.51%	0.50%	2.40%	0.00%	1.82%	0.00%	0.00%	1.59%	1.52%	0.00%	0.00%	0.81%	0.00%	0.00%	0.68%	2.99%	2.92%	0.00%	0.70%	0.00%	0.00%	2.00%	2.15%	2.71%	0.00%	2.52%	0.00%	3.13%	0.54%	1.53%	0.00%	0.00%	0.00%	0.45%	1.06%	0.00%	1.72%	1.67%	1.54%	0.00%	1.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3339	232	232	261	190	130	127	35	35	115	36	112	26	7	15	48	108	20	71	24	64	28	59	17	17	20	109	87	54	157	43	30	97	74	66	53	17	84	98	20	105	48	72	29	67									
		47.31%	48.95%	48.13%	52.10%	48.59%	64.68%	61.06%	59.32%	63.64%	41.37%	64.29%	44.62%	39.39%	36.84%	45.45%	39.02%	42.52%	55.56%	48.63%	35.82%	46.72%	53.85%	41.55%	24.64%	32.69%	40.00%	39.07%	39.37%	41.86%	49.37%	33.08%	46.88%	52.15%	37.76%	55.00%	49.53%	62.96%	37.84%	51.85%	50.00%	60.34%	40.00%	55.38%	49.15%	46.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	28	2	3	3	2	1	3	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	3	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1									
		0.40%	0.42%	0.62%	0.60%	0.51%	0.50%	1.44%	0.00%	3.64%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	1.36%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	3	0	0	0	0									
		0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	1.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.77%	1.56%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.72%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1397	98	105	117	78	25	23	11	4	23	3	53	21	3	5	26	33	6	38	8	11	9	33	12	14	15	56	63	52	80	27	19	53	46	12	15	4	52	33	3	24	18	19	8	39									
		19.79%	20.68%	21.78%	23.35%	19.95%	12.44%	11.06%	18.64%	7.27%	8.27%	5.36%	21.12%	31.82%	15.79%	15.15%	21.14%	12.99%	16.67%	26.03%	11.94%	8.03%	17.31%	23.24%	17.39%	26.92%	30.00%	20.07%	28.51%	40.31%	25.16%	20.77%	29.69%	28.49%	23.47%	10.00%	14.02%	14.81%	23.42%	17.46%	7.50%	13.79%	15.00%	14.62%	13.56%	26.90%									
