Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Яровская городская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516					
1	"Число избирателей, внесенных в списки избирателей"	15403	2583	2510	2496	2682	2445	2687					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13800	2300	2300	2300	2300	2300	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9370	1656	1538	1430	1655	1464	1627					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	439	52	96	69	113	66	43					
6	Число погашенных избирательных бюллетеней	3991	592	666	801	532	770	630					
7	Число избирательных бюллетеней в переносных ящиках для голосования	439	52	96	69	113	66	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9367	1655	1538	1429	1655	1463	1627					
9	Число недействительных избирательных бюллетеней	81	12	14	24	7	17	7					
10	Число действительных избирательных бюллетеней	9725	1695	1620	1474	1761	1512	1663					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	85	25	10	10	20	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	78	25	10	5	19	9	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	49	4	4	5	8	20	8					
14	Число погашенных неиспользованных открепительных удостоверений	7	0	0	5	1	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	4	1	0	1	1	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	408	65	67	71	63	56	86					
		4.16%	3.81%	4.10%	4.74%	3.56%	3.66%	5.15%					
19	2.Всероссийская политическая партия «Гражданская Сила»	46	6	10	9	8	6	7					
		0.47%	0.35%	0.61%	0.60%	0.45%	0.39%	0.42%					
20	3.Политическая партия «Демократическая партия России»	7	0	1	1	4	0	1					
		0.07%	0.00%	0.06%	0.07%	0.23%	0.00%	0.06%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1389	267	278	183	258	204	199					
		14.16%	15.64%	17.01%	12.22%	14.59%	13.34%	11.92%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	113	14	18	24	25	18	14					
		1.15%	0.82%	1.10%	1.60%	1.41%	1.18%	0.84%					
23	6.Политическая партия «Партия социальной справедливости»	13	4	1	2	2	2	2					
		0.13%	0.23%	0.06%	0.13%	0.11%	0.13%	0.12%					
24	7.Политическая партия «Либерально-демократическая партия России»	1066	166	182	177	172	180	189					
		10.87%	9.72%	11.14%	11.82%	9.73%	11.77%	11.32%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1251	239	215	143	223	178	253					
		12.76%	14.00%	13.16%	9.55%	12.61%	11.64%	15.15%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	59	12	13	7	8	9	10					
		0.60%	0.70%	0.80%	0.47%	0.45%	0.59%	0.60%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5296	901	825	847	979	854	890					
		54.01%	52.78%	50.49%	56.54%	55.37%	55.85%	53.29%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	77	21	10	10	19	5	12					
		0.79%	1.23%	0.61%	0.67%	1.07%	0.33%	0.72%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
