Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Дорогобужская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169					
1	"Число избирателей, внесенных в список избирателей"	24787	526	197	291	362	247	381	341	305	184	274	304	340	203	153	756	667	1559	1083	1502	1750	1509	1386	1796	1850	1632	1811	1686	1692					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24992	543	188	295	370	257	387	349	312	186	265	324	352	214	159	766	670	1566	1090	1500	1780	1518	1408	1818	1862	1683	1831	1600	1699					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11294	201	95	153	207	114	177	128	127	113	115	148	179	101	54	257	306	551	394	606	922	727	752	814	1000	725	831	738	759					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	949	66	32	33	76	45	23	22	68	24	42	25	41	31	27	122	7	20	34	19	10	7	10	21	10	11	10	73	40					
6	Число погашенных избирательных бюллетеней	12749	276	61	109	87	98	187	199	117	49	108	151	132	82	78	387	357	995	662	875	848	784	646	983	852	947	990	789	900					
7	Число избирательных бюллетеней в переносных ящиках для голосования	949	66	32	33	76	45	23	22	68	24	42	25	41	31	27	122	7	20	34	19	10	7	10	21	10	11	10	73	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11281	201	95	153	207	114	177	128	127	113	115	148	179	101	54	257	306	551	394	606	922	727	740	814	999	725	831	738	759					
9	Число недействительных избирательных бюллетеней	221	4	3	4	0	0	1	1	2	0	5	1	4	0	0	3	2	12	7	5	34	14	16	17	22	12	16	22	14					
10	Число действительных избирательных бюллетеней	12009	263	124	182	283	159	199	149	193	137	152	172	216	132	81	376	311	559	421	620	898	720	734	818	987	724	825	789	785					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	454	15	10	15	15	10	10	10	15	10	15	19	15	10	10	15	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	220	11	3	3	7	9	4	1	1	1	0	19	1	10	4	4	2	9	7	6	18	14	12	16	13	16	14	9	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	139	3	5	3	4	6	2	2	5	8	13	3	1	4	1	2	4	7	5	2	8	9	7	5	12	5	4	5	4					
14	Число погашенных неиспользованных открепительных удостоверений	234	4	7	12	8	1	6	9	14	9	15	0	14	0	6	11	18	11	13	14	2	6	8	4	7	4	6	11	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2047	60	11	18	25	17	38	27	30	13	15	27	44	14	7	42	42	80	69	114	163	128	114	157	217	138	116	148	173					
		16.74%	22.47%	8.66%	9.68%	8.83%	10.69%	19.00%	18.00%	15.38%	9.49%	9.55%	15.61%	20.00%	10.61%	8.64%	11.08%	13.42%	14.01%	16.12%	18.24%	17.49%	17.44%	15.20%	18.80%	21.51%	18.75%	13.79%	18.25%	21.65%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2395	33	38	27	27	13	31	42	29	21	21	34	43	15	19	80	63	123	94	139	208	162	154	133	182	135	180	186	163					
		19.58%	12.36%	29.92%	14.52%	9.54%	8.18%	15.50%	28.00%	14.87%	15.33%	13.38%	19.65%	19.55%	11.36%	23.46%	21.11%	20.13%	21.54%	21.96%	22.24%	22.32%	22.07%	20.53%	15.93%	18.04%	18.34%	21.40%	22.93%	20.40%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	111	5	0	1	0	0	0	0	1	0	0	0	5	2	1	3	5	0	5	9	6	9	6	8	12	9	8	9	7					
		0.91%	1.87%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	2.27%	1.52%	1.23%	0.79%	1.60%	0.00%	1.17%	1.44%	0.64%	1.23%	0.80%	0.96%	1.19%	1.22%	0.95%	1.11%	0.88%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2474	58	21	16	39	20	37	24	25	21	19	32	34	27	20	74	87	131	89	125	173	148	172	179	199	160	201	161	182					
		20.23%	21.72%	16.54%	8.60%	13.78%	12.58%	18.50%	16.00%	12.82%	15.33%	12.10%	18.50%	15.45%	20.45%	24.69%	19.53%	27.80%	22.94%	20.79%	20.00%	18.56%	20.16%	22.93%	21.44%	19.72%	21.74%	23.90%	19.85%	22.78%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	282	8	1	2	5	2	8	1	2	3	2	1	5	2	2	5	9	12	12	20	23	22	17	19	26	27	16	13	17					
