12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2376	63	53	60	67	63	59	40	45	44	20	35	51	5	50	31	35	41	31	43	42	35	15	30	65	28	80	20	7	35	30	55	10	5	7	18	55	7	11	6	15	23	31	48	48	41	38	8	13	28	1	6	101	56	15	5	15	20	10	5	10	15	40	8	20	10	8	15	1	33	53	55	33	7	9	19	30	20	56	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1009	15	15	9	7	7	4	9	12	37	10	11	3	46	21	11	14	19	12	6	15	6	14	8	3	22	24	12	18	9	10	20	4	17	5	5	18	11	5	18	12	6	14	21	10	25	13	30	9	5	13	4	17	9	15	5	16	17	17	17	18	14	15	5	9	7	1	22	8	16	12	4	5	9	10	5	9	11	23	19					
14	Число неиспользованных открепительных удостоверений	510	7	12	10	8	3	5	5	10	11	10	0	0	25	0	24	30	4	24	2	23	0	20	5	0	7	0	0	0	0	0	0	5	0	3	7	0	8	4	4	5	7	4	17	17	14	17	7	52	27	9	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	5	4	12	2	5	17	3	1	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	25	3	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	3	0	0	2	1	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																						
18	Богданов Андрей Владимирович	840	18	23	18	13	24	18	5	15	19	9	8	13	43	22	18	16	16	21	23	23	4	16	19	17	33	10	1	3	10	4	17	5	2	2	7	5	0	0	3	3	13	6	17	25	19	21	7	30	28	2	1	30	13	2	1	2	1	3	0	2	5	3	5	3	1	2	2	2	2	24	6	3	6	3	0	4	3	14	3					
		1.52%	1.33%	1.94%	1.38%	1.06%	2.06%	1.36%	0.79%	1.23%	1.50%	1.17%	1.09%	2.02%	6.73%	1.88%	1.43%	1.27%	1.17%	1.57%	1.55%	1.64%	0.59%	2.33%	1.34%	1.25%	2.19%	1.22%	0.47%	1.72%	1.40%	0.67%	1.53%	1.98%	1.37%	1.22%	1.51%	0.92%	0.00%	0.00%	1.15%	1.14%	2.23%	0.95%	1.41%	1.86%	1.78%	1.95%	1.72%	2.15%	2.13%	1.01%	0.48%	2.07%	1.53%	0.57%	0.79%	0.77%	0.42%	1.25%	0.00%	0.86%	1.34%	1.59%	1.88%	1.22%	0.76%	1.39%	0.52%	1.49%	0.23%	2.04%	1.13%	0.56%	2.53%	1.41%	0.00%	1.17%	0.74%	1.86%	1.03%					
19	Жириновский Владимир Вольфович	5834	141	136	139	130	113	157	54	114	130	74	67	55	75	111	147	106	140	142	174	148	76	54	145	150	137	91	22	15	69	30	103	18	25	11	60	57	17	15	23	11	52	75	135	177	131	131	28	188	185	24	25	146	85	31	15	29	8	17	11	42	36	18	24	14	7	9	39	14	99	142	47	51	24	20	22	41	57	118	35					
		10.52%	10.40%	11.50%	10.67%	10.57%	9.71%	11.90%	8.53%	9.32%	10.28%	9.64%	9.13%	8.57%	11.74%	9.46%	11.66%	8.45%	10.26%	10.62%	11.71%	10.53%	11.19%	7.85%	10.20%	11.01%	9.10%	11.11%	10.38%	8.62%	9.69%	5.06%	9.25%	7.11%	17.12%	6.71%	12.90%	10.50%	8.02%	6.12%	8.81%	4.17%	8.93%	11.89%	11.18%	13.17%	12.30%	12.19%	6.88%	13.48%	14.07%	12.06%	11.96%	10.08%	9.98%	8.81%	11.81%	11.15%	3.38%	7.08%	9.17%	18.03%	9.68%	9.52%	9.02%	5.69%	5.30%	6.25%	10.16%	10.45%	11.46%	12.06%	8.85%	9.48%	10.13%	9.39%	6.43%	11.99%	14.07%	15.71%	11.99%					
20	Зюганов Геннадий Андреевич	12300	186	173	217	177	292	250	172	262	327	215	203	150	87	285	259	309	356	309	302	328	147	188	354	356	448	199	49	24	156	146	220	67	41	43	75	130	41	35	55	98	156	159	317	271	218	221	104	328	345	42	57	301	228	67	21	36	33	39	9	39	44	28	85	57	20	28	67	30	162	328	97	106	54	54	83	72	80	135	48					
		22.19%	13.72%	14.62%	16.65%	14.39%	25.09%	18.95%	27.17%	21.42%	25.85%	27.99%	27.66%	23.36%	13.62%	24.30%	20.54%	24.62%	26.08%	23.11%	20.32%	23.35%	21.65%	27.33%	24.91%	26.12%	29.75%	24.30%	23.11%	13.79%	21.91%	24.62%	19.75%	26.48%	28.08%	26.22%	16.13%	23.94%	19.34%	14.29%	21.07%	37.12%	26.80%	25.20%	26.24%	20.16%	20.47%	20.56%	25.55%	23.51%	26.24%	21.11%	27.27%	20.77%	26.76%	19.03%	16.54%	13.85%	13.92%	16.25%	7.50%	16.74%	11.83%	14.81%	31.95%	23.17%	15.15%	19.44%	17.45%	22.39%	18.75%	27.87%	18.27%	19.70%	22.78%	25.35%	24.27%	21.05%	19.75%	17.98%	16.44%					
21	Медведев Дмитрий Анатольевич	35532	991	835	907	884	713	878	384	817	766	465	446	413	395	735	821	809	832	844	962	889	432	424	871	811	851	512	140	132	389	407	752	161	77	108	322	344	154	192	176	148	351	385	721	844	670	690	266	818	736	126	125	955	514	250	90	193	194	181	100	150	287	139	150	165	100	104	276	88	587	671	373	366	151	134	237	215	265	471	205					
		64.10%	73.08%	70.58%	69.61%	71.87%	61.25%	66.57%	60.66%	66.80%	60.55%	60.55%	60.76%	64.33%	61.82%	62.66%	65.11%	64.46%	60.95%	63.13%	64.74%	63.27%	63.62%	61.63%	61.29%	59.50%	56.51%	62.52%	66.04%	75.86%	54.63%	68.63%	67.50%	63.64%	52.74%	65.85%	69.25%	63.35%	72.64%	78.37%	67.43%	56.06%	60.31%	61.01%	59.69%	62.80%	62.91%	64.19%	65.36%	58.64%	55.97%	63.32%	59.81%	65.91%	60.33%	71.02%	70.87%	74.23%	81.86%	75.42%	83.33%	64.38%	77.15%	73.54%	56.39%	67.07%	75.76%	72.22%	71.88%	65.67%	67.94%	57.01%	70.24%	68.03%	63.71%	62.91%	69.30%	62.87%	65.43%	62.72%	70.21%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
