Выборы Президента Российской Федерации																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Орехово-Зуевская																																																																																									
																																																																																									
Итоги голосования 																																																																																									
																																																																																									
		Сумма	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034					
1	"Число избирателей, внесенных в список"	96934	2219	2405	1833	2664	2143	2447	1342	2567	1876	709	1463	1252	1085	1957	2128	2847	2433	2657	2856	2158	1476	1660	2166	2621	2778	432	202	228	624	1302	181	182	1821	817	805	213	206	307	375	2155	405	1098	1096	2283	2376	2114	2253	514	2279	2632	258	312	2486	1552	312	352	149	213	250	313	223	367	270	181	1661	218	447	113	116	182	2027	213	155	1062	1067	200	653	580	1078	441	486	355					
2	Число полученных избирательных бюллетеней	98107	2270	2461	1894	2706	2159	2437	1383	2552	1877	701	1536	1320	1064	1929	2130	2853	2412	2658	2883	2174	1457	1671	2187	2662	2819	453	212	225	630	1369	182	178	1901	874	841	207	196	301	374	2220	403	1078	1097	2302	2393	2114	2247	513	2279	2675	258	309	2579	1588	318	357	152	226	270	321	221	377	268	189	1649	214	450	121	119	178	2055	209	147	1086	1093	205	663	587	1134	448	494	363					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	48906	1059	1162	1067	1352	967	1314	665	1368	953	311	727	625	675	889	1028	1599	1396	1352	1457	1128	667	859	1087	1463	1417	178	122	115	321	694	97	78	970	404	414	75	112	173	167	1090	191	537	526	973	909	835	862	127	1220	1407	123	173	1337	771	219	144	117	143	147	121	158	209	145	98	900	152	204	79	84	90	924	169	67	598	497	113	352	322	560	215	314	177					
5	"Число избирательных бюллетеней, выданных вне помещения"	5078	82	69	61	106	51	25	19	45	28	10	41	12	85	75	56	21	18	89	47	77	130	50	42	223	47	77	31	35	120	110	57	64	96	58	35	58	27	28	97	80	43	80	27	140	159	31	4	175	37	40	45	42	29	41	18	97	8	27	41	95	12	39	23	28	51	15	116	20	20	62	226	23	56	63	118	27	51	102	148	120	30	67					
6	Число погашенных избирательных бюллетеней	44123	1129	1230	766	1248	1141	1098	699	1139	896	380	768	683	304	965	1046	1233	998	1217	1379	969	660	762	1058	976	1355	198	59	75	189	565	28	36	835	412	392	74	57	100	110	1050	169	461	544	1189	1325	1248	1381	211	1022	1228	90	94	1213	776	81	116	27	56	82	105	51	129	100	63	698	47	130	22	15	26	905	17	24	425	478	65	260	163	426	113	150	119					
7	Число избирательных бюллетеней в переносных ящиках	5078	82	69	61	106	51	25	19	45	28	10	41	12	85	75	56	21	18	89	47	77	130	50	42	223	47	77	31	35	120	110	57	64	96	58	35	58	27	28	97	80	43	80	27	140	159	31	4	175	37	40	45	42	29	41	18	97	8	27	41	95	12	39	23	28	51	15	116	20	20	62	226	23	56	63	118	27	51	102	148	120	30	67					
8	Число бюллетеней в стационарных ящиках для голосования	48900	1059	1162	1067	1352	967	1314	665	1368	953	311	727	625	675	889	1028	1599	1396	1352	1457	1128	667	859	1086	1463	1417	178	122	115	321	694	97	78	970	404	414	75	112	173	167	1090	191	537	526	973	909	835	862	127	1220	1403	123	173	1337	771	219	144	117	143	147	121	158	209	145	98	900	152	204	79	84	90	924	169	67	598	496	113	352	322	560	215	314	177					
9	Число недействительных избирательных бюллетеней	632	12	11	17	17	11	6	13	11	21	1	6	12	2	11	11	22	25	13	7	18	3	7	10	67	17	11	2	3	3	4	0	1	10	14	8	1	5	1	1	11	4	6	8	15	7	12	13	4	12	11	2	2	18	7	4	0	0	3	3	1	2	6	0	1	10	1	2	1	2	1	15	1	0	5	6	1	4	5	6	0	4	1					
10	Число действительных избирательных бюллетеней	53346	1129	1220	1111	1441	1007	1333	671	1402	960	320	762	625	758	953	1073	1598	1389	1428	1497	1187	794	902	1118	1619	1447	244	151	147	438	800	154	141	1056	448	441	132	134	200	263	1159	230	611	545	1098	1061	854	853	298	1245	1432	166	213	1348	805	233	241	125	167	185	215	168	242	168	125	941	166	318	98	102	151	1135	191	123	656	608	139	399	419	702	335	340	243					
11	Число полученных открепительных  удостоверений	3000	60	70	50	80	60	60	30	70	60	20	40	70	30	60	60	80	70	70	80	60	40	50	70	80	80	23	10	10	20	60	10	10	60	40	30	10	12	10	10	60	10	30	30	60	70	60	70	20	60	80	10	10	70	40	10	10	10	10	20	10	10	10	10	10	50	10	10	10	10	10	60	10	10	30	30	10	20	20	45	20	20	20					
12	Число выданных открепительных удостоверений	1222	16	35	47	51	8	14	14	19	16	3	40	65	6	31	12	7	18	7	23	20	6	21	20	16	26	21	10	3	18	60	10	10	16	39	27	0	12	5	6	25	0	6	5	19	10	15	14	0	14	13	0	1	51	26	10	8	9	10	19	10	1	4	5	2	16	0	10	10	2	0	13	0	2	11	6	1	1	20	45	10	14	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	538	11	5	6	5	5	9	1	23	7	3	5	2	7	9	3	4	10	7	5	3	22	6	4	1	10	5	2	10	8	5	13	13	13	4	4	6	8	8	9	8	10	9	7	5	3	5	3	4	11	3	3	8	5	2	8	13	5	2	4	2	5	3	7	1	22	0	6	5	2	7	3	5	7	3	5	3	6	9	14	14	8	2					
14	Число неиспользованных открепительных удостоверений	1778	44	35	3	29	52	46	16	51	44	17	0	5	24	29	48	73	52	63	57	40	34	29	50	64	54	2	0	7	2	0	0	0	44	1	3	10	0	5	4	35	10	24	25	41	60	45	56	20	46	67	10	9	19	14	0	2	1	0	1	0	9	6	5	8	34	10	0	0	8	10	47	10	8	19	24	9	19	0	0	10	6	14					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																									
18	. Глазьев Сергей Юрьевич	2109	116	42	21	47	26	61	37	53	50	8	17	36	13	31	45	45	75	44	64	53	31	47	50	81	79	10	7	1	15	32	1	5	33	28	18	3	3	5	10	54	20	20	17	58	45	41	48	7	46	65	8	5	55	21	5	3	1	1	3	7	0	9	4	1	28	3	7	1	1	6	59	5	0	22	8	2	10	11	30	12	5	12					
		3.91%	10.17%	3.41%	1.86%	3.22%	2.55%	4.56%	5.41%	3.75%	5.10%	2.49%	2.21%	5.65%	1.71%	3.22%	4.15%	2.78%	5.30%	3.05%	4.26%	4.40%	3.89%	5.17%	4.43%	4.80%	5.40%	3.92%	4.58%	0.67%	3.40%	3.98%	0.65%	3.52%	3.10%	6.06%	4.01%	2.26%	2.16%	2.49%	3.79%	4.62%	8.55%	3.24%	3.07%	5.21%	4.21%	4.73%	5.54%	2.32%	3.66%	4.50%	4.76%	2.33%	4.03%	2.59%	2.11%	1.24%	0.80%	0.59%	1.60%	3.24%	0.00%	3.63%	2.38%	0.79%	2.94%	1.80%	2.19%	1.01%	0.96%	3.95%	5.13%	2.60%	0.00%	3.33%	1.30%	1.43%	2.48%	2.59%	4.24%	3.58%	1.45%	4.92%					
19	. Малышкин Олег Александрович	1053	21	31	16	26	23	20	19	24	12	3	19	14	8	28	21	25	38	22	23	25	13	15	20	46	24	9	0	10	10	20	4	4	16	8	14	3	3	3	2	26	3	14	10	20	18	20	18	0	15	38	4	8	26	15	8	5	4	1	10	5	3	2	10	4	11	1	5	5	1	4	27	4	0	9	6	4	8	5	21	8	3	2					
		1.95%	1.84%	2.52%	1.42%	1.78%	2.26%	1.49%	2.78%	1.70%	1.22%	0.93%	2.47%	2.20%	1.05%	2.90%	1.94%	1.54%	2.69%	1.53%	1.53%	2.07%	1.63%	1.65%	1.77%	2.73%	1.64%	3.53%	0.00%	6.67%	2.27%	2.49%	2.60%	2.82%	1.50%	1.73%	3.12%	2.26%	2.16%	1.49%	0.76%	2.22%	1.28%	2.27%	1.81%	1.80%	1.69%	2.31%	2.08%	0.00%	1.19%	2.63%	2.38%	3.72%	1.90%	1.85%	3.38%	2.07%	3.20%	0.59%	5.32%	2.31%	1.76%	0.81%	5.95%	3.17%	1.16%	0.60%	1.56%	5.05%	0.96%	2.63%	2.35%	2.08%	0.00%	1.36%	0.98%	2.86%	1.99%	1.18%	2.97%	2.39%	0.87%	0.82%					
20	. Миронов Сергей Михайлович	425	10	7	7	8	15	4	3	5	5	1	5	5	8	26	9	9	16	16	15	8	6	7	10	23	10	2	0	1	2	4	1	3	7	3	9	0	4	1	2	14	6	4	6	5	4	4	8	4	11	12	1	3	8	5	0	3	4	0	1	1	0	0	2	2	4	0	1	0	2	1	6	0	1	2	2	1	1	4	7	2	2	4					
		0.79%	0.88%	0.57%	0.62%	0.55%	1.47%	0.30%	0.44%	0.35%	0.51%	0.31%	0.65%	0.78%	1.05%	2.70%	0.83%	0.56%	1.13%	1.11%	1.00%	0.66%	0.75%	0.77%	0.89%	1.36%	0.68%	0.78%	0.00%	0.67%	0.45%	0.50%	0.65%	2.11%	0.66%	0.65%	2.00%	0.00%	2.88%	0.50%	0.76%	1.20%	2.56%	0.65%	1.08%	0.45%	0.37%	0.46%	0.92%	1.32%	0.88%	0.83%	0.60%	1.40%	0.59%	0.62%	0.00%	1.24%	3.20%	0.00%	0.53%	0.46%	0.00%	0.00%	1.19%	1.59%	0.42%	0.00%	0.31%	0.00%	1.92%	0.66%	0.52%	0.00%	0.81%	0.30%	0.33%	0.71%	0.25%	0.94%	0.99%	0.60%	0.58%	1.64%					
21	. Путин Владимир Владимирович	39846	829	954	943	1101	776	1061	497	867	753	230	630	401	665	688	818	1249	970	1060	1093	875	598	630	804	1153	1032	196	132	109	306	576	95	98	785	288	328	102	96	168	214	756	147	402	379	775	789	658	640	229	880	1016	124	153	1056	658	198	209	100	153	149	174	142	169	122	102	743	149	256	71	87	119	784	168	104	515	501	113	333	317	524	268	271	173					
		73.82%	72.66%	77.50%	83.60%	75.51%	76.23%	79.24%	72.66%	61.36%	76.76%	71.65%	82.03%	62.95%	87.50%	71.37%	75.46%	77.10%	68.60%	73.56%	72.67%	72.61%	75.03%	69.31%	71.28%	68.39%	70.49%	76.86%	86.27%	72.67%	69.39%	71.64%	61.69%	69.01%	73.64%	62.34%	73.05%	76.69%	69.06%	83.58%	81.06%	64.62%	62.82%	65.15%	68.54%	69.63%	73.88%	75.98%	73.90%	75.83%	70.01%	70.41%	73.81%	71.16%	77.31%	81.03%	83.54%	86.72%	80.00%	90.00%	79.26%	80.56%	83.53%	68.15%	72.62%	80.95%	78.13%	89.22%	80.00%	71.72%	83.65%	78.29%	68.17%	87.50%	84.55%	77.91%	81.60%	80.71%	82.63%	74.76%	74.01%	80.00%	78.78%	70.90%					
22	. Хакамада Ирина Муцуовна	1155	22	25	21	45	13	25	6	35	21	6	12	12	14	17	16	46	37	33	27	28	19	22	20	67	44	3	0	3	5	18	3	5	28	10	7	0	3	3	2	30	4	7	14	29	20	29	17	6	40	46	4	6	19	15	3	1	3	1	1	4	3	5	1	2	12	0	4	3	1	1	27	6	4	14	8	0	9	7	12	4	4	6					
		2.14%	1.93%	2.03%	1.86%	3.09%	1.28%	1.87%	0.88%	2.48%	2.14%	1.87%	1.56%	1.88%	1.84%	1.76%	1.48%	2.84%	2.62%	2.29%	1.80%	2.32%	2.38%	2.42%	1.77%	3.97%	3.01%	1.18%	0.00%	2.00%	1.13%	2.24%	1.95%	3.52%	2.63%	2.16%	1.56%	0.00%	2.16%	1.49%	0.76%	2.56%	1.71%	1.13%	2.53%	2.61%	1.87%	3.35%	1.96%	1.99%	3.18%	3.19%	2.38%	2.79%	1.39%	1.85%	1.27%	0.41%	2.40%	0.59%	0.53%	1.85%	1.76%	2.02%	0.60%	1.59%	1.26%	0.00%	1.25%	3.03%	0.96%	0.66%	2.35%	3.12%	3.25%	2.12%	1.30%	0.00%	2.23%	1.65%	1.69%	1.19%	1.16%	2.46%					
23	. Харитонов Николай Михайлович	6492	84	105	63	105	110	119	88	321	88	59	63	133	31	108	122	157	183	196	204	137	102	129	150	193	190	19	9	20	93	110	42	23	107	88	49	16	17	16	27	218	44	132	97	157	116	61	80	46	177	174	19	32	146	62	16	18	11	8	20	21	16	43	24	9	119	13	34	15	10	14	187	7	8	76	70	18	35	64	82	31	47	39					
		12.03%	7.36%	8.53%	5.59%	7.20%	10.81%	8.89%	12.87%	22.72%	8.97%	18.38%	8.20%	20.88%	4.08%	11.20%	11.25%	9.69%	12.94%	13.60%	13.56%	11.37%	12.80%	14.19%	13.30%	11.45%	12.98%	7.45%	5.88%	13.33%	21.09%	13.68%	27.27%	16.20%	10.04%	19.05%	10.91%	12.03%	12.23%	7.96%	10.23%	18.63%	18.80%	21.39%	17.54%	14.11%	10.86%	7.04%	9.24%	15.23%	14.08%	12.06%	11.31%	14.88%	10.69%	7.64%	6.75%	7.47%	8.80%	4.71%	10.64%	9.72%	9.41%	17.34%	14.29%	7.14%	12.51%	7.78%	10.62%	15.15%	9.62%	9.21%	16.26%	3.65%	6.50%	11.50%	11.40%	12.86%	8.68%	15.09%	11.58%	9.25%	13.66%	15.98%					
																																																																																									
24	Против всех	2266	47	56	40	109	44	43	21	97	31	13	16	24	19	55	42	67	70	57	71	61	25	52	64	56	68	5	3	3	7	40	8	3	80	23	16	8	8	4	6	61	6	32	22	54	69	41	42	6	76	81	6	6	38	29	3	2	2	3	1	3	4	14	5	5	24	0	11	3	0	6	45	1	6	18	13	1	3	11	26	10	8	7					
		4.20%	4.12%	4.55%	3.55%	7.48%	4.32%	3.21%	3.07%	6.86%	3.16%	4.05%	2.08%	3.77%	2.50%	5.71%	3.87%	4.14%	4.95%	3.96%	4.72%	5.06%	3.14%	5.72%	5.67%	3.32%	4.64%	1.96%	1.96%	2.00%	1.59%	4.98%	5.19%	2.11%	7.50%	4.98%	3.56%	6.02%	5.76%	1.99%	2.27%	5.21%	2.56%	5.19%	3.98%	4.85%	6.46%	4.73%	4.85%	1.99%	6.05%	5.61%	3.57%	2.79%	2.78%	3.57%	1.27%	0.83%	1.60%	1.76%	0.53%	1.39%	2.35%	5.65%	2.98%	3.97%	2.52%	0.00%	3.44%	3.03%	0.00%	3.95%	3.91%	0.52%	4.88%	2.72%	2.12%	0.71%	0.74%	2.59%	3.67%	2.99%	2.33%	2.87%					
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
