Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																	
Дата голосования: 02.12.2007																																																	
																																																	
Наименование Избирательной комиссии:    Жирновская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803					
1	"Число избирателей, внесенных в списки избирателей"	35233	1257	1342	2160	2242	2325	2066	716	1441	367	1320	1848	2025	879	134	1194	1434	1730	2297	423	223	78	402	318	505	191	608	112	364	1605	231	55	911	297	73	165	93	212	189	846	279	181	95					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35090	1200	1100	2100	2200	2400	2000	730	1300	380	1300	1800	2000	900	150	1200	1400	1600	2200	400	200	90	400	400	600	190	600	100	400	1900	230	60	970	330	70	170	90	200	220	950	280	190	90					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22066	744	783	1313	1298	1465	1162	407	904	367	767	1114	1112	490	106	786	820	1029	1260	245	172	48	279	203	397	136	450	92	251	1079	131	53	700	192	66	154	66	143	153	658	247	151	73					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1938	36	170	71	120	56	65	25	50	0	51	62	65	124	10	42	76	87	183	46	7	10	18	57	31	14	0	0	46	160	21	0	42	40	1	0	14	16	25	81	0	4	12					
6	Число погашенных избирательных бюллетеней	11086	420	147	716	782	879	773	298	346	13	482	624	823	286	34	372	504	484	757	109	21	32	103	140	172	40	150	8	103	661	78	7	228	98	3	16	10	41	42	211	33	35	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1938	36	170	71	120	56	65	25	50	0	51	62	65	124	10	42	76	87	183	46	7	10	18	57	31	14	0	0	46	160	21	0	42	40	1	0	14	16	25	81	0	4	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22062	744	783	1313	1298	1463	1162	407	904	367	767	1114	1112	490	106	786	820	1029	1260	245	172	48	279	203	397	136	448	92	251	1079	131	53	700	192	66	154	66	143	153	658	247	151	73					
9	Число недействительных избирательных бюллетеней	178	9	0	9	11	7	15	4	11	19	7	0	5	2	1	7	8	6	18	6	3	0	1	0	4	0	0	1	4	7	1	0	1	0	0	3	0	2	1	2	3	0	0					
10	Число действительных избирательных бюллетеней	23822	771	953	1375	1407	1512	1212	428	943	348	811	1176	1172	612	115	821	888	1110	1425	285	176	58	296	260	424	150	448	91	293	1232	151	53	741	232	67	151	80	157	177	737	244	155	85					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	480	14	25	30	26	44	24	19	18	0	15	20	20	10	5	20	19	20	20	10	5	5	3	2	13	2	5	5	1	10	5	5	20	5	1	1	5	5	1	15	2	0	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	332	14	23	24	20	42	22	10	17	0	11	19	16	10	0	11	2	3	13	2	0	0	3	1	13	0	2	0	0	10	0	0	17	5	0	0	1	4	1	15	1	0	0					
