Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Енотаевская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19796	1073	338	1488	306	684	71	432	850	626	2052	1914	2030	825	651	162	707	461	816	1864	1962	484									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19150	1020	340	1460	300	670	70	410	830	610	2020	1860	1950	800	610	150	680	440	780	1790	1890	470									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8172	480	110	598	132	334	32	168	353	330	961	902	941	317	271	68	250	182	346	611	592	194									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	473	20	11	57	12	8	1	13	13	13	26	41	44	27	31	6	14	15	30	21	41	29									
6	Число погашенных избирательных бюллетеней	10505	520	219	805	156	328	37	229	464	267	1033	917	965	456	308	76	416	243	404	1158	1257	247									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	473	20	11	57	12	8	1	13	13	13	26	41	44	27	31	6	14	15	30	21	41	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8171	480	110	598	132	334	32	168	353	330	961	901	941	317	271	68	250	182	346	611	592	194									
9	Число недействительных избирательных бюллетеней	390	28	2	29	14	11	3	16	14	20	34	39	37	19	9	3	19	10	26	23	25	9									
10	Число действительных избирательных бюллетеней	8254	472	119	626	130	331	30	165	352	323	953	903	948	325	293	71	245	187	350	609	608	214									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	11	3	14	1	10	2	0	6	4	10	13	10	2	5	2	5	3	8	7	10	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	94	11	0	14	1	10	1	0	6	3	10	12	10	0	1	0	3	2	1	2	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	109	4	2	28	6	5	2	3	4	3	3	2	11	0	1	2	3	6	3	16	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	36	0	3	0	0	0	1	0	0	1	0	1	0	2	4	2	2	1	7	5	7	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	2	0	0	1	1	0	1	0	3	8	6	8	5	0	0	0	0	3	1	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	81	3	1	5	2	2	0	1	4	4	5	14	11	5	5	1	0	1	3	4	9	1									
		0.94%	0.60%	0.83%	0.76%	1.39%	0.58%	0.00%	0.55%	1.09%	1.17%	0.51%	1.49%	1.12%	1.45%	1.66%	1.35%	0.00%	0.51%	0.80%	0.63%	1.42%	0.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	439	17	1	39	11	41	3	12	23	18	41	33	39	14	12	3	8	9	20	52	29	14									
		5.08%	3.40%	0.83%	5.95%	7.64%	11.99%	9.09%	6.63%	6.28%	5.25%	4.15%	3.50%	3.96%	4.07%	3.97%	4.05%	3.03%	4.57%	5.32%	8.23%	4.58%	6.28%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	170	5	0	3	1	6	0	2	3	5	35	25	16	3	11	0	8	9	2	13	16	7									
		1.97%	1.00%	0.00%	0.46%	0.69%	1.75%	0.00%	1.10%	0.82%	1.46%	3.55%	2.65%	1.62%	0.87%	3.64%	0.00%	3.03%	4.57%	0.53%	2.06%	2.53%	3.14%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3384	207	69	294	51	87	13	91	156	168	370	348	360	130	137	33	105	63	200	203	218	81									
		39.15%	41.40%	57.02%	44.89%	35.42%	25.44%	39.39%	50.28%	42.62%	48.98%	37.49%	36.94%	36.55%	37.79%	45.36%	44.59%	39.77%	31.98%	53.19%	32.12%	34.44%	36.32%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	35	5	0	2	2	0	0	0	0	2	4	5	3	1	0	0	3	1	1	3	2	1									
		0.40%	1.00%	0.00%	0.31%	1.39%	0.00%	0.00%	0.00%	0.00%	0.58%	0.41%	0.53%	0.30%	0.29%	0.00%	0.00%	1.14%	0.51%	0.27%	0.47%	0.32%	0.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	0	0	1	1	1	0	0	0	0	2	3	2	1	0	0	0	1	0	2	3	0									
		0.20%	0.00%	0.00%	0.15%	0.69%	0.29%	0.00%	0.00%	0.00%	0.00%	0.20%	0.32%	0.20%	0.29%	0.00%	0.00%	0.00%	0.51%	0.00%	0.32%	0.47%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1524	109	13	55	13	30	12	13	43	39	206	204	239	72	53	6	48	37	47	118	122	45									
		17.63%	21.80%	10.74%	8.40%	9.03%	8.77%	36.36%	7.18%	11.75%	11.37%	20.87%	21.66%	24.26%	20.93%	17.55%	8.11%	18.18%	18.78%	12.50%	18.67%	19.27%	20.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	33	2	0	2	1	0	0	1	3	2	6	2	4	4	2	0	1	1	0	0	2	0									
		0.38%	0.40%	0.00%	0.31%	0.69%	0.00%	0.00%	0.55%	0.82%	0.58%	0.61%	0.21%	0.41%	1.16%	0.66%	0.00%	0.38%	0.51%	0.00%	0.00%	0.32%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	196	4	0	10	4	2	0	2	16	5	46	36	39	5	1	0	2	7	1	5	8	3									
		2.27%	0.80%	0.00%	1.53%	2.78%	0.58%	0.00%	1.10%	4.37%	1.46%	4.66%	3.82%	3.96%	1.45%	0.33%	0.00%	0.76%	3.55%	0.27%	0.79%	1.26%	1.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	1	0	2	1	1	0	0	0	0	0	0	3	0	0	0	1	0	1	1	1	2									
		0.16%	0.20%	0.00%	0.31%	0.69%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.38%	0.00%	0.27%	0.16%	0.16%	0.90%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	56	6	0	5	2	0	1	0	3	5	2	3	7	2	2	2	0	0	1	8	2	5									
		0.65%	1.20%	0.00%	0.76%	1.39%	0.00%	3.03%	0.00%	0.82%	1.46%	0.20%	0.32%	0.71%	0.58%	0.66%	2.70%	0.00%	0.00%	0.27%	1.27%	0.32%	2.24%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1769	71	29	188	33	146	1	39	82	52	164	158	165	70	56	13	48	45	56	170	144	39									
		20.47%	14.20%	23.97%	28.70%	22.92%	42.69%	3.03%	21.55%	22.40%	15.16%	16.62%	16.77%	16.75%	20.35%	18.54%	17.57%	18.18%	22.84%	14.89%	26.90%	22.75%	17.49%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	37	4	1	3	0	0	0	0	1	2	3	6	6	2	0	0	0	0	0	4	4	1									
		0.43%	0.80%	0.83%	0.46%	0.00%	0.00%	0.00%	0.00%	0.27%	0.58%	0.30%	0.64%	0.61%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.63%	0.45%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	499	38	5	17	8	15	0	4	18	21	69	66	54	16	14	13	21	13	18	26	48	15									
		5.77%	7.60%	4.13%	2.60%	5.56%	4.39%	0.00%	2.21%	4.92%	6.12%	6.99%	7.01%	5.48%	4.65%	4.64%	17.57%	7.95%	6.60%	4.79%	4.11%	7.58%	6.73%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
